Instrument,800N8573
Date,2023/02/23
Time,12:47:14
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.65s
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,0.21256723999977112,0.10640470683574677,0.46022316813468933
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
Detector Temperature,{'-27.5°C'}
Ambient Temperature,"{""51.33°C')""}"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.3071,0.2813
13,Al2O3,1.0409,0.0973
14,SiO2,0.8007,0.044
15,P,0.0326,0.0079
16,S,1.3185,0.011
17,Cl,0.0,0.0027
19,K2O,0.082,0.0056
20,Ca,0.0434,0.0058
22,Ti,0.1783,0.0744
23,V,0.0,0.0057
24,Cr,17.6932,0.0404
25,Mn,1.2844,0.0282
26,Fe,39.7141,0.043
27,Co,0.2588,0.0051
28,Ni,4.6348,0.0266
29,Cu,0.8478,0.0038
30,Zn,0.0083,0.0009
31,Ga,0.0006,0.0011
33,As,0.0515,0.006
34,Se,0.0,0.0003
37,Rb,0.0015,0.0004
38,Sr,0.0004,0.0005
39,Y,0.0001,0.0004
40,Zr,0.0031,0.0006
41,Nb,0.003,0.0004
42,Mo,1.1402,0.0037
45,Rh,0.0,0.0004
47,Ag,0.0033,0.0024
48,Cd,0.001,0.0019
50,Sn,0.0,0.0022
51,Sb,0.0035,0.0018
52,Te,0.0,0.0016
56,Ba,0.0057,0.0027
57,La,0.0003,0.0094
58,Ce,0.0179,0.0089
72,Hf,0.0,0.0025
73,Ta,0.0,0.0051
74,W,0.2314,0.0027
78,Pt,0.0,0.0016
80,Hg,0.0,0.0008
81,Tl,0.003,0.0014
82,Pb,0.0,0.0036
83,Bi,0.01,0.0014
90,Th,0.0,0.002
92,U,0.0015,0.0007
 
SPECTRA:
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.21256723999977112,0,0,0
20.195792108774185,0,0,0
40.1790169775486,0,0,0
60.16224184632301,0,0,0
80.14546671509743,0,0,0
100.12869158387184,0,0,0
120.11191645264626,0,0,0
140.09514132142067,0,0,0
160.07836619019508,0,0,0
180.0615910589695,0,0,0
200.0448159277439,0,0,0
220.02804079651833,0,0,0
240.01126566529274,0,0,0
259.99449053406715,0,0,0
279.97771540284157,0,0,0
299.960940271616,1,5,2
319.9441651403904,31,44,23
339.9273900091648,203,307,140
359.9106148779392,775,1103,481
379.89383974671364,1372,2201,910
399.87706461548805,1391,2237,894
419.86028948426247,736,1083,464
439.8435143530369,208,294,125
459.8267392218113,27,44,26
479.8099640905857,4,2,6
499.7931889593601,1,1,3
519.7764138281345,0,0,0
539.759638696909,0,1,1
559.7428635656834,0,0,0
579.7260884344578,60,80,29
599.7093133032322,52,76,32
619.6925381720066,70,78,36
639.675763040781,57,81,27
659.6589879095554,55,73,24
679.6422127783298,65,84,29
699.6254376471043,46,94,19
719.6086625158787,54,87,24
739.5918873846531,64,67,20
759.5751122534275,59,85,31
779.5583371222019,45,60,22
799.5415619909763,61,92,18
819.5247868597507,64,90,19
839.5080117285252,60,86,23
859.4912365972996,50,87,23
