Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.253,0.289
13,Al2O3,0.9365,0.096
14,SiO2,0.7606,0.0432
15,P,0.026,0.0079
16,S,1.3196,0.0111
17,Cl,0.0,0.0027
19,K2O,0.0677,0.0057
20,Ca,0.0297,0.0059
22,Ti,0.2453,0.0766
23,V,0.0,0.0058
24,Cr,17.6925,0.0405
25,Mn,1.2378,0.0282
26,Fe,39.8338,0.0431
27,Co,0.251,0.005
28,Ni,4.6595,0.0268
29,Cu,0.8644,0.0039
30,Zn,0.0068,0.0009
31,Ga,0.0,0.001
33,As,0.0467,0.0062
34,Se,0.0,0.0003
37,Rb,0.0028,0.0004
38,Sr,0.0001,0.0004
39,Y,0.0,0.0004
40,Zr,0.0025,0.0006
41,Nb,0.0031,0.0004
42,Mo,1.1679,0.0037
45,Rh,0.0,0.0004
47,Ag,0.0,0.0024
48,Cd,0.0,0.0019
50,Sn,0.0,0.0022
51,Sb,0.0,0.0018
52,Te,0.001,0.0017
56,Ba,0.0037,0.0027
57,La,0.016,0.0092
58,Ce,0.0241,0.0087
72,Hf,0.0,0.0025
73,Ta,0.0,0.0047
74,W,0.2297,0.0026
78,Pt,0.0,0.0016
80,Hg,0.0,0.0008
81,Tl,0.0021,0.0014
82,Pb,0.0,0.0037
83,Bi,0.014,0.0015
90,Th,0.0,0.0021
92,U,0.0018,0.0007
 
SPECTRA:
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.18677371740341187,0,0,0
19.796451151371002,0,0,0
39.779676020145416,0,0,0
59.76290088891983,0,0,0
79.74612575769424,0,0,0
99.72935062646866,0,0,0
119.71257549524307,0,0,0
139.6958003640175,0,0,0
159.6790252327919,0,0,0
179.66225010156631,0,0,0
199.64547497034073,0,0,0
219.62869983911514,0,0,0
239.61192470788956,0,0,0
259.59514957666397,0,0,0
279.5783744454384,1,0,0
299.5615993142128,5,4,3
319.5448241829872,23,45,15
339.5280490517616,196,293,110
359.51127392053604,721,1114,449
379.49449878931046,1417,2157,901
399.47772365808487,1395,2193,908
419.4609485268593,744,1128,430
439.4441733956337,204,312,117
459.4273982644081,30,26,26
479.4106231331825,2,8,3
499.39384800195694,1,0,2
519.3770728707314,1,0,0
539.3602977395058,1,0,0
559.3435226082802,1,0,2
579.3267474770546,48,65,29
599.309972345829,53,63,27
619.2931972146034,62,87,33
639.2764220833778,60,65,42
659.2596469521523,46,81,38
679.2428718209267,54,80,35
699.2260966897011,63,68,19
719.2093215584755,51,74,22
739.1925464272499,50,74,25
759.1757712960243,60,81,18
779.1589961647987,51,73,28
799.1422210335732,46,84,22
819.1254459023476,54,81,19
839.108670771122,50,88,22
859.0918956398964,63,51,21
879.0751205086708,63,87,37
899.0583453774452,54,83,33
919.0415702462196,75,84,27
939.024795114994,63,61,50
959.0080199837685,62,78,39
978.9912448525429,64,73,27
998.9744697213173,56,76,30
1018.9576945900917,52,84,23
1038.9409194588661,50,68,30
1058.9241443276405,56,81,29
1078.907369196415,69,85,26
1098.8905940651894,62,50,22
1118.8738189339638,58,77,36
1138.8570438027382,51,70,35
1158.8402686715126,43,89,22
1178.823493540287,42,60,38
1198.8067184090614,44,63,41
1218.7899432778358,56,56,25
1238.7731681466103,38,86,33
1258.7563930153847,47,73,26
1278.739617884159,45,73,33
1298.7228427529335,38,63,27
1318.706067621708,54,68,21
1338.6892924904823,46,47,24
1358.6725173592567,34,55,23
1378.6557422280312,45,56,33
1398.6389670968056,40,57,24
1418.62219196558,46,80,37
1438.6054168343544,65,72,71
1458.5886417031288,73,75,81
1478.5718665719032,84,82,87
1498.5550914406776,80,54,83
1518.538316309452,50,62,64
1538.5215411782265,46,65,57
1558.5047660470009,44,45,32
1578.4879909157753,33,51,31
1598.4712157845497,40,56,23
1618.4544406533241,27,52,31
1638.4376655220985,31,39,36
1658.420890390873,25,46,51
1678.4041152596474,30,58,95
1698.3873401284218,38,53,146
1718.3705649971962,47,58,218
1738.3537898659706,59,54,194
1758.337014734745,42,58,189
1778.3202396035194,42,45,143
1798.3034644722939,40,42,76
1818.2866893410683,38,56,67
1838.2699142098427,44,53,40
1858.253139078617,47,54,57
1878.2363639473915,40,56,58
1898.219588816166,40,62,50
1918.2028136849403,41,40,56
1938.1860385537148,45,54,57
1958.1692634224892,46,51,87
1978.1524882912636,28,51,96
1998.135713160038,34,44,117
2018.1189380288124,51,58,116
2038.1021628975868,48,42,106
2058.0853877663612,37,65,77
2078.0686126351357,38,53,82
2098.05183750391,36,52,80
2118.0350623726845,36,54,89
2138.018287241459,48,43,115
2158.0015121102333,46,44,110
2177.9847369790077,39,59,141
2197.967961847782,50,55,257
2217.9511867165565,61,59,478
2237.934411585331,81,73,893
2257.9176364541054,91,80,1373
2277.90086132288,127,80,1862
2297.884086191654,142,94,1940
2317.8673110604286,125,81,1716
2337.850535929203,112,69,1474
2357.8337607979774,115,93,1208
2377.816985666752,90,73,1161
2397.8002105355263,91,86,1172
2417.7834354043007,82,70,970
2437.766660273075,72,61,731
2457.7498851418495,68,59,559
2477.733110010624,74,56,379
2497.7163348793983,57,56,316
2517.6995597481728,46,62,245
2537.682784616947,40,67,276
2557.6660094857216,48,41,281
2577.649234354496,54,42,324
2597.6324592232704,63,52,476
2617.615684092045,56,63,617
2637.5989089608192,52,52,842
2657.5821338295937,49,54,1013
2677.565358698368,40,43,1243
2697.5485835671425,34,46,1308
2717.531808435917,36,46,1178
2737.5150333046913,31,40,885
2757.4982581734657,42,56,664
2777.48148304224,40,44,540
2797.4647079110146,38,47,529
2817.447932779789,28,47,633
2837.4311576485634,50,41,657
2857.414382517338,46,56,662
2877.397607386112,49,53,650
2897.3808322548866,61,56,704
2917.364057123661,75,52,828
2937.3472819924355,80,63,970
2957.33050686121,76,62,979
2977.3137317299843,84,61,922
2997.2969565987587,68,52,688
3017.280181467533,45,32,521
3037.2634063363075,55,38,338
3057.246631205082,35,46,216
3077.2298560738564,29,47,159
3097.2130809426308,42,35,152
3117.196305811405,38,45,188
3137.1795306801796,43,53,183
3157.162755548954,35,54,183
3177.1459804177284,57,56,252
3197.129205286503,59,54,255
3217.1124301552773,96,58,265
3237.0956550240517,131,80,335
3257.078879892826,190,108,373
3277.0621047616005,197,133,449
3297.045329630375,210,122,471
3317.0285544991493,187,103,446
3337.0117793679237,154,81,435
3356.995004236698,101,74,396
