Instrument,800N8573
Date,2023/02/23
Time,12:55:32
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.81s
Temperature (Detector),-27.0 C
Temperature (Ambient),51.22 C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.7896,0.2816
13,Al2O3,0.8308,0.0922
14,SiO2,0.7453,0.0439
15,P,0.0283,0.0081
16,S,1.304,0.011
17,Cl,0.0,0.0028
19,K2O,0.0791,0.0056
20,Ca,0.0368,0.0057
22,Ti,0.2271,0.0736
23,V,0.0,0.0057
24,Cr,17.7478,0.0405
25,Mn,1.2758,0.0283
26,Fe,39.8028,0.0431
27,Co,0.2428,0.005
28,Ni,4.6802,0.0269
29,Cu,0.8734,0.004
30,Zn,0.0078,0.0009
31,Ga,0.0004,0.001
33,As,0.0489,0.0063
34,Se,0.0,0.0003
37,Rb,0.0019,0.0004
38,Sr,0.0004,0.0005
39,Y,0.0001,0.0004
40,Zr,0.0026,0.0006
41,Nb,0.0034,0.0004
42,Mo,1.1986,0.0038
45,Rh,0.0,0.0004
46,Pd,0.0,0.0003
47,Ag,0.0,0.0024
48,Cd,0.0005,0.0019
50,Sn,0.0,0.0022
51,Sb,0.0,0.0018
52,Te,0.0002,0.0016
56,Ba,0.0022,0.0028
57,La,0.0181,0.0096
58,Ce,0.0252,0.0087
72,Hf,0.0,0.0024
73,Ta,0.0,0.005
74,W,0.2341,0.0026
78,Pt,0.0,0.0017
80,Hg,0.0,0.0008
81,Tl,0.0015,0.0014
82,Pb,0.0,0.0037
83,Bi,0.0128,0.0016
90,Th,0.0,0.0021
92,U,0.0018,0.0007
 
 
SPECTRA:
eV Channel Start,0.17768068611621857,0.6584351062774658,0.7173996567726135
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.17768068611621857,0,0,0
20.160905554890633,0,0,0
40.14413042366505,0,0,0
60.12735529243946,0,0,0
80.11058016121387,0,0,0
100.09380502998829,0,0,0
120.0770298987627,0,0,0
140.06025476753712,0,0,0
160.04347963631153,0,0,0
180.02670450508595,0,0,0
200.00992937386036,0,0,0
219.99315424263477,0,0,0
239.9763791114092,0,0,0
259.9596039801836,0,0,0
279.942828848958,0,0,0
299.92605371773243,4,2,1
319.90927858650684,27,42,14
339.89250345528126,226,306,146
359.8757283240557,772,1135,495
379.8589531928301,1389,2244,915
399.8421780616045,1385,2132,901
419.8254029303789,742,1052,451
439.8086277991533,234,293,135
459.79185266792774,26,37,18
479.77507753670216,8,7,6
499.75830240547657,0,0,2
519.741527274251,1,1,3
539.7247521430254,1,0,2
559.7079770117998,1,0,1
579.6912018805742,52,90,33
599.6744267493486,57,63,29
619.657651618123,57,112,31
639.6408764868975,59,63,33
659.6241013556719,61,85,30
679.6073262244463,50,82,22
699.5905510932207,59,84,18
719.5737759619951,50,83,20
739.5570008307695,47,75,23
759.540225699544,68,69,16
779.5234505683184,50,65,21
799.5066754370928,51,70,17
819.4899003058672,65,63,26
839.4731251746416,66,82,26
859.456350043416,68,84,23
879.4395749121904,64,75,28
899.4227997809649,64,94,26
919.4060246497393,71,93,39
939.3892495185137,62,104,43
959.3724743872881,51,79,41
979.3556992560625,56,73,42
999.3389241248369,61,78,24
1019.3221489936113,62,70,30
1039.3053738623857,59,75,22
1059.2885987311602,60,91,17
1079.2718235999346,55,62,24
1099.255048468709,48,69,33
1119.2382733374834,51,83,17
1139.2214982062578,62,69,32
1159.2047230750322,57,81,32
1179.1879479438066,66,74,33
1199.171172812581,38,73,40
1219.1543976813555,43,63,39
1239.13762255013,43,61,32
1259.1208474189043,49,67,39
1279.1040722876787,40,60,22
1299.0872971564531,46,62,17
1319.0705220252275,45,54,23
1339.053746894002,44,61,25
1359.0369717627764,38,67,19
1379.0201966315508,49,69,22
1399.0034215003252,33,56,24
1418.9866463690996,39,62,43
1438.969871237874,49,69,60
1458.9530961066484,76,68,74
1478.9363209754229,77,73,88
1498.9195458441973,74,68,80
1518.9027707129717,68,64,48
1538.885995581746,46,55,45
1558.8692204505205,49,39,31
1578.852445319295,39,72,29
1598.8356701880693,30,53,32
1618.8188950568438,25,56,34
1638.8021199256182,43,57,34
1658.7853447943926,37,44,45
1678.768569663167,42,65,111
1698.7517945319414,36,57,137
1718.7350194007158,38,50,186
1738.7182442694902,46,49,223
1758.7014691382647,29,48,201
1778.684694007039,43,53,129
1798.6679188758135,48,64,111
1818.651143744588,30,65,60
1838.6343686133623,42,44,61
1858.6175934821367,46,48,61
1878.6008183509111,36,60,64
1898.5840432196856,50,52,54
1918.56726808846,33,68,63
1938.5504929572344,36,57,68
1958.5337178260088,44,52,79
1978.5169426947832,38,53,99
1998.5001675635576,35,61,116
2018.483392432332,37,65,121
2038.4666173011065,45,41,114
2058.449842169881,50,68,96
2078.4330670386553,40,59,94
2098.4162919074297,32,50,83
2118.399516776204,35,55,95
2138.3827416449785,40,52,98
2158.365966513753,46,55,111
2178.3491913825274,41,46,143
2198.3324162513018,35,51,266
2218.315641120076,49,57,446
2238.2988659888506,70,77,885
2258.282090857625,108,84,1410
2278.2653157263994,125,101,1860
2298.248540595174,134,112,1840
2318.2317654639482,124,92,1717
2338.2149903327227,113,98,1430
2358.198215201497,94,76,1225
2378.1814400702715,102,79,1227
2398.164664939046,109,69,1110
2418.1478898078203,90,75,966
2438.1311146765947,106,64,712
2458.114339545369,83,61,515
2478.0975644141436,69,59,326
2498.080789282918,48,55,290
2518.0640141516924,59,56,293
2538.047239020467,43,48,245
2558.030463889241,41,61,304
2578.0136887580156,47,50,339
2597.99691362679,57,66,491
2617.9801384955645,52,74,612
2637.963363364339,43,66,915
2657.9465882331133,57,56,1046
2677.9298131018877,56,58,1247
2697.913037970662,33,63,1251
2717.8962628394365,38,62,1111
2737.879487708211,33,52,861
2757.8627125769854,37,69,703
2777.84593744576,37,51,570
2797.829162314534,39,71,550
2817.8123871833086,42,49,666
2837.795612052083,41,44,647
2857.7788369208574,42,51,663
2877.762061789632,57,58,622
2897.7452866584063,60,54,730
2917.7285115271807,65,48,767
2937.711736395955,79,51,926
2957.6949612647295,104,58,995
2977.678186133504,65,57,931
2997.6614110022783,76,51,714
3017.6446358710527,53,47,508
3037.627860739827,49,55,311
3057.6110856086016,43,42,238
3077.594310477376,54,43,191
3097.5775353461504,42,53,141
3117.560760214925,55,51,129
3137.543985083699,50,33,177
3157.5272099524736,51,50,194
3177.510434821248,53,64,224
3197.4936596900225,75,70,229
3217.476884558797,92,63,264
3237.4601094275713,139,95,332
3257.4433342963457,184,124,385
3277.42655916512,221,115,443
3297.4097840338945,235,140,497
3317.393008902669,180,113,487
3337.3762337714434,151,94,436
3357.359458640218,104,70,358
3377.342683508992,74,58,353
3397.3259083777666,68,64,346
3417.309133246541,64,67,337
3437.2923581153154,88,57,336
3457.27558298409,114,73,398
3477.2588078528643,157,71,461
3497.2420327216387,150,77,459
3517.225257590413,120,69,452
3537.2084824591875,138,71,497
3557.191707327962,137,80,509
3577.1749321967363,122,72,532
3597.1581570655107,162,89,637
3617.141381934285,235,89,689
3637.1246068030596,268,113,788
3657.107831671834,288,129,875
3677.0910565406084,293,133,885
3697.074281409383,266,119,837
3717.0575062781572,205,116,808
3737.0407311469316,131,71,680
3757.023956015706,94,75,576
3777.0071808844805,63,48,507
3796.990405753255,49,50,461
3816.9736306220293,37,39,452
3836.9568554908037,37,48,520
3856.940080359578,33,36,446
3876.9233052283525,40,41,464
3896.906530097127,43,34,433
3916.8897549659014,49,45,472
3936.872979834676,46,40,424
3956.85620470345,39,42,480
3976.8394295722246,38,40,449
3996.822654440999,31,30,436
4016.8058793097734,30,37,377
4036.789104178548,43,48,455
4056.7723290473223,35,53,392
4076.7555539160967,54,44,400
4096.738778784871,54,41,396
4116.7220036536455,62,37,393
4136.70522852242,63,56,360
4156.688453391194,66,51,410
4176.671678259969,78,51,387
4196.654903128743,84,53,366
4216.638127997518,68,52,357
4236.621352866292,59,50,361
4256.604577735066,51,43,306
4276.587802603841,46,43,305
4296.571027472615,58,37,256
4316.55425234139,44,39,263
4336.537477210164,33,46,251
4356.5207020789385,40,40,224
4376.503926947713,37,40,221
4396.487151816487,33,48,241
4416.470376685262,51,40,231
4436.453601554036,45,43,214
4456.436826422811,56,42,209
4476.420051291585,63,41,243
4496.403276160359,73,33,251
4516.386501029134,70,53,221
4536.369725897908,94,44,267
4556.352950766683,121,49,330
4576.336175635457,151,73,361
4596.319400504231,277,94,421
4616.302625373006,280,111,500
4636.28585024178,355,127,566
4656.269075110555,377,125,610
4676.252299979329,374,121,589
4696.2355248481035,290,124,530
4716.218749716878,231,92,419
4736.201974585652,165,64,353
4756.185199454427,104,53,271
4776.168424323201,89,49,249
4796.151649191976,50,40,197
4816.13487406075,63,33,202
4836.118098929524,63,45,253
4856.101323798299,63,41,239
4876.084548667073,74,65,248
4896.067773535848,88,38,326
4916.050998404622,83,43,346
4936.0342232733965,113,44,359
4956.017448142171,105,57,406
4976.000673010945,92,53,385
4995.98389787972,105,59,327
5015.967122748494,99,53,316
5035.950347617269,99,41,305
5055.933572486043,94,36,301
5075.916797354817,91,48,319
5095.900022223592,109,45,330
5115.883247092366,109,59,340
5135.866471961141,124,59,355
5155.849696829915,131,69,432
5175.8329216986895,168,55,462
5195.816146567464,230,79,549
5215.799371436238,295,84,695
5235.782596305013,450,128,966
5255.765821173787,893,263,1796
5275.7490460425615,1911,495,3671
5295.732270911336,4024,1080,7414
5315.71549578011,7912,2124,15099
5335.698720648885,14359,3914,27039
5355.681945517659,22241,6228,43154
5375.665170386434,31299,8567,60423
5395.648395255208,38324,10905,74717
5415.631620123982,40979,11478,80434
5435.614844992757,38385,10893,76603
5455.598069861531,31451,8947,63395
5475.581294730306,22457,6639,46271
5495.56451959908,14314,4186,29901
5515.5477444678545,7956,2329,17053
5535.530969336629,3962,1189,9141
5555.514194205403,1898,530,4671
5575.497419074178,894,251,2457
5595.480643942952,525,121,1479
5615.463868811727,314,80,972
5635.447093680501,246,97,755
5655.430318549275,219,74,641
5675.41354341805,205,66,592
5695.396768286824,216,81,561
5715.379993155599,209,85,539
5735.363218024373,274,85,605
5755.3464428931475,357,107,758
5775.329667761922,486,156,1024
5795.312892630696,857,232,1543
5815.296117499471,1379,396,2516
5835.279342368245,2266,628,3797
5855.2625672370195,3400,992,5607
5875.245792105794,4873,1376,8138
5895.229016974568,6201,1736,10427
5915.212241843343,7512,2131,12597
5935.195466712117,8001,2297,13573
5955.178691580892,7503,2254,13291
