Instrument,800N8573
Date,2023/02/23
Time,15:12:27
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),18.79s
Temperature (Detector),-27.0 C
Temperature (Ambient),41.72 C
Phase Count,2
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)",
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
22,Ti,0.0,0.0077
23,V,0.0,0.0005
24,Cr,0.0,0.0003
25,Mn,0.0289,0.0002
26,Fe,0.0035,0.0003
27,Co,0.0,0.0001
28,Ni,0.0009,0.0034
29,Cu,0.1137,0.0016
30,Zn,0.0014,0.0009
31,Ga,0.0,0.0005
33,As,0.0,0.0126
37,Rb,0.0,0.0017
38,Sr,0.0006,0.0003
39,Y,0.0007,0.0003
40,Zr,0.0,0.0029
41,Nb,0.0081,0.0028
42,Mo,0.0194,0.0039
45,Rh,0.0,0.0004
46,Pd,0.0015,0.0004
47,Ag,0.0169,0.0037
48,Cd,0.0157,0.0045
50,Sn,0.0,0.0021
51,Sb,0.0096,0.0023
52,Te,0.0044,0.0014
56,Ba,0.0019,0.0013
57,La,0.0,0.0035
58,Ce,0.0146,0.0052
72,Hf,0.0,0.0007
73,Ta,0.0,0.0035
74,W,0.0003,0.0032
92,U,0.0,0.0011
 
 
SPECTRA:
eV Channel Start,0.2500309646129608,-1.174769639968872,
eV per Channel,19.983224868774414,19.983224868774414,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.2500309646129608,0,0,
20.233255833387375,0,0,
40.21648070216179,0,0,
60.1997055709362,0,0,
80.18293043971062,0,0,
100.16615530848503,0,0,
120.14938017725945,0,0,
140.13260504603386,0,0,
160.11582991480827,0,0,
180.0990547835827,0,0,
200.0822796523571,0,0,
220.06550452113152,0,0,
240.04872938990593,0,0,
260.03195425868034,0,0,
280.01517912745476,0,0,
299.9984039962292,5,0,
319.9816288650036,48,4,
339.964853733778,328,32,
359.9480786025524,1272,117,
379.9313034713268,2563,299,
399.91452834010124,2467,286,
419.89775320887566,1258,139,
439.88097807765007,316,45,
459.8642029464245,43,7,
479.8474278151989,4,0,
499.8306526839733,1,0,
519.8138775527477,0,0,
539.7971024215221,0,0,
559.7803272902966,0,0,
579.763552159071,17,0,
599.7467770278454,18,0,
619.7300018966198,24,1,
639.7132267653942,9,2,
659.6964516341686,9,0,
679.679676502943,19,1,
699.6629013717175,22,0,
719.6461262404919,24,0,
739.6293511092663,20,1,
759.6125759780407,15,1,
779.5958008468151,13,1,
799.5790257155895,16,0,
819.5622505843639,15,0,
839.5454754531384,17,0,
859.5287003219128,23,1,
879.5119251906872,16,0,
899.4951500594616,15,0,
919.478374928236,16,3,
939.4615997970104,15,0,
959.4448246657848,13,0,
979.4280495345592,14,1,
999.4112744033337,21,0,
1019.3944992721081,23,2,
1039.3777241408825,13,1,
1059.360949009657,11,1,
1079.3441738784313,27,0,
1099.3273987472057,13,1,
1119.3106236159801,16,0,
1139.2938484847546,13,1,
1159.277073353529,12,0,
1179.2602982223034,17,2,
1199.2435230910778,17,3,
1219.2267479598522,21,0,
1239.2099728286266,17,1,
1259.193197697401,16,0,
1279.1764225661755,20,1,
1299.1596474349499,17,2,
1319.1428723037243,13,0,
1339.1260971724987,12,2,
1359.1093220412731,12,3,
1379.0925469100475,20,1,
1399.075771778822,8,2,
1419.0589966475964,16,0,
1439.0422215163708,22,1,
1459.0254463851452,22,3,
1479.0086712539196,18,2,
1498.991896122694,13,0,
1518.9751209914684,19,2,
1538.9583458602428,12,1,
1558.9415707290173,12,0,
1578.9247955977917,9,0,
1598.908020466566,21,1,
