Instrument,800N10235
Date,2023/02/27
Time,14:03:14
Assay #,0002
Application,Precious Metals 2
Method,Auto
Assay Duration (set),15s
Assay Duration (total actual),23.66s
Temperature (Detector),-27.0 C
Temperature (Ambient),31.94 C
Phase Count,1
Phases,"Phase 1(15s): 40.0kV, 10.8uA (Ti:25um/Al:300um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
24,Cr,22.8032,0.0477
25,Mn,1.3119,0.0216
26,Fe,66.7543,0.1093
27,Co,0.0,0.0236
28,Ni,5.7004,0.0316
30,Zn,0.0,0.0009
40,Zr,0.0,0.0016
42,Mo,3.4302,0.0092
46,Pd,0.0,0.0154
47,Ag,0.0,0.008
50,Sn,0.0,0.0156
51,Sb,0.0,0.0198
74,W,0.0,0.0127
75,Re,0.0,0.0043
77,Ir,0.0,0.0026
78,Pt,0.0,0.0026
79,Au,0.0,0.0051
 
 
SPECTRA:
eV Channel Start,-0.09899464249610901,,
eV per Channel,20.025529861450195,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.09899464249610901,0,,
19.926535218954086,0,,
39.95206508040428,0,,
59.97759494185448,0,,
80.00312480330467,0,,
100.02865466475487,0,,
120.05418452620506,0,,
140.07971438765526,0,,
160.10524424910545,0,,
180.13077411055565,0,,
200.15630397200584,0,,
220.18183383345604,0,,
240.20736369490623,0,,
260.23289355635643,0,,
280.2584234178066,0,,
300.2839532792568,4,,
320.309483140707,50,,
340.3350130021572,384,,
360.3605428636074,1694,,
380.3860727250576,3517,,
400.4116025865078,3509,,
420.437132447958,1704,,
440.4626623094082,408,,
460.4881921708584,44,,
480.5137220323086,9,,
500.5392518937588,2,,
520.564781755209,0,,
540.5903116166592,2,,
560.6158414781094,0,,
580.6413713395596,62,,
600.6669012010098,73,,
620.69243106246,63,,
640.7179609239101,82,,
660.7434907853603,63,,
680.7690206468105,75,,
700.7945505082607,81,,
720.8200803697109,91,,
740.8456102311611,77,,
760.8711400926113,74,,
780.8966699540615,52,,
800.9221998155117,71,,
820.9477296769619,81,,
840.9732595384121,91,,
860.9987893998623,74,,
881.0243192613125,72,,
901.0498491227627,78,,
921.0753789842129,86,,
941.1009088456631,83,,
961.1264387071133,78,,
981.1519685685635,81,,
1001.1774984300137,82,,
1021.2030282914639,75,,
1041.228558152914,73,,
1061.2540880143642,61,,
1081.2796178758144,62,,
1101.3051477372646,65,,
1121.3306775987148,72,,
1141.356207460165,72,,
1161.3817373216152,55,,
1181.4072671830654,59,,
1201.4327970445156,58,,
1221.4583269059658,67,,
1241.483856767416,64,,
1261.5093866288662,50,,
1281.5349164903164,57,,
1301.5604463517666,54,,
1321.5859762132168,72,,
1341.611506074667,46,,
1361.6370359361172,57,,
1381.6625657975674,54,,
1401.6880956590176,48,,
1421.7136255204678,63,,
1441.739155381918,58,,
1461.7646852433681,78,,
1481.7902151048183,72,,
1501.8157449662685,71,,
1521.8412748277187,59,,
1541.866804689169,53,,
1561.8923345506191,45,,
1581.9178644120693,54,,
1601.9433942735195,39,,
1621.9689241349697,42,,
1641.99445399642,39,,
1662.01998385787,36,,
1682.0455137193203,33,,
1702.0710435807705,33,,
1722.0965734422207,56,,
1742.1221033036709,56,,
1762.147633165121,45,,
1782.1731630265713,51,,
1802.1986928880215,37,,
1822.2242227494717,54,,
1842.2497526109219,49,,
1862.275282472372,51,,
1882.3008123338223,40,,
1902.3263421952724,40,,
1922.3518720567226,39,,
1942.3774019181728,51,,
1962.402931779623,27,,
1982.4284616410732,45,,
2002.4539915025234,51,,
2022.4795213639736,46,,
2042.5050512254238,43,,
2062.530581086874,41,,
2082.556110948324,43,,
2102.5816408097744,46,,
2122.6071706712246,59,,
2142.632700532675,46,,
2162.658230394125,35,,
2182.683760255575,57,,
2202.7092901170254,47,,
2222.7348199784756,55,,
2242.7603498399258,77,,
2262.785879701376,107,,
2282.811409562826,135,,
2302.8369394242764,145,,
2322.8624692857265,136,,
2342.8879991471767,106,,
2362.913529008627,118,,
2382.939058870077,107,,
2402.9645887315273,103,,
2422.9901185929775,78,,
2443.0156484544277,80,,
2463.041178315878,67,,
2483.066708177328,62,,
2503.0922380387783,59,,
2523.1177679002285,50,,
2543.1432977616787,59,,
2563.168827623129,43,,
2583.194357484579,59,,
2603.2198873460293,56,,
2623.2454172074795,54,,
2643.2709470689297,52,,
2663.29647693038,50,,
2683.32200679183,44,,
2703.3475366532803,38,,
2723.3730665147305,46,,
2743.3985963761806,40,,
2763.424126237631,42,,
2783.449656099081,54,,
2803.4751859605312,52,,
2823.5007158219814,45,,
2843.5262456834316,37,,
2863.551775544882,40,,
2883.577305406332,64,,
2903.602835267782,66,,
2923.6283651292324,71,,
2943.6538949906826,91,,
2963.679424852133,78,,
2983.704954713583,71,,
3003.730484575033,57,,
3023.7560144364834,58,,
3043.7815442979336,39,,
3063.807074159384,44,,
3083.832604020834,43,,
3103.858133882284,48,,
3123.8836637437344,36,,
3143.9091936051846,45,,
3163.9347234666348,40,,
3183.960253328085,59,,
3203.985783189535,75,,
3224.0113130509853,112,,
3244.0368429124355,122,,
3264.0623727738857,164,,
3284.087902635336,202,,
3304.113432496786,182,,
3324.1389623582363,144,,
3344.1644922196865,124,,
3364.1900220811367,88,,
3384.215551942587,61,,
3404.241081804037,65,,
3424.2666116654873,64,,
3444.2921415269375,77,,
3464.3176713883877,104,,
3484.343201249838,129,,
3504.368731111288,130,,
3524.3942609727383,120,,
3544.4197908341885,106,,
3564.4453206956387,95,,
3584.470850557089,119,,
3604.496380418539,151,,
3624.5219102799892,168,,
3644.5474401414394,220,,
3664.5729700028896,253,,
3684.59849986434,237,,
3704.62402972579,191,,
3724.64955958724,157,,
3744.6750894486904,116,,
3764.7006193101406,64,,
3784.726149171591,59,,
3804.751679033041,43,,
3824.777208894491,46,,
3844.8027387559414,47,,
3864.8282686173916,38,,
3884.853798478842,52,,
3904.879328340292,50,,
3924.904858201742,48,,
3944.9303880631924,37,,
3964.9559179246426,36,,
3984.9814477860928,49,,
4005.006977647543,40,,
4025.032507508993,37,,
4045.0580373704433,43,,
4065.0835672318935,34,,
4085.1090970933437,55,,
4105.134626954794,49,,
4125.160156816244,58,,
4145.185686677694,66,,
4165.2112165391445,79,,
4185.236746400595,90,,
4205.262276262045,69,,
4225.287806123495,60,,
4245.313335984945,52,,
4265.3388658463955,49,,
4285.364395707846,51,,
4305.389925569296,34,,
4325.415455430746,52,,
4345.440985292196,45,,
4365.4665151536465,63,,
4385.492045015097,54,,
4405.517574876547,53,,
4425.543104737997,51,,
4445.568634599447,45,,
4465.594164460897,53,,
4485.619694322348,60,,
4505.645224183798,52,,
4525.670754045248,84,,
4545.696283906698,87,,
4565.721813768148,136,,
4585.747343629599,175,,
4605.772873491049,269,,
4625.798403352499,329,,
4645.823933213949,299,,
4665.849463075399,330,,
4685.87499293685,287,,
4705.9005227983,213,,
4725.92605265975,167,,
4745.9515825212,107,,
4765.97711238265,78,,
4786.002642244101,74,,
4806.028172105551,53,,
4826.053701967001,44,,
4846.079231828451,57,,
4866.104761689901,67,,
4886.130291551352,71,,
4906.155821412802,82,,
4926.181351274252,91,,
4946.206881135702,95,,
4966.232410997152,109,,
4986.2579408586025,89,,
5006.283470720053,110,,
5026.309000581503,83,,
5046.334530442953,84,,
5066.360060304403,97,,
5086.3855901658535,86,,
5106.411120027304,91,,
5126.436649888754,92,,
5146.462179750204,90,,
5166.487709611654,128,,
5186.5132394731045,150,,
