Instrument,800N8573
Date,2023/02/28
Time,12:48:49
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),13.22s
Temperature (Detector),-27.0 C
Temperature (Ambient),42.83 C
Phase Count,2
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)",
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
22,Ti,0.1601,0.0736
23,V,0.0,0.0057
24,Cr,17.4384,0.0398
25,Mn,1.177,0.0274
26,Fe,38.8682,0.0422
27,Co,0.2022,0.005
28,Ni,4.7494,0.0271
29,Cu,0.9074,0.0038
30,Zn,0.008,0.0009
31,Ga,0.0,0.001
72,Hf,0.0,0.0026
74,W,0.226,0.0026
79,Au,0.0014,0.0004
 
 
SPECTRA:
eV Channel Start,0.6091611981391907,0.6927483081817627,
eV per Channel,19.983224868774414,19.983224868774414,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.6091611981391907,0,0,
20.592386066913605,0,0,
40.57561093568802,0,0,
60.55883580446243,0,0,
80.54206067323685,0,0,
100.52528554201126,0,0,
120.50851041078568,0,0,
140.4917352795601,0,0,
160.4749601483345,0,0,
180.45818501710892,0,0,
200.44140988588333,0,0,
220.42463475465775,0,0,
240.40785962343216,0,0,
260.3910844922066,0,0,
280.374309360981,0,0,
300.3575342297554,1,2,
320.3407590985298,32,37,
340.32398396730423,218,249,
360.30720883607864,785,855,
380.29043370485306,1480,1663,
400.2736585736275,1424,1583,
420.2568834424019,728,797,
440.2401083111763,212,231,
460.2233331799507,34,40,
480.2065580487251,2,2,
500.18978291749954,2,2,
520.173007786274,1,1,
540.1562326550484,1,2,
560.1394575238228,1,1,
580.1226823925972,60,66,
600.1059072613716,47,56,
620.089132130146,60,67,
640.0723569989204,71,76,
660.0555818676949,57,64,
680.0388067364693,56,61,
700.0220316052437,69,72,
720.0052564740181,56,63,
739.9884813427925,61,67,
759.9717062115669,44,50,
779.9549310803413,58,68,
799.9381559491158,62,68,
819.9213808178902,52,61,
839.9046056866646,57,67,
859.887830555439,59,66,
879.8710554242134,55,63,
899.8542802929878,48,54,
919.8375051617622,66,75,
939.8207300305367,63,65,
959.8039548993111,61,72,
979.7871797680855,49,57,
999.7704046368599,68,73,
1019.7536295056343,66,72,
1039.7368543744087,56,63,
1059.7200792431831,57,64,
1079.7033041119576,37,41,
1099.686528980732,62,66,
1119.6697538495064,39,45,
1139.6529787182808,48,55,
1159.6362035870552,48,52,
1179.6194284558296,61,67,
1199.602653324604,45,48,
1219.5858781933784,46,51,
1239.5691030621529,56,60,
1259.5523279309273,59,63,
1279.5355527997017,55,59,
1299.518777668476,41,43,
1319.5020025372505,47,50,
1339.485227406025,48,59,
1359.4684522747993,45,52,
1379.4516771435738,47,55,
1399.4349020123482,50,56,
1419.4181268811226,43,48,
1439.401351749897,59,64,
1459.3845766186714,79,90,
1479.3678014874458,78,90,
1499.3510263562202,74,81,
1519.3342512249947,65,75,
1539.317476093769,44,49,
1559.3007009625435,38,41,
1579.283925831318,32,36,
1599.2671507000923,34,38,
1619.2503755688667,36,40,
1639.2336004376411,36,36,
1659.2168253064156,38,40,
1679.20005017519,26,27,
1699.1832750439644,35,37,
1719.1664999127388,44,48,
1739.1497247815132,44,50,
1759.1329496502876,38,40,
1779.116174519062,45,51,
1799.0993993878365,40,46,
1819.0826242566109,42,46,
1839.0658491253853,43,47,
1859.0490739941597,40,45,
1879.032298862934,37,41,
1899.0155237317085,56,59,
1918.998748600483,35,35,
1938.9819734692574,34,39,
1958.9651983380318,50,53,
1978.9484232068062,43,45,
1998.9316480755806,43,50,
2018.914872944355,33,37,
2038.8980978131294,36,45,
2058.881322681904,36,38,
2078.8645475506783,39,45,
2098.8477724194527,37,41,
2118.830997288227,42,45,
2138.8142221570015,41,47,
2158.797447025776,38,44,
2178.7806718945503,39,42,
2198.7638967633247,50,56,
2218.747121632099,65,73,
2238.7303465008736,73,81,
2258.713571369648,111,122,
2278.6967962384224,140,150,
2298.680021107197,124,139,
2318.663245975971,140,151,
2338.6464708447456,90,109,
2358.62969571352,113,116,
2378.6129205822945,98,104,
