Instrument,800N8573
Date,2023/03/08
Time,10:46:58
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),60s
Assay Duration (total actual),19.87s
Temperature (Detector),-27.0 C
Temperature (Ambient),49.22 C
Phase Count,1
Phases,"Phase 1(20s): 30.0kV, 40.0uA (Ti:25um/Al:300um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
22,Ti,0.1127,0.0598
23,V,0.0,0.0046
24,Cr,17.7114,0.0319
25,Mn,1.267,0.0223
26,Fe,39.6731,0.034
27,Co,0.1959,0.004
28,Ni,4.7092,0.0214
29,Cu,0.8854,0.0031
30,Zn,0.0068,0.0007
31,Ga,0.0,0.0008
72,Hf,0.0,0.002
74,W,0.2268,0.0021
79,Au,0.0014,0.0003
 
 
SPECTRA:
eV Channel Start,0.522658109664917,,
eV per Channel,19.983224868774414,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.522658109664917,0,,
20.50588297843933,0,,
40.489107847213745,0,,
60.47233271598816,0,,
80.45555758476257,0,,
100.43878245353699,0,,
120.4220073223114,0,,
140.40523219108582,0,,
160.38845705986023,0,,
180.37168192863464,0,,
200.35490679740906,0,,
220.33813166618347,0,,
240.32135653495789,0,,
260.3045814037323,0,,
280.2878062725067,0,,
300.2710311412811,3,,
320.25425601005554,40,,
340.23748087882996,337,,
360.22070574760437,1383,,
380.2039306163788,2529,,
400.1871554851532,2495,,
420.1703803539276,1227,,
440.153605222702,378,,
460.13683009147644,61,,
480.12005496025085,3,,
500.10327982902527,2,,
520.0865046977997,2,,
540.0697295665741,1,,
560.0529544353485,0,,
580.0361793041229,102,,
600.0194041728973,109,,
620.0026290416718,109,,
639.9858539104462,109,,
659.9690787792206,94,,
679.952303647995,109,,
699.9355285167694,102,,
719.9187533855438,107,,
739.9019782543182,98,,
759.8852031230927,115,,
779.8684279918671,119,,
799.8516528606415,106,,
819.8348777294159,110,,
839.8181025981903,105,,
859.8013274669647,111,,
