Instrument,800N8573
Date,2023/03/08
Time,10:57:36
Assay #,0009
Application,Geo
Method,Geo
Assay Duration (set),60s
Assay Duration (total actual),71.61s
Temperature (Detector),-27.0 C
Temperature (Ambient),55.06 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 32.5uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.4892,0.1965
13,Al2O3,1.0149,0.0682
14,SiO2,0.8472,0.0314
15,P,0.0344,0.0056
16,S,1.3174,0.0078
17,Cl,0.0,0.0019
19,K2O,0.0805,0.0041
20,Ca,0.0357,0.0042
22,Ti,0.2129,0.0529
23,V,0.0,0.0041
24,Cr,17.8991,0.0287
25,Mn,1.2267,0.02
26,Fe,40.0877,0.0307
27,Co,0.2053,0.0035
28,Ni,4.7504,0.0193
29,Cu,0.8824,0.0028
30,Zn,0.0074,0.0007
31,Ga,0.0,0.0007
33,As,0.0486,0.0044
34,Se,0.0,0.0002
37,Rb,0.0016,0.0003
38,Sr,0.0005,0.0003
39,Y,0.0,0.0003
40,Zr,0.0027,0.0004
41,Nb,0.0025,0.0003
42,Mo,1.1556,0.0026
45,Rh,0.0,0.0003
46,Pd,0.0,0.0002
47,Ag,0.0,0.0018
48,Cd,0.0,0.0013
50,Sn,0.0,0.0016
51,Sb,0.0,0.0013
52,Te,0.0012,0.0012
56,Ba,0.0,0.0019
57,La,0.0008,0.0066
58,Ce,0.0,0.0062
72,Hf,0.0,0.0018
73,Ta,0.0,0.0037
74,W,0.2302,0.0019
78,Pt,0.0,0.0012
79,Au,0.0013,0.0003
80,Hg,0.0,0.0006
81,Tl,0.0014,0.001
82,Pb,0.0,0.0027
83,Bi,0.013,0.0012
90,Th,0.0,0.0015
92,U,0.0014,0.0005
 
 
SPECTRA:
eV Channel Start,0.3074357509613037,-0.4097757339477539,0.7718522548675537
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.3074357509613037,0,0,0
20.290660619735718,0,0,0
40.27388548851013,0,0,0
60.257110357284546,0,0,0
80.24033522605896,0,0,0
100.22356009483337,0,0,0
120.20678496360779,0,0,0
140.1900098323822,0,0,0
160.17323470115662,0,0,0
180.15645956993103,0,0,0
200.13968443870544,0,0,0
220.12290930747986,0,0,0
240.10613417625427,0,0,0
260.0893590450287,0,0,0
280.0725839138031,0,0,1
300.0558087825775,4,3,4
320.03903365135193,61,77,39
340.02225852012634,451,570,263
360.00548338890076,1569,2253,1006
379.98870825767517,3037,4620,1877
399.9719331264496,3005,4720,1782
419.955157995224,1535,2363,928
439.9383828639984,412,604,242
459.9216077327728,68,80,33
479.90483260154724,7,8,4
499.88805747032166,2,0,6
519.8712823390961,0,1,2
539.8545072078705,3,0,3
559.8377320766449,1,1,1
579.8209569454193,115,163,60
599.8041818141937,133,186,50
619.7874066829681,128,158,70
639.7706315517426,120,174,66
659.753856420517,123,182,73
679.7370812892914,116,141,48
699.7203061580658,109,158,45
719.7035310268402,129,140,34
739.6867558956146,128,170,34
