Instrument,500N7672
Date,2023/03/16
Time,16:02:18
Assay #,0001
Application,Precious Metals
Method,Precious Metals
Assay Duration (set),15s
Assay Duration (total actual),7.33s
Temperature (Detector),-27.0 C
Temperature (Ambient),28.33 C
Phase Count,1
Phases,"Phase 1(15s): 40.0kV, 8.4uA (Ti:25um/Al:300um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
3,Li,0.0,100.0
4,Be,0.0,100.0
12,Mg,0.0,100.0
13,Al,0.0,100.0
14,Si,0.0,100.0
15,P,0.0,100.0
16,S,0.0,100.0
22,Ti,0.0,100.0
23,V,0.0,100.0
24,Cr,24.7029,0.1477
25,Mn,1.4338,0.0682
26,Fe,64.2982,0.2332
27,Co,0.544,0.0656
28,Ni,5.5482,0.0849
29,Cu,0.0,100.0
30,Zn,0.0,0.0015
33,As,0.0,100.0
34,Se,0.0,100.0
37,Rb,0.0,100.0
38,Sr,0.0,100.0
39,Y,0.0,100.0
40,Zr,0.0,0.0029
41,Nb,0.0,100.0
42,Mo,3.4728,0.0243
44,Ru,0.0,0.0068
45,Rh,0.0,100.0
46,Pd,0.0,0.0213
47,Ag,0.0,0.0146
48,Cd,0.0,0.0201
49,In,0.0,100.0
50,Sn,0.0,0.0315
51,Sb,0.0,0.0599
52,Te,0.0,100.0
72,Hf,0.0,100.0
73,Ta,0.0,100.0
74,W,0.0,0.0333
75,Re,0.0,0.0095
76,Os,0.0,100.0
77,Ir,0.0,0.0058
78,Pt,0.0,0.0058
79,Au,0.0,0.0141
82,Pb,0.0,100.0
83,Bi,0.0,100.0
92,U,0.0,100.0
 
 
SPECTRA:
eV Channel Start,0.5899132490158081,,
eV per Channel,20.00100326538086,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.5899132490158081,0,,
20.590916514396667,0,,
40.59191977977753,0,,
60.592923045158386,0,,
80.59392631053925,0,,
100.5949295759201,0,,
120.59593284130096,0,,
140.59693610668182,0,,
160.59793937206268,0,,
180.59894263744354,0,,
200.5999459028244,0,,
220.60094916820526,0,,
240.60195243358612,1,,
260.602955698967,0,,
280.60395896434784,5,,
300.6049622297287,50,,
320.60596549510956,154,,
340.6069687604904,328,,
360.6079720258713,653,,
380.60897529125214,773,,
400.609978556633,821,,
420.61098182201385,592,,
440.6119850873947,339,,
460.6129883527756,141,,
480.61399161815643,62,,
500.6149948835373,9,,
520.6159981489182,1,,
540.617001414299,0,,
560.6180046796799,0,,
580.6190079450607,0,,
600.6200112104416,0,,
620.6210144758224,0,,
640.6220177412033,0,,
660.6230210065842,0,,
680.624024271965,10,,
700.6250275373459,9,,
720.6260308027267,9,,
740.6270340681076,7,,
760.6280373334885,16,,
780.6290405988693,12,,
800.6300438642502,13,,
820.631047129631,7,,
840.6320503950119,4,,
860.6330536603928,19,,
880.6340569257736,5,,
900.6350601911545,9,,
920.6360634565353,7,,
940.6370667219162,7,,
960.6380699872971,13,,
980.6390732526779,5,,
