Instrument,800N8573
Date,2023/03/17
Time,09:23:01
Assay #,0001
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),74.38s
Temperature (Detector),-27.0 C
Temperature (Ambient),45.22 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 10.55uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 13.85uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.05uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.528,0.2161
13,Al2O3,15.8376,0.1698
14,SiO2,51.503,0.224
15,P,0.0191,0.0049
16,S,0.0072,0.0047
17,Cl,0.0,0.0072
19,K2O,1.6014,0.0105
20,Ca,0.0995,0.0032
22,Ti,0.4233,0.0035
23,V,0.0,0.0036
24,Cr,0.0144,0.0024
25,Mn,0.056,0.0022
26,Fe,3.995,0.0121
27,Co,0.0,0.0019
28,Ni,0.0033,0.0005
29,Cu,0.0012,0.0003
30,Zn,0.0038,0.0003
31,Ga,0.0013,0.0002
33,As,0.0004,0.0002
34,Se,0.0,0.0001
37,Rb,0.0054,0.0002
38,Sr,0.0041,0.0002
39,Y,0.0023,0.0002
40,Zr,0.0291,0.0005
41,Nb,0.0018,0.0002
42,Mo,0.0,0.0006
45,Rh,0.0,0.0005
47,Ag,0.0,0.0006
48,Cd,0.0001,0.0004
50,Sn,0.0,0.0011
51,Sb,0.0014,0.0014
56,Ba,0.0558,0.0039
57,La,0.0,0.0042
58,Ce,0.0032,0.0049
72,Hf,0.0002,0.0001
73,Ta,0.0012,0.0027
74,W,0.0021,0.001
80,Hg,0.0,0.0006
81,Tl,0.0,0.0004
82,Pb,0.0023,0.0005
83,Bi,0.0,0.0005
90,Th,0.0016,0.0004
92,U,0.0006,0.0005
 
 
SPECTRA:
eV Channel Start,-0.09462787210941315,0.003913707099854946,-0.09578213840723038
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.09462787210941315,0,0,0
19.888596996665,0,0,0
39.871821865439415,0,0,0
59.85504673421383,0,0,0
79.83827160298824,0,0,0
99.82149647176266,0,0,0
119.80472134053707,0,0,0
139.78794620931149,0,0,0
159.7711710780859,0,0,0
179.7543959468603,0,0,0
199.73762081563473,0,0,0
219.72084568440914,0,0,0
239.70407055318356,0,0,0
259.68729542195797,0,0,0
279.6705202907324,0,1,1
299.6537451595068,1,7,5
319.6369700282812,81,88,89
339.6201948970556,621,708,705
359.60341976583004,2606,2557,2640
379.58664463460445,5135,5127,5291
399.56986950337887,5090,4962,5204
419.5530943721533,2587,2596,2754
439.5363192409277,695,720,670
459.5195441097021,81,123,88
479.5027689784765,7,7,7
499.48599384725094,1,1,0
519.4692187160254,2,1,1
539.4524435847998,0,0,0
559.4356684535742,0,1,0
579.4188933223486,57,165,16
599.402118191123,63,171,20
619.3853430598974,70,188,15
639.3685679286718,73,189,21
659.3517927974463,56,179,18
679.3350176662207,57,199,10
699.3182425349951,65,188,10
719.3014674037695,52,188,14
739.2846922725439,65,181,11
759.2679171413183,53,186,12
779.2511420100927,52,179,17
799.2343668788671,52,181,16
819.2175917476416,50,181,16
839.200816616416,50,190,20
859.1840414851904,62,189,18
879.1672663539648,64,174,25
899.1504912227392,57,172,34
919.1337160915136,60,171,37
939.116940960288,58,171,39
959.1001658290625,52,166,39
979.0833906978369,60,163,36
999.0666155666113,47,172,20
1019.0498404353857,56,177,22
1039.0330653041601,55,159,23
1059.0162901729345,61,153,35
1078.999515041709,41,153,32
1098.9827399104834,55,156,40
1118.9659647792578,44,150,35
1138.9491896480322,41,146,30
1158.9324145168066,57,143,31
1178.915639385581,41,163,35
1198.8988642543554,63,126,48
1218.8820891231298,51,149,61
1238.8653139919043,55,165,37
1258.8485388606787,49,144,40
1278.831763729453,50,130,41
1298.8149885982275,52,154,27
1318.798213467002,40,132,43
1338.7814383357763,40,152,34
1358.7646632045507,39,139,47
1378.7478880733252,50,157,67
1398.7311129420996,43,147,196
1418.714337810874,58,131,471
1438.6975626796484,49,152,1145
1458.6807875484228,61,157,1897
1478.6640124171972,74,167,2335
1498.6472372859716,67,157,2188
1518.630462154746,67,157,1470
1538.6136870235205,55,137,832
1558.5969118922949,45,171,409
1578.5801367610693,50,154,254
1598.5633616298437,35,131,193
1618.5465864986181,43,152,209
1638.5298113673925,54,133,568
1658.513036236167,51,128,1792
1678.4962611049414,85,162,4597
1698.4794859737158,118,162,9225
1718.4627108424902,141,159,13920
1738.4459357112646,162,180,15723
1758.429160580039,127,171,13135
1778.4123854488134,119,152,8231
