Instrument,800N8573
Date,2023/04/28
Time,15:30:43
Assay #,0006
Application,Spectrometer Mode
Method,
Assay Duration (set),10s
Assay Duration (total actual),10.97s
Temperature (Detector),-27.0 C
Temperature (Ambient),39.44 C
Phase Count,1
Phases,"Phase 1(10s): 30.0kV, 20.0uA (Ti:25um/Al:300um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
0,No Results,0,0
 
 
SPECTRA:
eV Channel Start,-0.19326062500476837,,
eV per Channel,19.983224868774414,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.19326062500476837,0,,
19.789964243769646,0,,
39.77318911254406,0,,
59.756413981318474,0,,
79.73963885009289,0,,
99.7228637188673,0,,
119.70608858764172,0,,
139.68931345641613,0,,
159.67253832519054,0,,
179.65576319396496,0,,
199.63898806273937,0,,
219.6222129315138,0,,
239.6054378002882,0,,
259.5886626690626,0,,
279.57188753783703,0,,
299.55511240661144,5,,
319.53833727538586,35,,
339.52156214416027,295,,
359.5047870129347,1130,,
379.4880118817091,2054,,
399.4712367504835,2163,,
419.4544616192579,1113,,
439.43768648803234,312,,
459.42091135680676,48,,
479.40413622558117,4,,
499.3873610943556,2,,
519.37058596313,0,,
539.3538108319044,0,,
559.3370357006788,0,,
579.3202605694532,36,,
599.3034854382277,38,,
619.2867103070021,52,,
639.2699351757765,42,,
659.2531600445509,40,,
679.2363849133253,50,,
699.2196097820997,51,,
719.2028346508741,48,,
739.1860595196486,45,,
759.169284388423,38,,
779.1525092571974,36,,
799.1357341259718,37,,
819.1189589947462,41,,
839.1021838635206,38,,
859.085408732295,48,,
879.0686336010695,52,,
899.0518584698439,56,,
919.0350833386183,49,,
939.0183082073927,50,,
959.0015330761671,45,,
978.9847579449415,43,,
998.9679828137159,38,,
1018.9512076824903,39,,
1038.9344325512648,41,,
1058.9176574200392,34,,
1078.9008822888136,48,,
1098.884107157588,42,,
1118.8673320263624,43,,
1138.8505568951368,49,,
1158.8337817639112,39,,
1178.8170066326857,37,,
1198.80023150146,36,,
1218.7834563702345,37,,
1238.766681239009,43,,
1258.7499061077833,29,,
1278.7331309765577,36,,
1298.7163558453321,33,,
1318.6995807141066,48,,
1338.682805582881,39,,
1358.6660304516554,22,,
1378.6492553204298,34,,
1398.6324801892042,25,,
1418.6157050579786,32,,
1438.598929926753,49,,
1458.5821547955275,57,,
1478.5653796643019,52,,
1498.5486045330763,44,,
1518.5318294018507,46,,
1538.5150542706251,30,,
1558.4982791393995,26,,
1578.481504008174,17,,
1598.4647288769484,18,,
1618.4479537457228,17,,
1638.4311786144972,24,,
1658.4144034832716,31,,
1678.397628352046,20,,
1698.3808532208204,18,,
1718.3640780895948,36,,
1738.3473029583693,32,,
1758.3305278271437,34,,
1778.313752695918,25,,
1798.2969775646925,36,,
1818.280202433467,31,,
1838.2634273022413,24,,
1858.2466521710157,30,,
1878.2298770397902,34,,
1898.2131019085646,27,,
1918.196326777339,28,,
1938.1795516461134,31,,
1958.1627765148878,30,,
1978.1460013836622,34,,
1998.1292262524366,39,,
2018.112451121211,35,,
2038.0956759899855,15,,
2058.07890085876,25,,
2078.0621257275343,31,,
2098.0453505963087,35,,
2118.028575465083,26,,
2138.0118003338575,18,,
2157.995025202632,27,,
2177.9782500714064,30,,
2197.961474940181,32,,
2217.944699808955,31,,
2237.9279246777296,62,,
2257.911149546504,78,,
2277.8943744152784,93,,
2297.877599284053,84,,
2317.8608241528273,79,,
2337.8440490216017,100,,
2357.827273890376,67,,
2377.8104987591505,66,,
2397.793723627925,73,,
2417.7769484966993,76,,
2437.7601733654737,60,,
2457.743398234248,63,,
2477.7266231030226,40,,
2497.709847971797,44,,
2517.6930728405714,39,,
2537.676297709346,31,,
2557.6595225781202,27,,
2577.6427474468946,33,,
2597.625972315669,36,,
2617.6091971844435,46,,
2637.592422053218,35,,
2657.5756469219923,27,,
2677.5588717907667,32,,
2697.542096659541,22,,
2717.5253215283155,29,,
2737.50854639709,19,,
2757.4917712658644,28,,
2777.474996134639,29,,
2797.458221003413,25,,
2817.4414458721876,25,,
2837.424670740962,34,,
2857.4078956097364,30,,
2877.391120478511,28,,
2897.3743453472853,37,,
2917.3575702160597,50,,
2937.340795084834,74,,
2957.3240199536085,82,,
2977.307244822383,68,,
2997.2904696911573,49,,
3017.2736945599318,39,,
3037.256919428706,37,,
3057.2401442974806,22,,
3077.223369166255,19,,
3097.2065940350294,31,,
3117.189818903804,31,,
3137.1730437725782,25,,
3157.1562686413527,32,,
3177.139493510127,39,,
3197.1227183789015,45,,
3217.105943247676,70,,
3237.0891681164503,94,,
3257.0723929852247,142,,
3277.055617853999,142,,
3297.0388427227736,162,,
3317.022067591548,149,,
3337.0052924603224,100,,
3356.988517329097,54,,
3376.971742197871,41,,
3396.9549670666456,48,,
3416.93819193542,35,,
3436.9214168041945,60,,
3456.904641672969,77,,
3476.8878665417433,112,,
3496.8710914105177,92,,
3516.854316279292,96,,
3536.8375411480665,100,,
3556.820766016841,75,,
3576.8039908856153,98,,
3596.7872157543898,135,,
3616.770440623164,156,,
3636.7536654919386,188,,
3656.736890360713,211,,
3676.7201152294874,207,,
3696.703340098262,218,,
3716.6865649670362,134,,
3736.6697898358107,115,,
3756.653014704585,66,,
3776.6362395733595,39,,
3796.619464442134,34,,
3816.6026893109083,19,,
3836.5859141796827,33,,
3856.569139048457,22,,
3876.5523639172316,30,,
3896.535588786006,32,,
3916.5188136547804,29,,
3936.502038523555,36,,
3956.485263392329,45,,
3976.4684882611036,24,,
3996.451713129878,25,,
4016.4349379986525,32,,
4036.418162867427,34,,
4056.4013877362013,19,,
4076.3846126049757,35,,
4096.36783747375,36,,
4116.3510623425245,44,,
4136.334287211299,52,,
4156.317512080073,40,,
4176.300736948848,63,,
4196.283961817622,45,,
4216.267186686397,65,,
4236.250411555171,47,,
4256.233636423945,49,,
4276.21686129272,36,,
4296.200086161494,44,,
4316.183311030269,35,,
4336.166535899043,34,,
4356.1497607678175,43,,
4376.132985636592,41,,
4396.116210505366,27,,
4416.099435374141,39,,
4436.082660242915,28,,
4456.06588511169,43,,
4476.049109980464,25,,
4496.032334849238,45,,
4516.015559718013,44,,
4535.998784586787,69,,
4555.982009455562,103,,
4575.965234324336,122,,
4595.9484591931105,203,,
4615.931684061885,225,,
4635.914908930659,246,,
4655.898133799434,283,,
4675.881358668208,248,,
4695.8645835369825,231,,
4715.847808405757,170,,
4735.831033274531,118,,
4755.814258143306,81,,
4775.79748301208,47,,
4795.780707880855,55,,
4815.763932749629,45,,
4835.747157618403,49,,
4855.730382487178,57,,
4875.713607355952,55,,
4895.696832224727,70,,
4915.680057093501,66,,
4935.6632819622755,80,,
4955.64650683105,89,,
4975.629731699824,86,,
4995.612956568599,70,,
5015.596181437373,59,,
5035.579406306148,66,,
5055.562631174922,60,,
5075.545856043696,72,,
5095.529080912471,84,,
5115.512305781245,60,,
5135.49553065002,82,,
5155.478755518794,99,,
5175.4619803875685,143,,
5195.445205256343,166,,
5215.428430125117,228,,
5235.411654993892,349,,
5255.394879862666,663,,
5275.3781047314405,1389,,
5295.361329600215,2877,,
5315.344554468989,5856,,
5335.327779337764,10347,,
5355.311004206538,16491,,
5375.294229075313,23132,,
5395.277453944087,28152,,
5415.260678812861,29937,,
5435.243903681636,28313,,
5455.22712855041,23072,,
5475.210353419185,16480,,
5495.193578287959,10254,,
5515.1768031567335,5584,,
5535.160028025508,2902,,
5555.143252894282,1253,,
5575.126477763057,553,,
5595.109702631831,330,,
5615.092927500606,221,,
5635.07615236938,171,,
5655.059377238154,132,,
5675.042602106929,136,,
5695.025826975703,132,,
5715.009051844478,155,,
5734.992276713252,204,,
5754.9755015820265,258,,
5774.958726450801,381,,
5794.941951319575,647,,
