Instrument,800N8573
Date,2023/04/28
Time,15:32:56
Assay #,0010
Application,Spectrometer Mode
Method,
Assay Duration (set),10s
Assay Duration (total actual),10.81s
Temperature (Detector),-27.0 C
Temperature (Ambient),40.06 C
Phase Count,1
Phases,"Phase 1(10s): 50.0kV, 20.0uA (Cu:75um/Ti:25um/Al:200um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
0,No Results,0,0
 
 
SPECTRA:
eV Channel Start,0.24644352495670319,,
eV per Channel,19.983224868774414,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.24644352495670319,0,,
20.229668393731117,0,,
40.21289326250553,0,,
60.196118131279945,0,,
80.17934300005436,0,,
100.16256786882877,0,,
120.14579273760319,0,,
140.1290176063776,0,,
160.11224247515202,0,,
180.09546734392643,0,,
200.07869221270084,0,,
220.06191708147526,0,,
240.04514195024967,0,,
260.0283668190241,0,,
280.0115916877985,0,,
299.9948165565729,2,,
319.9780414253473,48,,
339.96126629412174,324,,
359.94449116289616,1323,,
379.92771603167057,2567,,
399.910940900445,2454,,
419.8941657692194,1308,,
439.8773906379938,319,,
459.8606155067682,34,,
479.84384037554264,2,,
499.82706524431705,0,,
519.8102901130915,0,,
539.7935149818659,0,,
559.7767398506403,0,,
579.7599647194147,72,,
599.7431895881891,75,,
619.7264144569635,76,,
639.709639325738,91,,
659.6928641945124,75,,
679.6760890632868,60,,
699.6593139320612,86,,
719.6425388008356,61,,
739.62576366961,72,,
759.6089885383844,69,,
779.5922134071589,80,,
799.5754382759333,55,,
819.5586631447077,56,,
839.5418880134821,74,,
859.5251128822565,75,,
879.5083377510309,80,,
899.4915626198053,73,,
919.4747874885798,79,,
939.4580123573542,57,,
959.4412372261286,63,,
979.424462094903,79,,
999.4076869636774,89,,
1019.3909118324518,60,,
1039.3741367012262,54,,
1059.3573615700006,58,,
1079.340586438775,65,,
1099.3238113075495,62,,
1119.307036176324,66,,
1139.2902610450983,73,,
1159.2734859138727,63,,
1179.2567107826471,55,,
1199.2399356514215,57,,
1219.223160520196,58,,
1239.2063853889704,58,,
1259.1896102577448,59,,
1279.1728351265192,64,,
1299.1560599952936,67,,
1319.139284864068,49,,
1339.1225097328424,57,,
1359.1057346016169,65,,
1379.0889594703913,47,,
1399.0721843391657,55,,
1419.05540920794,57,,
1439.0386340767145,58,,
1459.021858945489,67,,
1479.0050838142633,61,,
1498.9883086830378,82,,
1518.9715335518122,66,,
1538.9547584205866,52,,
1558.937983289361,38,,
1578.9212081581354,57,,
1598.9044330269098,48,,
1618.8876578956842,54,,
1638.8708827644587,42,,
1658.854107633233,41,,
1678.8373325020075,44,,
1698.820557370782,57,,
1718.8037822395563,67,,
1738.7870071083307,49,,
1758.7702319771051,45,,
1778.7534568458796,51,,
1798.736681714654,62,,
1818.7199065834284,46,,
1838.7031314522028,51,,
1858.6863563209772,46,,
1878.6695811897516,39,,
1898.652806058526,59,,
1918.6360309273005,41,,
1938.6192557960749,52,,
1958.6024806648493,54,,
1978.5857055336237,46,,
1998.568930402398,53,,
2018.5521552711725,37,,
2038.535380139947,47,,
2058.5186050087214,42,,
2078.5018298774958,49,,
2098.48505474627,36,,
2118.4682796150446,34,,
2138.451504483819,37,,
2158.4347293525934,48,,
2178.417954221368,53,,
2198.4011790901423,49,,
2218.3844039589167,72,,
2238.367628827691,59,,
2258.3508536964655,69,,
2278.33407856524,81,,
2298.3173034340143,95,,
2318.3005283027887,103,,
2338.283753171563,85,,
2358.2669780403376,80,,
2378.250202909112,75,,
2398.2334277778864,86,,
2418.216652646661,62,,
2438.199877515435,81,,
2458.1831023842096,47,,
2478.166327252984,56,,
2498.1495521217585,64,,
2518.132776990533,47,,
2538.1160018593073,49,,
2558.0992267280817,47,,
2578.082451596856,42,,
2598.0656764656305,55,,
2618.048901334405,49,,
2638.0321262031794,53,,
2658.015351071954,51,,
2677.998575940728,42,,
2697.9818008095026,55,,
2717.965025678277,53,,
2737.9482505470514,53,,
2757.931475415826,46,,
2777.9147002846003,44,,
2797.8979251533747,36,,
2817.881150022149,50,,
2837.8643748909235,58,,
2857.847599759698,43,,
2877.8308246284723,40,,
2897.8140494972467,51,,
2917.797274366021,47,,
2937.7804992347956,57,,
2957.76372410357,54,,
2977.7469489723444,52,,
2997.730173841119,35,,
3017.713398709893,44,,
3037.6966235786676,51,,
3057.679848447442,34,,
3077.6630733162165,34,,
3097.646298184991,48,,
3117.6295230537653,38,,
3137.6127479225397,52,,
3157.595972791314,40,,
3177.5791976600885,36,,
3197.562422528863,50,,
3217.5456473976374,59,,
3237.528872266412,75,,
3257.512097135186,93,,
3277.4953220039606,109,,
3297.478546872735,118,,
3317.4617717415094,95,,
3337.444996610284,64,,
3357.4282214790583,60,,
3377.4114463478327,55,,
3397.394671216607,48,,
3417.3778960853815,50,,
3437.361120954156,61,,
3457.3443458229303,64,,
3477.3275706917048,61,,
3497.310795560479,74,,
3517.2940204292536,73,,
3537.277245298028,67,,
3557.2604701668024,67,,
3577.243695035577,75,,
3597.2269199043512,73,,
3617.2101447731256,89,,
3637.1933696419,90,,
3657.1765945106745,117,,
3677.159819379449,111,,
3697.1430442482233,103,,
3717.1262691169977,87,,
3737.109493985772,63,,
3757.0927188545465,41,,
3777.075943723321,46,,
3797.0591685920954,43,,
3817.04239346087,40,,
3837.025618329644,54,,
3857.0088431984186,40,,
3876.992068067193,27,,
3896.9752929359674,36,,
3916.958517804742,35,,
3936.9417426735163,33,,
3956.9249675422907,40,,
3976.908192411065,31,,
3996.8914172798395,36,,
4016.874642148614,38,,
4036.8578670173883,28,,
4056.8410918861628,31,,
4076.824316754937,41,,
4096.807541623712,39,,
4116.790766492486,38,,
4136.77399136126,51,,
4156.757216230035,41,,
4176.740441098809,55,,
4196.723665967584,44,,
4216.706890836358,47,,
4236.6901157051325,44,,
4256.673340573907,40,,
4276.656565442681,45,,
4296.639790311456,27,,
4316.62301518023,27,,
4336.606240049005,30,,
4356.589464917779,37,,
4376.572689786553,36,,
4396.555914655328,28,,
4416.539139524102,29,,
4436.522364392877,32,,
4456.505589261651,35,,
4476.488814130425,43,,
4496.4720389992,37,,
4516.455263867974,52,,
4536.438488736749,53,,
4556.421713605523,46,,
4576.4049384742975,68,,
4596.388163343072,94,,
4616.371388211846,100,,
4636.354613080621,110,,
4656.337837949395,122,,
4676.32106281817,111,,
4696.304287686944,86,,
4716.287512555718,71,,
4736.270737424493,57,,
4756.253962293267,39,,
4776.237187162042,42,,
4796.220412030816,42,,
4816.2036368995905,45,,
4836.186861768365,36,,
4856.170086637139,41,,
4876.153311505914,38,,
4896.136536374688,43,,
4916.119761243463,38,,
4936.102986112237,56,,
4956.086210981011,44,,
4976.069435849786,37,,
4996.05266071856,50,,
5016.035885587335,45,,
5036.019110456109,36,,
5056.0023353248835,47,,
5075.985560193658,32,,
5095.968785062432,41,,
5115.952009931207,50,,
5135.935234799981,51,,
5155.9184596687555,55,,
5175.90168453753,67,,
5195.884909406304,60,,
5215.868134275079,80,,
5235.851359143853,120,,
5255.834584012628,228,,
5275.817808881402,448,,
5295.801033750176,966,,
5315.784258618951,2012,,
5335.767483487725,3544,,
5355.7507083565,5649,,
5375.733933225274,7979,,
5395.7171580940485,9959,,
5415.700382962823,10480,,
5435.683607831597,9559,,
5455.666832700372,7838,,
5475.650057569146,5607,,
5495.633282437921,3495,,
5515.616507306695,1946,,
5535.599732175469,1043,,
5555.582957044244,448,,
5575.566181913018,215,,
5595.549406781793,123,,
5615.532631650567,86,,
5635.5158565193415,81,,
5655.499081388116,60,,
5675.48230625689,72,,
5695.465531125665,75,,
5715.448755994439,72,,
5735.4319808632135,88,,
5755.415205731988,117,,
5775.398430600762,160,,
5795.381655469537,247,,
5815.364880338311,380,,
