Instrument,800N8573
Date,2023/05/03
Time,14:24:36
Assay #,0001
Application,AlloysTest
Method,AlloysTest
Assay Duration (set),30s
Assay Duration (total actual),32.68s
Temperature (Detector),-27.0 C
Temperature (Ambient),29.83 C
Phase Count,1
Phases,"Phase 1(30s): 40.0kV, 20.0uA (Ti:25um/Al:300um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
13,Al,0.1245,0.0041
14,Si,7.1252,0.4209
15,P,0.0331,0.0007
16,S,0.0556,0.0008
23,V,0.0331,0.0017
24,Cr,14.8843,0.0177
25,Mn,4.311,0.0121
27,Co,0.0004,0.0
28,Ni,6.289,0.0195
29,Cu,0.1367,0.0026
42,Mo,3.3296,0.005
 
 
SPECTRA:
eV Channel Start,0.46838927268981934,,
eV per Channel,19.983224868774414,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.46838927268981934,0,,
20.451614141464233,0,,
40.43483901023865,0,,
60.41806387901306,0,,
80.40128874778748,0,,
100.38451361656189,0,,
120.3677384853363,0,,
140.35096335411072,0,,
160.33418822288513,0,,
180.31741309165955,0,,
200.30063796043396,0,,
220.28386282920837,0,,
240.2670876979828,0,,
260.2503125667572,0,,
280.2335374355316,1,,
300.21676230430603,9,,
320.19998717308044,101,,
340.18321204185486,802,,
360.1664369106293,2971,,
380.1496617794037,5573,,
400.1328866481781,5376,,
420.1161115169525,2818,,
440.09933638572693,782,,
460.08256125450134,137,,
480.06578612327576,16,,
500.04901099205017,2,,
520.0322358608246,2,,
540.015460729599,0,,
559.9986855983734,4,,
579.9819104671478,234,,
599.9651353359222,242,,
619.9483602046967,245,,
639.9315850734711,245,,
659.9148099422455,245,,
679.8980348110199,243,,
699.8812596797943,260,,
719.8644845485687,240,,
739.8477094173431,280,,
759.8309342861176,231,,
779.814159154892,251,,
799.7973840236664,261,,
819.7806088924408,259,,
839.7638337612152,259,,
859.7470586299896,246,,
879.730283498764,255,,
899.7135083675385,263,,
919.6967332363129,288,,
939.6799581050873,221,,
959.6631829738617,229,,
979.6464078426361,241,,
999.6296327114105,252,,
1019.6128575801849,249,,
1039.5960824489594,225,,
1059.5793073177338,227,,
1079.5625321865082,199,,
1099.5457570552826,242,,
1119.528981924057,223,,
1139.5122067928314,200,,
1159.4954316616058,236,,
1179.4786565303802,227,,
1199.4618813991547,223,,
1219.445106267929,205,,
1239.4283311367035,186,,
1259.411556005478,228,,
1279.3947808742523,192,,
1299.3780057430267,197,,
1319.3612306118011,192,,
1339.3444554805756,166,,
1359.32768034935,168,,
1379.3109052181244,202,,
1399.2941300868988,191,,
1419.2773549556732,199,,
1439.2605798244476,228,,
1459.243804693222,266,,
1479.2270295619965,282,,
1499.2102544307709,234,,
1519.1934792995453,237,,
1539.1767041683197,171,,
1559.1599290370941,162,,
1579.1431539058685,149,,
1599.126378774643,160,,
