Instrument,800C10455
Date,2023/05/05
Time,12:02:55
Assay #,0006
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.33s
Temperature (Detector),-27.0 C
Temperature (Ambient),38.44 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.4506,0.2331
13,Al2O3,0.7212,0.0759
14,SiO2,0.6015,0.0398
15,P,0.0381,0.008
16,S,0.0,0.0236
17,Cl,0.0,0.003
19,K2O,0.1088,0.005
20,Ca,0.0,0.0063
22,Ti,0.0,0.0066
23,V,0.0456,0.0072
24,Cr,19.5555,0.049
25,Mn,0.2925,0.0252
26,Fe,33.3851,0.0442
27,Co,0.3644,0.005
28,Ni,4.7813,0.0309
29,Cu,0.6197,0.0036
30,Zn,0.0172,0.0007
31,Ga,0.0005,0.0008
33,As,0.0953,0.0363
34,Se,0.0,0.0013
37,Rb,0.0043,0.003
38,Sr,0.0006,0.0007
39,Y,0.0009,0.0005
40,Zr,0.0,0.0013
41,Nb,0.0167,0.0036
42,Mo,7.5655,0.0427
45,Rh,0.0,0.0007
46,Pd,0.0016,0.0005
47,Ag,0.0,0.0015
48,Cd,0.0003,0.0003
50,Sn,0.0,0.0031
51,Sb,0.0032,0.0035
56,Ba,0.0067,0.0044
57,La,0.0222,0.0149
58,Ce,0.0,0.0168
72,Hf,0.0,0.0022
73,Ta,0.0,0.0082
74,W,0.2084,0.0031
78,Pt,0.0,0.0026
79,Au,0.0,0.0004
80,Hg,0.0,0.0012
81,Tl,0.0,0.0129
82,Pb,0.0,0.017
83,Bi,0.0189,0.0113
90,Th,0.0,0.0137
92,U,0.0002,0.0013
 
 
SPECTRA:
eV Channel Start,0.10152953863143921,-0.14649876952171326,0.22364045679569244
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.10152953863143921,0,0,0
20.12275642156601,0,0,0
40.14398330450058,0,0,0
60.16521018743515,0,0,0
80.18643707036972,0,0,0
100.20766395330429,0,0,0
120.22889083623886,0,0,0
140.25011771917343,0,0,0
160.271344602108,0,0,0
180.29257148504257,0,0,0
200.31379836797714,0,0,0
220.3350252509117,0,0,0
240.35625213384628,0,0,0
260.37747901678085,0,0,0
280.3987058997154,0,2,0
300.41993278265,9,10,10
320.44115966558456,107,132,112
340.46238654851913,767,778,654
360.4836134314537,2363,2773,2246
380.5048403143883,4370,4960,4065
400.52606719732285,4250,4833,3995
420.5472940802574,2359,2846,2144
440.568520963192,770,811,694
460.58974784612656,136,136,108
480.6109747290611,12,27,18
500.6322016119957,0,0,2
520.6534284949303,0,0,0
540.6746553778648,0,0,0
560.6958822607994,0,0,1
580.717109143734,40,22,34
600.7383360266685,52,34,43
620.7595629096031,39,35,38
640.7807897925377,46,36,36
660.8020166754723,44,38,32
680.8232435584068,45,36,30
700.8444704413414,54,29,16
720.865697324276,51,34,24
740.8869242072105,56,42,27
760.9081510901451,54,34,21
780.9293779730797,66,31,25
800.9506048560143,43,31,35
820.9718317389488,41,26,21
840.9930586218834,43,47,32
861.014285504818,53,27,18
881.0355123877525,50,36,25
901.0567392706871,53,35,41
921.0779661536217,44,30,46
941.0991930365562,59,30,44
961.1204199194908,53,37,33
981.1416468024254,43,37,32
1001.16287368536,46,42,34
1021.1841005682945,52,32,20
1041.205327451229,41,24,17
1061.2265543341637,40,29,34
1081.2477812170982,38,45,39
1101.2690081000328,41,33,27
1121.2902349829674,36,29,29
1141.311461865902,35,22,31
1161.3326887488365,38,36,26
1181.353915631771,38,25,35
1201.3751425147057,27,20,48
1221.3963693976402,34,30,45
1241.4175962805748,34,23,29
1261.4388231635094,41,25,32
1281.460050046444,43,43,24
1301.4812769293785,32,28,25
1321.502503812313,30,36,27
1341.5237306952477,30,22,22
1361.5449575781822,35,23,31
1381.5661844611168,29,29,22
1401.5874113440514,23,28,33
1421.608638226986,36,22,35
1441.6298651099205,43,24,69
1461.651091992855,51,27,102
1481.6723188757896,44,24,96
1501.6935457587242,52,27,91
1521.7147726416588,42,34,74
1541.7359995245934,30,22,52
1561.757226407528,40,14,40
1581.7784532904625,34,20,40
1601.799680173397,27,24,30
1621.8209070563316,23,32,38
1641.8421339392662,25,21,52
1661.8633608222008,19,21,66
1681.8845877051353,32,19,87
1701.90581458807,30,19,157
1721.9270414710045,37,27,209
1741.948268353939,27,20,249
1761.9694952368736,29,20,187
1781.9907221198082,29,21,135
1802.0119490027428,25,23,111
1822.0331758856773,28,26,72
