Instrument,800C10455
Date,2023/05/05
Time,12:35:28
Assay #,0033
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),21.73s
Temperature (Detector),-27.0 C
Temperature (Ambient),41.33 C
Phase Count,1
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)",,
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
22,Ti,0.0,0.0067
23,V,0.0593,0.0073
24,Cr,19.9713,0.0503
25,Mn,0.2224,0.026
26,Fe,34.2071,0.0457
27,Co,0.2832,0.0051
28,Ni,4.8397,0.0326
29,Cu,0.6343,0.0039
30,Zn,0.0174,0.0008
31,Ga,0.0018,0.001
72,Hf,0.0,0.0022
74,W,0.1963,0.0033
79,Au,0.0,0.0004
 
 
SPECTRA:
eV Channel Start,-0.008626768365502357,,
eV per Channel,20.02122688293457,,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.008626768365502357,0,,
20.012600114569068,0,,
40.03382699750364,0,,
60.05505388043821,0,,
80.07628076337278,0,,
100.09750764630735,0,,
120.11873452924192,0,,
140.1399614121765,0,,
160.16118829511106,0,,
180.18241517804563,0,,
200.2036420609802,0,,
220.22486894391477,0,,
240.24609582684934,0,,
260.2673227097839,0,,
280.2885495927185,0,,
300.30977647565305,9,,
320.3310033585876,121,,
340.3522302415222,686,,
360.37345712445676,2362,,
380.39468400739133,4402,,
400.4159108903259,4411,,
420.4371377732605,2294,,
440.45836465619504,749,,
460.4795915391296,141,,
480.5008184220642,9,,
500.52204530499876,3,,
520.5432721879333,0,,
540.5644990708679,1,,
560.5857259538025,0,,
580.606952836737,61,,
600.6281797196716,39,,
620.6494066026062,46,,
640.6706334855407,46,,
660.6918603684753,47,,
680.7130872514099,44,,
700.7343141343445,49,,
720.755541017279,38,,
740.7767679002136,47,,
760.7979947831482,48,,
780.8192216660827,42,,
800.8404485490173,43,,
820.8616754319519,44,,
840.8829023148865,59,,
860.904129197821,43,,
880.9253560807556,46,,
900.9465829636902,44,,
920.9678098466247,48,,
940.9890367295593,50,,
961.0102636124939,54,,
981.0314904954284,47,,
1001.052717378363,57,,
1021.0739442612976,40,,
1041.0951711442322,44,,
1061.1163980271667,58,,
1081.1376249101013,54,,
1101.1588517930359,49,,
1121.1800786759704,42,,
1141.201305558905,39,,
1161.2225324418396,41,,
1181.2437593247741,44,,
1201.2649862077087,43,,
1221.2862130906433,40,,
1241.3074399735779,49,,
1261.3286668565124,44,,
1281.349893739447,30,,
1301.3711206223816,36,,
1321.3923475053161,30,,
1341.4135743882507,32,,
1361.4348012711853,34,,
1381.4560281541198,31,,
1401.4772550370544,35,,
1421.498481919989,39,,
1441.5197088029236,43,,
1461.5409356858581,48,,
1481.5621625687927,63,,
1501.5833894517273,58,,
1521.6046163346618,39,,
1541.6258432175964,39,,
1561.647070100531,34,,
1581.6682969834656,29,,
1601.6895238664001,33,,
1621.7107507493347,22,,
1641.7319776322693,25,,
1661.7532045152038,21,,
1681.7744313981384,26,,
1701.795658281073,27,,
1721.8168851640075,23,,
1741.8381120469421,23,,
1761.8593389298767,37,,
1781.8805658128113,32,,
1801.9017926957458,33,,
1821.9230195786804,33,,
1841.944246461615,21,,
1861.9654733445495,29,,
1881.986700227484,37,,
1902.0079271104187,34,,
1922.0291539933532,33,,
1942.0503808762878,39,,
1962.0716077592224,42,,
1982.092834642157,33,,
2002.1140615250915,29,,
2022.135288408026,32,,
2042.1565152909607,27,,
2062.1777421738952,35,,
2082.19896905683,26,,
2102.2201959397644,39,,
2122.241422822699,26,,
2142.2626497056335,27,,
2162.283876588568,40,,
2182.3051034715027,38,,
2202.3263303544372,42,,
2222.347557237372,41,,
2242.3687841203064,82,,
2262.390011003241,72,,
2282.4112378861755,104,,
2302.43246476911,120,,
2322.4536916520447,90,,
2342.474918534979,80,,
2362.496145417914,85,,
2382.5173723008484,93,,
2402.538599183783,81,,
2422.5598260667175,70,,
2442.581052949652,62,,
2462.6022798325866,63,,
2482.623506715521,52,,
2502.644733598456,33,,
2522.6659604813904,35,,
2542.687187364325,35,,
2562.7084142472595,43,,
2582.729641130194,47,,
2602.7508680131286,54,,
2622.772094896063,40,,
2642.793321778998,48,,
2662.8145486619323,29,,
2682.835775544867,27,,
2702.8570024278015,26,,
2722.878229310736,25,,
2742.8994561936706,37,,
2762.920683076605,25,,
2782.9419099595398,31,,
2802.9631368424743,30,,
2822.984363725409,34,,
2843.0055906083435,34,,
2863.026817491278,42,,
2883.0480443742126,40,,
2903.069271257147,54,,
2923.0904981400818,63,,
2943.1117250230163,81,,
2963.132951905951,79,,
2983.1541787888855,74,,
3003.17540567182,56,,
3023.1966325547546,44,,
3043.217859437689,39,,
3063.2390863206238,22,,
3083.2603132035583,31,,
3103.281540086493,28,,
3123.3027669694275,25,,
3143.323993852362,33,,
3163.3452207352966,50,,
3183.366447618231,33,,
3203.3876745011657,53,,
3223.4089013841003,92,,
3243.430128267035,133,,
3263.4513551499695,170,,
