Instrument,800N4143
Date,2023/05/16
Time,11:17:25
Assay #,0001
Application,GeoExploration
Method,Auto
Assay Duration (set),60s
Assay Duration (total actual),106.13s
Temperature (Detector),-27.0 C
Temperature (Ambient),28.72 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 21.9uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 25.9uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 17.75uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.6733,0.2525
13,Al2O3,1.0107,0.0695
14,SiO2,0.9871,0.0386
15,P,0.0658,0.0077
16,S,0.0,0.0084
17,Cl,0.0,0.0074
19,K2O,0.0474,0.0034
20,Ca,0.0,0.0055
22,Ti,0.0,0.0013
23,V,0.0143,0.0024
24,Cr,19.534,0.0459
25,Mn,0.9414,0.0146
26,Fe,48.4024,0.0528
27,Co,0.0545,0.0049
28,Ni,4.1115,0.0175
29,Cu,0.205,0.0026
30,Zn,0.0196,0.0008
31,Ga,0.0004,0.0008
33,As,0.0,0.0016
34,Se,0.0,0.0002
37,Rb,0.0016,0.0005
38,Sr,0.0004,0.0004
39,Y,0.0,0.0003
40,Zr,0.0,0.0001
41,Nb,0.0011,0.0003
42,Mo,2.656,0.0072
45,Rh,0.0,0.0004
47,Ag,0.0,0.0
48,Cd,0.0,0.0
50,Sn,0.0104,0.0018
51,Sb,0.0,0.0014
56,Ba,0.005,0.0063
57,La,0.0053,0.0136
58,Ce,0.0198,0.0162
72,Hf,0.0044,0.0003
73,Ta,0.0,0.0046
74,W,0.2602,0.0026
78,Pt,0.0,0.0015
79,Au,0.0,0.0003
80,Hg,0.0,0.0008
81,Tl,0.0042,0.0022
82,Pb,0.0064,0.0016
83,Bi,0.0007,0.0025
90,Th,0.0,0.0007
92,U,0.0004,0.0005
 
 
SPECTRA:
eV Channel Start,-0.12555739283561707,-0.029739458113908768,-0.038155313581228256
eV per Channel,19.953594207763672,19.953594207763672,19.953594207763672
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.12555739283561707,0,0,0
19.828036814928055,0,0,0
39.78163102269173,0,0,0
59.7352252304554,0,0,0
79.68881943821907,0,0,0
99.64241364598274,0,0,0
119.59600785374641,0,0,0
139.5496020615101,0,0,0
159.50319626927376,0,0,0
179.45679047703743,0,0,0
199.4103846848011,0,0,0
219.36397889256477,0,0,0
239.31757310032845,0,0,0
259.2711673080921,0,0,0
279.2247615158558,1,0,1
299.17835572361946,19,10,10
319.13194993138313,129,149,138
339.0855441391468,916,1090,872
359.0391383469105,3618,3846,3290
378.99273255467415,6970,7483,6222
398.9463267624378,6922,7453,6363
418.8999209702015,3620,3872,3224
438.85351517796516,1004,1094,910
458.80710938572884,157,159,152
478.7607035934925,13,25,16
498.7142978012562,2,5,2
518.6678920090199,2,0,3
538.6214862167835,1,0,2
558.5750804245472,1,0,0
578.5286746323109,66,146,60
598.4822688400745,67,170,59
618.4358630478382,79,150,54
638.3894572556019,84,178,52
658.3430514633656,50,141,46
678.2966456711292,66,170,60
698.2502398788929,79,181,34
718.2038340866566,76,164,37
738.1574282944202,83,174,53
758.1110225021839,71,168,39
778.0646167099476,81,169,28
798.0182109177113,71,179,26
817.9718051254749,71,195,28
837.9253993332386,67,158,31
857.8789935410023,64,174,45
877.832587748766,67,170,25
897.7861819565296,75,163,55
917.7397761642933,75,161,65
937.693370372057,64,164,74
957.6469645798206,58,154,70
977.6005587875843,74,169,46
997.554152995348,79,143,37
1017.5077472031116,66,135,46
1037.4613414108753,68,143,39
1057.414935618639,65,133,48
1077.3685298264027,66,158,43
1097.3221240341663,59,172,58
1117.27571824193,74,147,47
1137.2293124496937,71,143,51
1157.1829066574574,58,135,59
1177.136500865221,64,143,58
1197.0900950729847,59,116,66
1217.0436892807484,69,138,48
1236.997283488512,50,154,48
1256.9508776962757,44,137,43
1276.9044719040394,56,145,46
1296.858066111803,55,131,29
1316.8116603195667,52,136,32
1336.7652545273304,47,122,29
1356.718848735094,47,126,30
1376.6724429428577,41,123,32
1396.6260371506214,64,123,46
1416.579631358385,56,136,72
1436.5332255661488,59,128,105
1456.4868197739124,82,113,159
1476.440413981676,107,138,144
1496.3940081894398,87,156,151
1516.3476023972034,77,119,115
1536.3011966049671,59,135,71
1556.2547908127308,52,118,64
1576.2083850204945,43,101,47
1596.1619792282581,42,111,44
1616.1155734360218,36,108,37
1636.0691676437855,42,123,47
1656.0227618515491,46,107,96
1675.9763560593128,42,130,160
1695.9299502670765,39,104,261
1715.8835444748402,40,117,344
1735.8371386826038,64,140,383
1755.7907328903675,50,128,340
1775.7443270981312,60,114,280
1795.6979213058949,49,122,180
1815.6515155136585,50,125,136
1835.6051097214222,41,133,105
1855.5587039291859,45,132,88
1875.5122981369495,54,116,96
1895.4658923447132,55,136,81
1915.4194865524769,61,105,80
1935.3730807602406,57,120,108
1955.3266749680042,38,128,128
1975.280269175768,60,120,182
1995.2338633835316,61,128,190
2015.1874575912952,48,135,204
2035.141051799059,44,133,198
2055.0946460068226,43,126,199
2075.0482402145863,46,94,153
2095.00183442235,64,126,171
2114.9554286301136,56,126,141
2134.9090228378773,49,100,156
2154.862617045641,49,136,177
2174.8162112534046,47,118,199
2194.7698054611683,66,146,352
2214.723399668932,80,112,761
2234.6769938766956,96,112,1430
2254.6305880844593,130,152,2368
2274.584182292223,171,193,3132
2294.5377764999866,194,187,3426
2314.4913707077503,163,207,3182
2334.444964915514,161,184,2604
2354.3985591232777,166,179,2262
2374.3521533310413,131,155,2077
2394.305747538805,122,155,2068
2414.2593417465687,108,147,1756
2434.2129359543324,91,161,1258
2454.166530162096,80,152,930
2474.1201243698597,87,115,635
2494.0737185776234,72,145,499
2514.027312785387,65,114,488
2533.9809069931507,52,117,409
2553.9345012009144,71,133,417
2573.888095408678,54,110,518
2593.8416896164417,69,129,660
2613.7952838242054,57,136,973
2633.748878031969,56,107,1351
2653.7024722397327,53,107,1705
2673.6560664474964,39,108,2083
2693.60966065526,37,94,2209
2713.5632548630238,38,103,2128
2733.5168490707874,54,113,1581
2753.470443278551,41,111,1193
2773.424037486315,49,116,889
2793.3776316940784,38,93,900
2813.331225901842,47,110,1109
2833.284820109606,60,96,1080
2853.2384143173695,38,109,1110
2873.192008525133,59,95,1142
2893.145602732897,72,117,1151
2913.0991969406605,82,119,1389
2933.052791148424,107,104,1593
2953.006385356188,99,117,1806
2972.9599795639515,104,117,1778
2992.913573771715,89,123,1292
3012.867167979479,65,113,848
3032.8207621872425,57,113,533
3052.774356395006,57,89,364
3072.72795060277,34,85,248
3092.6815448105335,38,117,204
3112.635139018297,35,106,243
3132.588733226061,52,99,275
3152.5423274338245,49,103,294
3172.495921641588,51,103,298
3192.449515849352,67,112,398
3212.4031100571156,96,133,388
3232.356704264879,144,162,469
3252.310298472643,217,173,549
3272.2638926804066,231,239,578
3292.2174868881702,235,256,771
3312.171081095934,224,234,670
3332.1246753036976,152,181,603
3352.0782695114613,106,137,617
3372.031863719225,71,111,495
3391.9854579269886,58,122,461
3411.9390521347523,81,135,476
3431.892646342516,103,141,545
3451.8462405502796,119,121,576
3471.7998347580433,150,152,690
3491.753428965807,155,176,677
3511.7070231735706,172,165,779
3531.6606173813343,132,148,781
3551.614211589098,146,138,806
3571.5678057968616,150,146,871
3591.5214000046253,191,156,999
3611.474994212389,242,173,1214
3631.4285884201527,290,212,1536
3651.3821826279163,339,233,1591
3671.33577683568,383,213,1724
3691.2893710434437,379,206,1626
3711.2429652512074,279,179,1364
3731.196559458971,203,174,1147
3751.1501536667347,136,125,943
3771.1037478744984,86,113,893
3791.057342082262,58,104,801
3811.0109362900257,48,93,714
3830.9645304977894,46,89,790
3850.918124705553,38,82,759
3870.8717189133167,53,98,776
3890.8253131210804,43,84,788
3910.778907328844,44,85,708
3930.7325015366077,41,96,659
3950.6860957443714,49,88,729
3970.639689952135,71,82,670
3990.5932841598988,45,106,660
4010.5468783676624,41,82,627
4030.500472575426,39,79,623
4050.45406678319,46,74,623
4070.4076609909534,55,81,585
4090.361255198717,52,93,607
4110.314849406481,76,93,608
4130.2684436142445,72,91,550
4150.222037822008,94,110,610
4170.175632029772,78,100,544
4190.1292262375355,115,101,551
4210.082820445299,95,89,528
4230.036414653063,73,95,498
4249.9900088608265,76,104,448
4269.94360306859,58,80,399
4289.897197276354,54,82,380
4309.8507914841175,60,80,344
4329.804385691881,49,80,357
4349.757979899645,54,97,387
4369.7115741074085,46,74,332
4389.665168315172,64,84,362
4409.618762522936,60,90,363
4429.5723567306995,65,75,374
4449.525950938463,68,70,373
4469.479545146227,62,86,361
4489.433139353991,100,91,460
4509.386733561754,87,83,411
4529.340327769518,105,110,460
4549.293921977282,168,106,540
4569.247516185045,213,135,616
4589.201110392809,322,151,772
4609.154704600573,369,202,935
4629.108298808336,466,248,1056
4649.0618930161,489,185,1142
4669.015487223864,548,239,1099
4688.969081431627,397,225,989
4708.922675639391,307,178,783
4728.876269847155,222,129,648
4748.829864054918,149,126,505
4768.783458262682,114,90,451
4788.737052470446,88,102,373
4808.690646678209,78,93,357
4828.644240885973,72,82,375
4848.597835093737,82,78,402
4868.5514293015,97,78,405
4888.505023509264,94,88,492
4908.458617717028,121,107,595
4928.412211924791,129,100,681
4948.365806132555,135,109,702
4968.319400340319,162,136,722
4988.272994548082,131,105,675
5008.226588755846,129,94,629
5028.18018296361,122,95,587
5048.133777171373,89,87,555
5068.087371379137,129,94,564
5088.040965586901,135,110,549
5107.994559794664,142,97,502
5127.948154002428,145,103,628
5147.901748210192,175,97,699
5167.855342417955,184,119,770
5187.808936625719,226,134,879
5207.762530833483,312,181,1047
5227.716125041246,546,243,1534
5247.66971924901,916,406,2831
5267.623313456774,2038,763,5531
5287.576907664537,4361,1639,11915
5307.530501872301,8995,3343,24183
5327.484096080065,16573,6184,44811
5347.437690287828,27262,9942,73045
5367.391284495592,39257,14602,106132
5387.344878703356,49809,18455,133709
5407.2984729111195,54659,20465,148717
5427.252067118883,52893,19815,144132
5447.205661326647,44949,16689,121416
5467.1592555344105,33205,12374,89715
5487.112849742174,21156,7920,59332
5507.066443949938,12248,4625,33886
5527.0200381577015,6327,2404,17462
5546.973632365465,2739,1106,8289
5566.927226573229,1240,498,3993
5586.8808207809925,578,257,2084
5606.834414988756,366,199,1363
5626.78800919652,279,143,1097
5646.7416034042835,250,140,979
5666.695197612047,221,129,979
5686.648791819811,246,120,924
5706.6023860275745,287,148,997
5726.555980235338,306,175,1085
5746.509574443102,390,208,1399
5766.463168650866,580,257,1747
5786.416762858629,984,399,2607
5806.370357066393,1611,636,4061
5826.323951274157,2648,1038,6260
5846.27754548192,4110,1642,9764
5866.231139689684,5835,2263,13889
5886.184733897448,7912,3048,18527
5906.138328105211,9663,3707,22659
5926.091922312975,10339,4034,25116
5946.045516520739,10352,4034,24808
5965.999110728502,9127,3628,22120
5985.952704936266,7301,2870,18285
6005.90629914403,5173,2071,13251
6025.859893351793,3404,1354,8664
6045.813487559557,1976,812,5222
6065.767081767321,1156,487,3030
6085.720675975084,624,276,1742
6105.674270182848,399,177,1206
6125.627864390612,365,153,1031
6145.581458598375,308,147,982
6165.535052806139,401,154,1058
6185.488647013903,537,219,1336
6205.442241221666,892,329,1995
6225.39583542943,1876,642,3414
6245.349429637194,4020,1341,7126
6265.303023844957,8593,2801,14827
6285.256618052721,17175,5680,29656
6305.210212260485,31039,10638,53323
6325.163806468248,51131,17173,87974
6345.117400676012,74419,25157,128532
6365.070994883776,96697,32880,167725
6385.024589091539,112220,38512,194410
6404.978183299303,115614,39509,199985
6424.931777507067,105919,36246,184818
6444.88537171483,85969,29680,151050
6464.838965922594,61900,21912,109641
6484.792560130358,40549,13934,71900
6504.746154338121,23596,8085,41969
6524.699748545885,12349,4434,22283
6544.653342753649,5900,2124,11059
6564.606936961412,2736,980,5244
6584.560531169176,1255,410,2587
6604.51412537694,594,262,1514
6624.467719584703,400,172,1012
6644.421313792467,302,140,826
6664.374908000231,270,134,740
6684.3285022079945,263,133,690
6704.282096415758,242,120,657
6724.235690623522,268,118,643
6744.1892848312855,257,115,675
6764.142879039049,257,127,701
6784.096473246813,292,135,777
6804.0500674545765,335,162,811
6824.00366166234,432,183,927
6843.957255870104,498,229,1059
6863.9108500778675,645,255,1349
6883.864444285631,886,363,1746
6903.818038493395,1462,564,2495
6923.7716327011585,2378,876,3902
6943.725226908922,3895,1408,6394
6963.678821116686,6246,2120,9693
6983.6324153244495,9042,3299,14504
7003.586009532213,12275,4414,19956
7023.539603739977,15460,5580,24493
7043.493197947741,17140,6221,27626
7063.446792155504,17535,6294,28238
7083.400386363268,15615,5636,25502
7103.353980571032,12844,4729,20875
7123.307574778795,9488,3422,15425
7143.261168986559,6345,2261,10364
7163.214763194323,3735,1340,6445
7183.168357402086,2023,765,3554
7203.12195160985,1021,394,1897
7223.075545817614,505,206,934
7243.029140025377,264,112,501
7262.982734233141,160,86,336
7282.936328440905,159,78,301
7302.889922648668,251,106,373
7322.843516856432,499,140,638
7342.797111064196,846,342,1137
7362.750705271959,1527,504,2073
7382.704299479723,2677,880,3350
7402.657893687487,3871,1241,4928
7422.61148789525,5412,1783,6720
7442.565082103014,6601,2106,8302
7462.518676310778,7328,2330,9308
7482.472270518541,7340,2403,9342
7502.425864726305,6612,2159,8470
7522.379458934069,5448,1744,7000
7542.333053141832,4018,1311,5140
7562.286647349596,2732,879,3430
7582.24024155736,1606,550,2182
7602.193835765123,894,300,1234
7622.147429972887,474,174,707
7642.101024180651,234,98,399
7662.054618388414,113,56,257
7682.008212596178,69,42,213
7701.961806803942,37,31,169
7721.915401011705,38,27,163
7741.868995219469,24,35,171
7761.822589427233,15,27,150
7781.776183634996,26,23,151
7801.72977784276,22,29,155
7821.683372050524,22,34,147
7841.636966258287,24,24,122
7861.590560466051,28,28,113
7881.544154673815,28,34,152
7901.497748881578,29,27,143
7921.451343089342,55,45,147
7941.404937297106,62,37,160
7961.3585315048695,92,36,174
7981.312125712633,112,64,168
8001.265719920397,131,62,215
8021.2193141281605,160,73,263
8041.172908335924,159,78,259
8061.126502543688,172,80,286
8081.0800967514515,139,76,288
8101.033690959215,174,106,307
8120.987285166979,218,100,329
8140.9408793747425,280,101,456
8160.894473582506,417,140,591
8180.84806779027,605,211,793
8200.801661998034,774,287,1082
8220.755256205797,1027,303,1261
8240.70885041356,1155,364,1476
8260.662444621325,1319,414,1468
8280.616038829088,1153,384,1496
8300.569633036852,1039,373,1338
8320.523227244616,819,276,1087
8340.47682145238,632,224,863
8360.430415660143,468,166,544
8380.384009867907,258,115,458
8400.33760407567,187,67,319
8420.291198283434,95,48,224
8440.244792491198,47,45,160
8460.198386698961,21,31,139
8480.151980906725,23,18,111
8500.105575114489,15,15,111
8520.059169322252,11,21,117
8540.012763530016,11,24,121
8559.96635773778,10,24,125
8579.919951945543,23,31,129
8599.873546153307,15,29,120
8619.82714036107,14,33,125
8639.780734568834,16,30,156
8659.734328776598,20,43,131
8679.687922984362,11,18,130
8699.641517192125,18,24,163
8719.595111399889,12,22,137
8739.548705607653,15,20,183
8759.502299815416,21,26,163
8779.45589402318,18,24,165
8799.409488230944,14,25,154
8819.363082438707,16,25,137
8839.316676646471,27,25,169
8859.270270854235,34,38,156
8879.223865061998,31,31,168
8899.177459269762,30,21,176
8919.131053477526,29,25,165
8939.08464768529,32,27,153
8959.038241893053,22,33,141
8978.991836100817,24,27,138
8998.94543030858,15,24,144
9018.899024516344,17,22,148
9038.852618724108,16,21,163
9058.806212931871,8,20,148
9078.759807139635,11,24,174
9098.713401347399,10,18,156
9118.666995555162,5,23,153
9138.620589762926,12,21,174
9158.57418397069,17,25,167
9178.527778178453,11,26,142
9198.481372386217,14,23,126
9218.43496659398,20,23,142
9238.388560801744,16,15,130
9258.342155009508,10,27,152
9278.295749217272,14,26,156
9298.249343425035,17,19,146
9318.2029376328,19,30,158
9338.156531840563,15,18,142
9358.110126048326,16,22,146
9378.06372025609,15,19,139
9398.017314463854,9,23,147
9417.970908671618,11,19,136
9437.924502879381,19,14,152
9457.878097087145,10,14,137
9477.831691294909,7,30,133
9497.785285502672,21,17,129
9517.738879710436,18,30,120
9537.6924739182,16,24,133
9557.646068125963,15,22,133
9577.599662333727,23,20,128
9597.55325654149,16,21,133
9617.506850749254,19,28,161
9637.460444957018,22,29,127
9657.414039164782,21,23,119
9677.367633372545,23,25,115
9697.321227580309,26,33,142
9717.274821788073,26,24,126
9737.228415995836,25,31,136
9757.1820102036,31,18,133
9777.135604411364,30,22,123
9797.089198619127,26,26,118
9817.042792826891,29,27,130
9836.996387034655,16,18,123
9856.949981242418,18,22,123
9876.903575450182,18,29,141
9896.857169657946,17,17,120
9916.81076386571,24,25,119
9936.764358073473,23,25,154
9956.717952281237,23,22,121
9976.671546489,19,18,114
9996.625140696764,27,20,126
10016.578734904528,23,27,111
10036.532329112291,23,26,117
10056.485923320055,23,16,132
10076.439517527819,26,20,139
10096.393111735582,19,21,128
10116.346705943346,27,25,116
10136.30030015111,20,24,132
10156.253894358873,15,18,116
10176.207488566637,16,18,132
10196.1610827744,20,28,117
10216.114676982164,25,28,129
10236.068271189928,17,20,127
10256.021865397692,26,21,115
10275.975459605455,19,20,115
10295.929053813219,22,27,109
10315.882648020983,16,18,110
10335.836242228746,23,26,107
10355.78983643651,20,18,128
10375.743430644274,23,26,100
10395.697024852037,23,17,120
10415.650619059801,18,25,111
10435.604213267565,30,18,110
10455.557807475328,27,23,120
10475.511401683092,38,23,95
10495.464995890856,27,31,108
10515.41859009862,36,29,106
10535.372184306383,45,32,104
10555.325778514147,38,23,113
10575.27937272191,40,18,110
10595.232966929674,47,31,112
10615.186561137438,29,28,113
10635.140155345201,29,23,135
10655.093749552965,24,27,130
10675.047343760729,24,26,155
10695.000937968493,29,27,203
10714.954532176256,47,25,258
10734.90812638402,61,20,377
10754.861720591784,73,31,461
10774.815314799547,90,33,531
10794.76890900731,83,32,645
10814.722503215075,111,29,703
10834.676097422838,110,23,772
10854.629691630602,94,38,684
10874.583285838366,85,28,658
10894.53688004613,85,18,545
10914.490474253893,67,29,422
10934.444068461657,57,28,371
10954.39766266942,52,26,288
10974.351256877184,39,26,208
10994.304851084948,37,22,189
11014.258445292711,28,25,150
11034.212039500475,32,16,136
11054.165633708239,43,23,107
11074.119227916002,34,30,92
11094.072822123766,37,17,105
11114.02641633153,35,18,117
11133.980010539293,39,26,106
11153.933604747057,31,14,102
11173.88719895482,41,19,115
11193.840793162584,33,26,112
11213.794387370348,31,23,114
11233.747981578112,55,38,166
11253.701575785875,52,27,184
11273.655169993639,58,20,219
11293.608764201403,70,24,275
11313.562358409166,61,34,280
11333.51595261693,60,28,290
