Instrument,800N6398
Date,2023/05/16
Time,12:33:56
Assay #,0001
Application,Li Index
Method,Li Index
Assay Duration (set),60s
Assay Duration (total actual),69.65s
Temperature (Detector),-27.0 C
Temperature (Ambient),26.06 C
Phase Count,2
Phases,"Phase 1(30s): 45.0kV, 12.25uA (Ti:25um/Al:300um)","Phase 2(30s): 15.0kV, 19.45uA (No Filter)",
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,Mg,0.2206,0.1071
13,Al,5.6421,0.0622
14,Si,16.7717,0.0754
15,P,0.011,0.0045
16,S,0.0753,0.0033
19,K,0.249,0.0036
20,Ca,0.1781,0.0033
22,Ti,0.9477,0.0163
24,Cr,0.0586,0.0025
25,Mn,0.0665,0.0023
26,Fe,23.2746,0.0245
28,Ni,0.0563,0.001
29,Cu,0.1218,0.0029
30,Zn,0.006,0.0003
31,Ga,0.0022,0.0009
37,Rb,0.0052,0.0004
38,Sr,0.0107,0.0002
40,Zr,0.0193,0.0004
41,Nb,0.0016,0.0003
50,Sn,0.0,0.0006
55,Cs,0.0105,0.0058
56,Ba,0.0194,0.006
73,Ta,0.0,0.0012
74,W,0.0002,0.0009
81,Tl,0.0008,0.0005
82,Pb,0.0015,0.0012
100,Li_IDX,0.0075,0.0
 
 
SPECTRA:
eV Channel Start,-0.18352653086185455,0.12856581807136536,
eV per Channel,19.994638442993164,19.994638442993164,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.18352653086185455,0,0,
19.81111191213131,0,0,
39.805750355124474,0,0,
59.80038879811764,0,0,
79.7950272411108,0,0,
99.78966568410397,0,0,
119.78430412709713,0,0,
139.7789425700903,0,0,
159.77358101308346,0,0,
179.76821945607662,0,0,
199.7628578990698,0,0,
219.75749634206295,0,0,
239.7521347850561,0,0,
259.7467732280493,0,0,
279.74141167104244,1,0,
299.7360501140356,5,12,
319.73068855702877,148,139,
339.72532700002193,958,951,
359.7199654430151,3653,3667,
379.71460388600826,7640,7092,
399.7092423290014,7564,7139,
419.7038807719946,3725,3574,
439.69851921498775,1036,943,
459.6931576579809,137,148,
479.6877961009741,14,12,
499.68243454396725,1,5,
519.6770729869604,0,0,
539.6717114299536,0,0,
559.6663498729467,0,0,
579.6609883159399,133,22,
599.6556267589331,116,28,
619.6502652019262,119,22,
639.6449036449194,137,22,
659.6395420879126,111,30,
679.6341805309057,124,21,
699.6288189738989,108,13,
719.623457416892,149,16,
739.6180958598852,126,18,
759.6127343028784,161,31,
779.6073727458715,122,14,
799.6020111888647,114,24,
819.5966496318579,122,15,
839.591288074851,125,25,
859.5859265178442,107,36,
879.5805649608374,125,33,
899.5752034038305,117,58,
919.5698418468237,129,71,
939.5644802898169,124,76,
959.55911873281,129,93,
979.5537571758032,124,51,
999.5483956187963,99,35,
1019.5430340617895,132,43,
1039.5376725047827,117,51,
1059.5323109477758,109,43,
1079.526949390769,109,71,
1099.5215878337622,124,61,
1119.5162262767553,96,48,
1139.5108647197485,113,38,
1159.5055031627417,109,42,
1179.5001416057348,111,57,
1199.494780048728,81,49,
1219.4894184917212,106,56,
1239.4840569347143,100,67,
1259.4786953777075,111,65,
1279.4733338207006,101,56,
1299.4679722636938,111,40,
1319.462610706687,111,30,
1339.4572491496801,108,41,
1359.4518875926733,89,54,
1379.4465260356665,97,88,
1399.4411644786596,115,189,
1419.4358029216528,124,498,
1439.430441364646,114,1079,
1459.4250798076391,124,1684,
1479.4197182506323,128,2022,
1499.4143566936255,117,1854,
1519.4089951366186,129,1211,
1539.4036335796118,121,633,
1559.398272022605,95,333,
1579.392910465598,98,200,
1599.3875489085913,107,128,
1619.3821873515844,98,201,
1639.3768257945776,108,568,
1659.3714642375708,119,1735,
1679.366102680564,138,4608,
1699.360741123557,157,8974,
1719.3553795665503,182,13078,
1739.3500180095434,203,14305,
1759.3446564525366,186,11495,
1779.3392948955297,148,7184,
1799.333933338523,108,3648,
1819.328571781516,103,1775,
1839.3232102245092,95,963,
1859.3178486675024,108,560,
1879.3124871104956,97,304,
1899.3071255534887,108,167,
1919.301763996482,88,131,
1939.296402439475,87,70,
1959.2910408824682,99,90,
1979.2856793254614,90,87,
1999.2803177684546,100,100,
2019.2749562114477,81,95,
2039.2695946544409,99,87,
2059.264233097434,107,85,
2079.258871540427,79,81,
2099.2535099834204,99,75,
2119.2481484264135,87,77,
2139.2427868694067,79,68,
2159.2374253124,89,62,
2179.232063755393,85,80,
2199.226702198386,99,95,
2219.2213406413794,81,103,
2239.2159790843725,86,131,
2259.2106175273657,111,170,
2279.205255970359,76,269,
2299.199894413352,83,308,
2319.194532856345,93,300,
2339.1891712993383,89,288,
2359.1838097423315,101,255,
2379.1784481853247,94,248,
2399.173086628318,73,200,
2419.167725071311,97,181,
2439.162363514304,88,162,
2459.1570019572973,90,180,
2479.1516404002905,96,198,
2499.1462788432837,68,163,
2519.140917286277,100,208,
2539.13555572927,85,249,
2559.130194172263,78,286,
2579.1248326152563,94,422,
2599.1194710582495,98,709,
2619.1141095012426,105,1117,
2639.108747944236,111,1837,
2659.103386387229,89,2758,
2679.098024830222,66,3522,
2699.0926632732153,93,3831,
2719.0873017162085,102,3344,
2739.0819401592016,78,2438,
2759.076578602195,84,1942,
2779.071217045188,89,1701,
2799.065855488181,99,1902,
2819.0604939311743,95,2177,
2839.0551323741674,68,2342,
2859.0497708171606,67,2277,
2879.0444092601538,101,2002,
2899.039047703147,77,1910,
2919.03368614614,119,2096,
2939.0283245891333,123,2297,
2959.0229630321264,111,2372,
2979.0176014751196,116,1960,
2999.0122399181128,109,1694,
3019.006878361106,79,1198,
3039.001516804099,73,783,
3058.9961552470922,69,560,
3078.9907936900854,71,429,
3098.9854321330786,78,388,
3118.9800705760717,59,409,
3138.974709019065,78,468,
3158.969347462058,82,464,
3178.9639859050512,104,475,
3198.9586243480444,92,490,
3218.9532627910376,142,636,
3238.9479012340307,187,706,
3258.942539677024,233,959,
3278.937178120017,230,1221,
3298.93181656301,279,1428,
3318.9264550060034,236,1418,
3338.9210934489965,175,1313,
3358.9157318919897,137,928,
3378.910370334983,128,664,
3398.905008777976,97,464,
3418.899647220969,95,354,
3438.8942856639624,101,315,
3458.8889241069555,129,299,
3478.8835625499487,174,396,
3498.878200992942,150,404,
3518.872839435935,144,386,
3538.867477878928,112,386,
3558.8621163219213,116,417,
3578.8567547649145,105,455,
3598.8513932079077,106,497,
3618.846031650901,114,599,
3638.840670093894,133,877,
3658.835308536887,139,1114,
3678.8299469798803,157,1290,
3698.8245854228735,113,1303,
3718.8192238658667,132,1128,
3738.81386230886,113,868,
3758.808500751853,96,564,
3778.803139194846,85,443,
3798.7977776378393,75,289,
3818.7924160808325,73,240,
3838.7870545238256,52,257,
3858.781692966819,50,256,
3878.776331409812,50,264,
3898.770969852805,79,260,
3918.7656082957983,66,253,
3938.7602467387915,73,342,
3958.7548851817846,51,339,
3978.749523624778,63,409,
3998.744162067771,70,423,
4018.738800510764,48,389,
4038.7334389537573,68,465,
4058.7280773967505,49,398,
4078.7227158397436,64,397,
4098.717354282737,59,426,
4118.71199272573,64,393,
4138.706631168723,41,333,
4158.701269611716,38,327,
4178.695908054709,62,368,
4198.690546497703,45,329,
4218.685184940696,42,356,
4238.679823383689,47,359,
4258.674461826682,49,367,
4278.669100269675,46,396,
4298.663738712668,45,411,
4318.658377155662,53,393,
4338.653015598655,56,464,
4358.647654041648,63,568,
4378.642292484641,81,751,
4398.636930927634,151,1441,
4418.631569370627,225,2376,
4438.626207813621,393,4075,
4458.620846256614,648,6228,
4478.615484699607,880,8414,
4498.6101231426,1085,9740,
4518.604761585593,987,9858,
4538.599400028586,943,8692,
4558.59403847158,807,6605,
4578.588676914573,515,4441,
4598.583315357566,445,2991,
4618.577953800559,409,2058,
4638.572592243552,383,1646,
4658.567230686545,376,1411,
4678.5618691295385,309,1233,
4698.556507572532,244,1025,
4718.551146015525,184,892,
4738.545784458518,154,818,
4758.540422901511,85,680,
4778.535061344504,79,680,
4798.5296997874975,73,682,
4818.524338230491,74,801,
4838.518976673484,111,986,
4858.513615116477,134,1236,
4878.50825355947,183,1683,
4898.502892002463,213,1854,
4918.4975304454565,265,2225,
4938.49216888845,238,2376,
4958.486807331443,228,2208,
4978.481445774436,202,1894,
4998.476084217429,147,1428,
5018.470722660422,101,1150,
5038.4653611034155,74,864,
5058.459999546409,41,727,
5078.454637989402,59,650,
5098.449276432395,43,628,
5118.443914875388,47,598,
5138.438553318381,44,587,
5158.4331917613745,59,655,
5178.427830204368,41,601,
5198.422468647361,44,589,
5218.417107090354,65,673,
5238.411745533347,65,656,
5258.40638397634,78,703,
5278.4010224193335,112,810,
5298.395660862327,103,881,
5318.39029930532,147,999,
5338.384937748313,164,1246,
5358.379576191306,201,1520,
5378.374214634299,249,1769,
5398.368853077292,268,1923,
5418.363491520286,267,2005,
5438.358129963279,258,1871,
5458.352768406272,183,1588,
5478.347406849265,140,1315,
5498.342045292258,118,1000,
5518.336683735251,112,857,
5538.331322178245,68,729,
5558.325960621238,68,681,
5578.320599064231,66,643,
5598.315237507224,63,611,
5618.309875950217,49,558,
5638.30451439321,37,608,
5658.299152836204,35,577,
5678.293791279197,45,624,
5698.28842972219,47,601,
5718.283068165183,45,610,
5738.277706608176,46,613,
5758.272345051169,45,606,
5778.266983494163,72,649,
5798.261621937156,75,717,
5818.256260380149,95,808,
5838.250898823142,144,935,
5858.245537266135,155,1033,
5878.240175709128,181,1136,
5898.2348141521215,187,1205,
5918.229452595115,190,1272,
5938.224091038108,183,1224,
5958.218729481101,192,1129,
5978.213367924094,132,1124,
5998.208006367087,115,930,
6018.2026448100805,119,903,
6038.197283253074,121,807,
6058.191921696067,119,812,
6078.18656013906,138,841,
6098.181198582053,143,853,
6118.175837025046,174,923,
6138.1704754680395,209,1048,
6158.165113911033,252,1106,
6178.159752354026,291,1306,
6198.154390797019,520,1848,
6218.149029240012,959,2955,
6238.143667683005,2054,5648,
6258.1383061259985,4603,11159,
6278.132944568992,9407,23067,
6298.127583011985,17811,43299,
6318.122221454978,30508,73966,
6338.116859897971,46559,113011,
6358.111498340964,63345,154103,
6378.1061367839575,76188,188076,
6398.100775226951,81721,202419,
6418.095413669944,78169,194806,
6438.090052112937,66600,165116,
6458.08469055593,50003,125098,
6478.079328998923,33696,84367,
6498.0739674419165,20176,51088,
6518.06860588491,10801,27767,
6538.063244327903,5234,13920,
6558.057882770896,2365,6538,
6578.052521213889,1060,3164,
6598.047159656882,535,1729,
6618.041798099875,322,1153,
6638.036436542869,242,932,
6658.031074985862,207,840,
6678.025713428855,199,811,
6698.020351871848,187,823,
6718.014990314841,185,835,
6738.009628757834,167,856,
6758.004267200828,170,830,
6777.998905643821,229,900,
6797.993544086814,232,953,
6817.988182529807,277,1072,
6837.9828209728,315,1181,
6857.977459415793,432,1422,
6877.972097858787,617,1712,
6897.96673630178,903,2265,
6917.961374744773,1497,3609,
6937.956013187766,2543,5711,
6957.950651630759,4029,9059,
6977.945290073752,6076,13419,
6997.939928516746,8471,18858,
7017.934566959739,11029,23984,
7037.929205402732,12458,27923,
7057.923843845725,13036,29385,
7077.918482288718,12289,27292,
7097.913120731711,10170,23210,
7117.907759174705,7713,17720,
7137.902397617698,5381,12307,
7157.897036060691,3207,7755,
7177.891674503684,1878,4346,
7197.886312946677,944,2276,
7217.88095138967,450,1233,
7237.8755898326635,211,662,
7257.870228275657,95,398,
7277.86486671865,43,294,
7297.859505161643,31,267,
7317.854143604636,31,258,
7337.848782047629,30,242,
7357.8434204906225,54,320,
7377.838058933616,76,318,
7397.832697376609,97,359,
7417.827335819602,117,407,
7437.821974262595,148,525,
7457.816612705588,168,563,
7477.8112511485815,200,537,
7497.805889591575,160,501,
7517.800528034568,142,468,
7537.795166477561,110,392,
7557.789804920554,89,349,
7577.784443363547,51,299,
7597.7790818065405,35,250,
7617.773720249534,22,236,
7637.768358692527,17,230,
7657.76299713552,23,253,
7677.757635578513,16,223,
7697.752274021506,11,235,
7717.7469124644995,14,226,
7737.741550907493,16,232,
7757.736189350486,9,215,
7777.730827793479,13,210,
7797.725466236472,9,235,
7817.720104679465,18,221,
7837.7147431224585,23,223,
7857.709381565452,22,251,
7877.704020008445,25,262,
7897.698658451438,35,285,
7917.693296894431,74,307,
7937.687935337424,104,378,
7957.682573780417,190,431,
7977.677212223411,256,528,
7997.671850666404,317,592,
8017.666489109397,347,669,
8037.66112755239,402,674,
8057.655765995383,379,700,
8077.650404438376,335,719,
8097.64504288137,268,628,
8117.639681324363,191,632,
8137.634319767356,139,530,
8157.628958210349,94,485,
8177.623596653342,71,402,
8197.618235096335,40,402,
8217.612873539329,34,385,
8237.607511982322,42,325,
8257.602150425315,24,316,
8277.596788868308,37,289,
8297.591427311301,42,265,
8317.586065754294,33,272,
8337.580704197288,32,270,
8357.57534264028,19,238,
8377.569981083274,14,259,
8397.564619526267,10,228,
8417.55925796926,12,224,
8437.553896412253,9,235,
8457.548534855247,14,223,
8477.54317329824,12,203,
8497.537811741233,20,234,
8517.532450184226,21,226,
8537.52708862722,22,245,
8557.521727070212,25,263,
8577.516365513206,35,237,
8597.511003956199,28,231,
8617.505642399192,47,275,
8637.500280842185,41,265,
8657.494919285178,44,241,
8677.489557728171,23,267,
8697.484196171165,30,239,
8717.478834614158,30,227,
8737.47347305715,21,264,
8757.468111500144,30,244,
8777.462749943137,27,273,
8797.45738838613,41,250,
8817.452026829123,51,266,
8837.446665272117,58,288,
8857.44130371511,66,284,
8877.435942158103,75,262,
8897.430580601096,84,291,
8917.42521904409,69,308,
8937.419857487082,66,296,
8957.414495930076,67,282,
8977.409134373069,46,256,
8997.403772816062,39,251,
9017.398411259055,28,261,
9037.393049702048,18,274,
9057.387688145041,15,235,
9077.382326588035,15,275,
9097.376965031028,14,256,
9117.371603474021,18,253,
9137.366241917014,21,232,
9157.360880360007,23,257,
9177.355518803,25,264,
9197.350157245994,30,257,
9217.344795688987,31,246,
9237.33943413198,25,253,
9257.334072574973,24,240,
9277.328711017966,34,284,
9297.32334946096,22,242,
9317.317987903953,31,235,
9337.312626346946,19,235,
9357.307264789939,14,258,
9377.301903232932,16,250,
9397.296541675925,19,239,
9417.291180118918,14,211,
9437.285818561912,21,223,
9457.280457004905,15,225,
9477.275095447898,14,234,
9497.269733890891,21,216,
9517.264372333884,21,225,
9537.259010776877,21,242,
9557.25364921987,27,233,
9577.248287662864,25,219,
9597.242926105857,19,234,
9617.23756454885,29,194,
9637.232202991843,35,236,
9657.226841434836,23,229,
9677.22147987783,33,234,
9697.216118320823,26,219,
9717.210756763816,34,226,
9737.205395206809,32,225,
9757.200033649802,35,236,
9777.194672092795,24,222,
9797.189310535789,22,208,
9817.183948978782,22,248,
9837.178587421775,26,210,
9857.173225864768,17,205,
9877.167864307761,24,214,
9897.162502750754,18,211,
9917.157141193748,22,202,
9937.15177963674,26,209,
9957.146418079734,26,183,
9977.141056522727,22,200,
9997.13569496572,14,200,
10017.130333408713,21,205,
10037.124971851707,18,205,
10057.1196102947,27,226,
10077.114248737693,18,183,
10097.108887180686,32,238,
10117.10352562368,28,222,
10137.098164066672,23,210,
10157.092802509665,27,197,
10177.087440952659,24,187,
10197.082079395652,28,173,
10217.076717838645,27,202,
10237.071356281638,33,188,
10257.065994724631,32,179,
10277.060633167624,39,171,
10297.055271610618,23,198,
10317.04991005361,23,193,
10337.044548496604,35,209,
10357.039186939597,24,212,
10377.03382538259,33,186,
10397.028463825583,30,193,
10417.023102268577,34,193,
10437.01774071157,48,188,
10457.012379154563,34,188,
10477.007017597556,52,199,
10497.00165604055,62,190,
10516.996294483542,64,222,
10536.990932926536,51,162,
10556.985571369529,70,212,
10576.980209812522,59,179,
10596.974848255515,58,189,
10616.969486698508,42,202,
10636.964125141501,38,174,
10656.958763584495,36,198,
10676.953402027488,41,180,
10696.948040470481,41,194,
10716.942678913474,32,158,
10736.937317356467,36,187,
10756.93195579946,33,193,
10776.926594242454,36,193,
10796.921232685447,37,208,
10816.91587112844,34,207,
10836.910509571433,33,239,
10856.905148014426,30,256,
10876.89978645742,32,275,
10896.894424900413,29,289,
10916.889063343406,54,267,
10936.883701786399,41,263,
10956.878340229392,43,262,
10976.872978672385,38,238,
10996.867617115378,33,236,
11016.862255558372,34,211,
11036.856894001365,40,210,
11056.851532444358,33,185,
11076.846170887351,52,184,
11096.840809330344,33,159,
11116.835447773337,51,183,
11136.83008621633,48,145,
11156.824724659324,42,171,
11176.819363102317,36,158,
11196.81400154531,46,165,
11216.808639988303,54,159,
11236.803278431296,42,166,
11256.79791687429,50,172,
11276.792555317283,52,187,
11296.787193760276,56,164,
11316.781832203269,59,201,
11336.776470646262,49,168,
11356.771109089255,52,208,
11376.765747532248,62,182,
11396.760385975242,48,175,
11416.755024418235,61,165,
11436.749662861228,79,155,
11456.744301304221,49,180,
11476.738939747214,69,149,
11496.733578190207,57,172,
11516.7282166332,55,163,
11536.722855076194,52,174,
11556.717493519187,58,155,
11576.71213196218,56,161,
11596.706770405173,74,169,
11616.701408848166,46,170,
11636.69604729116,50,163,
11656.690685734153,50,162,
11676.685324177146,55,171,
11696.67996262014,61,159,
11716.674601063132,63,160,
11736.669239506125,62,157,
11756.663877949119,44,159,
11776.658516392112,57,177,
11796.653154835105,57,142,
11816.647793278098,54,162,
11836.642431721091,49,170,
11856.637070164084,72,124,
11876.631708607078,50,156,
11896.62634705007,61,154,
11916.620985493064,60,149,
11936.615623936057,68,129,
11956.61026237905,53,155,
11976.604900822043,59,145,
11996.599539265037,56,154,
12016.59417770803,55,131,
12036.588816151023,65,122,
12056.583454594016,63,133,
12076.57809303701,74,144,
12096.572731480002,63,144,
12116.567369922996,65,131,
12136.562008365989,59,118,
12156.556646808982,66,144,
12176.551285251975,58,121,
12196.545923694968,55,132,
12216.540562137961,62,118,
12236.535200580955,59,141,
12256.529839023948,56,125,
12276.52447746694,74,143,
12296.519115909934,74,132,
12316.513754352927,49,129,
12336.50839279592,66,120,
12356.503031238914,82,116,
12376.497669681907,58,110,
12396.4923081249,57,126,
12416.486946567893,70,113,
12436.481585010886,70,117,
12456.47622345388,73,107,
12476.470861896873,59,117,
12496.465500339866,52,109,
12516.460138782859,67,104,
12536.454777225852,64,111,
12556.449415668845,67,134,
12576.444054111838,82,127,
12596.438692554832,91,145,
12616.433330997825,75,164,
12636.427969440818,83,202,
12656.422607883811,82,248,
12676.417246326804,120,352,
12696.411884769797,143,507,
12716.40652321279,172,635,
12736.401161655784,165,802,
12756.395800098777,199,915,
12776.39043854177,233,1036,
12796.385076984763,248,1180,
12816.379715427756,261,1209,
12836.37435387075,219,1130,
12856.368992313743,189,1004,
12876.363630756736,202,871,
12896.358269199729,177,723,
12916.352907642722,147,549,
12936.347546085715,134,467,
12956.342184528708,107,316,
12976.336822971702,88,230,
