Instrument,800C10982
Date,2023/05/16
Time,14:41:48
Assay #,0002
Application,REE_IDX
Method,REE_IDX
Assay Duration (set),150s
Assay Duration (total actual),158.79s
Temperature (Detector),-27.0 C
Temperature (Ambient),34.06 C
Phase Count,3
Phases,"Phase 1(30s): 15.0kV, 42.3uA (No Filter)","Phase 2(90s): 50.0kV, 31.65uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(30s): 30.0kV, 48.9uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,Mg,0.3637,0.0684
13,Al,9.788,0.0217
14,Si,21.0093,0.0508
15,P,0.0318,0.0031
16,S,0.0,0.0029
19,K,0.4881,0.0035
20,Ca,0.1791,0.0017
22,Ti,0.967,0.0078
23,V,0.0254,0.0003
24,Cr,0.0629,0.0013
25,Mn,0.0538,0.0014
26,Fe,16.9595,0.0106
28,Ni,0.0173,0.0003
29,Cu,0.0387,0.0005
30,Zn,0.0056,0.0005
33,As,0.0033,0.0001
38,Sr,0.0012,0.0001
39,Y,0.0026,0.0001
40,Zr,0.0354,0.0002
41,Nb,0.0004,0.0001
56,Ba,0.0169,0.0014
57,La,0.0015,0.0019
58,Ce,0.0017,0.0021
82,Pb,0.0019,0.0003
90,Th,0.0013,0.0002
92,U,0.0005,0.0001
100,Pr_IDX,0.0004,0.0
101,Nd_IDX,0.0015,0.0
102,Sm_IDX,0.0003,0.0
103,Eu_IDX,0.0001,0.0
104,Gd_IDX,0.0005,0.0
105,Tb_IDX,0.0001,0.0
106,Dy_IDX,0.0004,0.0
107,Ho_IDX,0.0001,0.0
108,Er_IDX,0.0002,0.0
109,Tm_IDX,0.0,0.0
110,Yb_IDX,0.0002,0.0
111,Lu_IDX,0.0,0.0
112,HREE,0.0041,0.0
113,LREE,0.0037,0.0
114,TREE,0.0079,0.0
 
 
SPECTRA:
eV Channel Start,0.3475937843322754,0.12088547646999359,0.4940052032470703
eV per Channel,19.99121856689453,19.99121856689453,19.99121856689453
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.3475937843322754,0,0,0
20.338812351226807,0,0,0
40.33003091812134,0,0,0
60.32124948501587,0,0,0
80.3124680519104,0,0,0
100.30368661880493,0,0,0
120.29490518569946,0,0,0
140.286123752594,0,0,0
160.27734231948853,0,0,0
180.26856088638306,0,0,0
200.2597794532776,0,0,0
220.25099802017212,0,0,0
240.24221658706665,0,0,0
260.2334351539612,0,0,0
280.2246537208557,0,1,0
300.21587228775024,6,16,2
320.2070908546448,73,306,96
340.1983094215393,550,2710,795
360.18952798843384,2344,11222,3191
380.18074655532837,4678,23407,6502
400.1719651222229,4634,23334,6276
420.16318368911743,2247,11111,3038
440.15440225601196,511,2585,730
460.1456208229065,78,372,103
480.136839389801,7,36,10
500.12805795669556,3,5,3
520.1192765235901,0,4,1
540.1104950904846,1,5,0
560.1017136573792,3,2,2
580.0929322242737,67,1139,221
600.0841507911682,64,1166,218
620.0753693580627,65,1184,212
640.0665879249573,77,1199,225
660.0578064918518,53,1189,207
680.0490250587463,53,1189,215
700.0402436256409,55,1225,221
720.0314621925354,59,1144,219
740.0226807594299,60,1211,229
760.0138993263245,61,1135,235
780.005117893219,54,1176,212
799.9963364601135,60,1140,234
819.987555027008,73,1116,214
839.9787735939026,78,1121,222
859.9699921607971,66,1095,198
879.9612107276917,81,1104,198
899.9524292945862,127,1110,185
919.9436478614807,196,1067,196
939.9348664283752,217,1082,208
959.9260849952698,185,1085,213
979.9173035621643,170,989,186
999.9085221290588,118,1111,187
1019.8997406959534,84,1044,183
1039.890959262848,100,1055,186
1059.8821778297424,138,1097,189
