Instrument,800C10982
Date,2023/05/17
Time,15:23:23
Assay #,0001
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),70.72s
Temperature (Detector),-27.0 C
Temperature (Ambient),35.44 C
Phase Count,3
Phases,"Phase 1(20s): 15.0kV, 42.3uA (No Filter)","Phase 2(20s): 50.0kV, 31.65uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 30.0kV, 48.9uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.0,0.1785
13,Al2O3,15.7697,0.13
14,SiO2,46.6005,0.1599
15,P,0.0309,0.0044
16,S,0.0,0.0035
17,Cl,0.0,0.002
19,K2O,0.4358,0.0038
20,Ca,0.0,0.0028
22,Ti,1.1183,0.0096
23,V,0.0,0.0036
24,Cr,0.0505,0.0022
25,Mn,0.0515,0.0015
26,Fe,14.1879,0.0118
27,Co,0.0419,0.0022
28,Ni,0.0,0.0004
29,Cu,0.0312,0.0005
30,Zn,0.0026,0.0001
31,Ga,0.0013,0.0002
33,As,0.0,0.0019
34,Se,0.0002,0.0001
37,Rb,0.0043,0.0002
38,Sr,0.0034,0.0002
39,Y,0.0015,0.0002
40,Zr,0.0,0.0
41,Nb,0.0002,0.0
42,Mo,0.0,0.0
47,Ag,0.0022,0.0011
48,Cd,0.0,0.0008
50,Sn,0.0,0.0018
51,Sb,0.0014,0.0003
52,Te,0.005,0.0012
56,Ba,0.0204,0.0027
57,La,0.0072,0.0068
58,Ce,0.0034,0.0038
72,Hf,0.0004,0.0016
73,Ta,0.0011,0.0021
74,W,0.0001,0.0006
78,Pt,0.0,0.0007
79,Au,0.0,0.0003
80,Hg,0.0,0.0005
81,Tl,0.0,0.0005
82,Pb,0.0,0.0008
83,Bi,0.0021,0.0004
90,Th,0.0007,0.0002
92,U,0.0008,0.0003
 
 
SPECTRA:
eV Channel Start,0.6903631687164307,-0.060637615621089935,0.1575736254453659
eV per Channel,19.99121856689453,19.99121856689453,19.99121856689453
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.6903631687164307,0,0,0
20.681581735610962,0,0,0
40.67280030250549,0,0,0
60.664018869400024,0,0,0
80.65523743629456,0,0,0
100.64645600318909,0,0,0
120.63767457008362,0,0,0
140.62889313697815,0,0,0
160.62011170387268,0,0,0
180.6113302707672,0,0,0
200.60254883766174,0,0,0
220.59376740455627,0,0,0
240.5849859714508,0,0,0
260.57620453834534,0,0,0
280.56742310523987,0,0,0
300.5586416721344,3,6,3
320.54986023902893,48,76,53
340.54107880592346,372,591,495
360.532297372818,1558,2326,2087
380.5235159397125,3017,5050,4229
400.51473450660706,3051,5045,4253
420.5059530735016,1377,2405,2014
440.4971716403961,346,546,496
460.48839020729065,54,76,74
480.4796087741852,12,6,6
500.4708273410797,1,0,3
520.4620459079742,3,1,1
540.4532644748688,2,1,0
560.4444830417633,2,1,0
580.4357016086578,36,224,152
600.4269201755524,42,268,122
620.4181387424469,34,234,151
640.4093573093414,50,237,164
660.400575876236,39,254,167
680.3917944431305,35,236,153
700.383013010025,41,241,155
720.3742315769196,45,229,144
740.3654501438141,34,251,139
760.3566687107086,48,246,157
780.3478872776031,45,256,133
800.3391058444977,36,231,137
820.3303244113922,45,237,134
840.3215429782867,41,236,164
860.3127615451813,58,274,152
880.3039801120758,52,233,147
900.2951986789703,74,246,132
920.2864172458649,106,230,143
940.2776358127594,146,243,134
960.2688543796539,114,216,117
980.2600729465485,88,234,156
1000.251291513443,72,203,126
1020.2425100803375,62,209,168
1040.233728647232,82,230,127
1060.2249472141266,74,235,143
1080.2161657810211,89,221,132
1100.2073843479156,100,196,135
1120.1986029148102,95,214,131
1140.1898214817047,70,204,155
1160.1810400485992,90,194,115
1180.1722586154938,85,235,137
1200.1634771823883,110,228,157
1220.1546957492828,142,211,158
1240.1459143161774,101,212,130
1260.137132883072,86,185,111
1280.1283514499664,62,214,129
1300.119570016861,85,228,138
1320.1107885837555,68,196,129
1340.10200715065,91,222,130
1360.0932257175446,96,200,104
1380.084444284439,141,217,133
1400.0756628513336,366,185,110
1420.0668814182281,949,209,135
1440.0580999851227,2215,213,171
1460.0493185520172,3588,228,212
1480.0405371189117,4106,203,202
1500.0317556858063,3766,212,182
1520.0229742527008,2503,212,181
1540.0141928195953,1378,231,132
1560.0054113864899,699,233,133
1579.9966299533844,394,195,108
1599.987848520279,289,183,112
1619.9790670871735,400,202,103
1639.970285654068,1079,198,105
1659.9615042209625,3577,175,141
1679.952722787857,9163,191,214
1699.9439413547516,17984,232,341
1719.9351599216461,26510,245,461
1739.9263784885406,28278,264,467
1759.9175970554352,23043,229,448
1779.9088156223297,14010,214,263
1799.9000341892242,7092,181,212
1819.8912527561188,3579,200,118
