Instrument,800N10666
Date,2023/05/18
Time,11:51:55
Assay #,0019
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),71.7s
Temperature (Detector),-27.0 C
Temperature (Ambient),42.44 C
Phase Count,3
Phases,"Phase 1(20s): 15.0kV, 20.0uA (No Filter)","Phase 2(20s): 50.0kV, 20.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 30.0kV, 25.0uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,1.0882,0.2315
13,Al2O3,13.2218,0.1545
14,SiO2,39.2349,0.1714
15,P,0.013,0.0053
16,S,0.0,0.0073
17,Cl,0.0004,0.0028
19,K2O,0.3038,0.0051
20,Ca,0.111,0.0035
22,Ti,1.2265,0.0114
23,V,0.0,0.0051
24,Cr,0.0856,0.0029
25,Mn,0.0576,0.0025
26,Fe,19.7382,0.0171
27,Co,0.0883,0.003
28,Ni,0.0467,0.0013
29,Cu,0.0762,0.0009
30,Zn,0.0033,0.0003
31,Ga,0.0017,0.0003
33,As,0.0026,0.0016
34,Se,0.0001,0.0002
37,Rb,0.0025,0.0002
38,Sr,0.0027,0.0002
39,Y,0.0012,0.0002
40,Zr,0.0193,0.0003
41,Nb,0.0009,0.0001
42,Mo,0.0017,0.0006
48,Cd,0.0,0.0001
50,Sn,0.0,0.0019
51,Sb,0.0,0.0007
56,Ba,0.0285,0.0026
57,La,0.0085,0.0073
58,Ce,0.0014,0.0049
72,Hf,0.0,0.002
73,Ta,0.0,0.0023
74,W,0.0,0.0009
78,Pt,0.0,0.0006
79,Au,0.0,0.0003
80,Hg,0.0002,0.0004
81,Tl,0.0,0.0005
82,Pb,0.0,0.0011
83,Bi,0.0031,0.0004
90,Th,0.0005,0.0004
92,U,0.0013,0.0003
 
 
SPECTRA:
eV Channel Start,0.28841277956962585,0.07937715202569962,0.03450740873813629
eV per Channel,19.995704650878906,19.995704650878906,19.995704650878906
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.28841277956962585,0,0,0
20.284117430448532,0,0,0
40.27982208132744,0,0,0
60.275526732206345,0,0,0
80.27123138308525,0,0,0
100.26693603396416,0,0,0
120.26264068484306,0,0,0
140.25834533572197,0,0,0
160.25404998660088,0,0,0
180.24975463747978,0,0,0
200.2454592883587,0,0,0
