Instrument,800N11387
Date,2023/05/18
Time,16:52:32
Assay #,0001
Application,REE_IDX
Method,REE_IDX
Assay Duration (set),30s
Assay Duration (total actual),22.15s
Temperature (Detector),-29.0 C
Temperature (Ambient),41.56 C
Phase Count,2
Phases,"Phase 1(10s): 15.0kV, 40.2uA (No Filter)","Phase 2(10s): 50.0kV, 29.8uA (Cu:75um/Ti:25um/Al:200um)",
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,Mg,0.5178,0.0467
13,Al,0.0,0.0072
14,Si,0.0795,0.006
15,P,0.0018,0.002
16,S,0.0,0.0029
19,K,0.0151,0.0009
20,Ca,0.0005,0.001
30,Zn,0.0395,0.0126
33,As,0.0262,0.0075
38,Sr,0.0002,0.0001
39,Y,0.0002,0.001
40,Zr,0.0063,0.0025
41,Nb,0.0093,0.0051
56,Ba,0.002,0.002
57,La,0.0067,0.0029
58,Ce,0.0191,0.0098
82,Pb,0.001,0.0008
90,Th,0.0054,0.0071
92,U,0.0107,0.0052
100,Pr_IDX,0.0016,0.0
101,Nd_IDX,0.0065,0.0
102,Sm_IDX,0.0013,0.0
103,Eu_IDX,0.0004,0.0
104,Gd_IDX,0.0,0.0
105,Tb_IDX,0.0,0.0
106,Dy_IDX,0.0,0.0
107,Ho_IDX,0.0,0.0
108,Er_IDX,0.0,0.0
109,Tm_IDX,0.0,0.0
110,Yb_IDX,0.0,0.0
111,Lu_IDX,0.0,0.0
112,HREE,0.0003,0.0
113,LREE,0.0165,0.0
114,TREE,0.0168,0.0
 
 
SPECTRA:
eV Channel Start,-0.16919934749603271,-0.23461130261421204,
eV per Channel,20.025390625,20.025390625,
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.16919934749603271,0,0,
19.856191277503967,0,0,
39.88158190250397,0,0,
59.90697252750397,0,0,
79.93236315250397,0,0,
99.95775377750397,0,0,
119.98314440250397,0,0,
140.00853502750397,0,0,
160.03392565250397,0,0,
180.05931627750397,0,0,
200.08470690250397,0,0,
220.11009752750397,0,0,
240.13548815250397,0,0,
260.16087877750397,0,0,
280.18626940250397,0,0,
300.21166002750397,1,1,
320.23705065250397,25,11,
340.26244127750397,229,113,
360.28783190250397,1181,520,
380.31322252750397,2709,1189,
400.33861315250397,2642,1187,
420.36400377750397,1232,534,
440.38939440250397,243,125,
460.41478502750397,20,17,
480.44017565250397,0,1,
500.46556627750397,0,0,
520.490956902504,0,0,
540.516347527504,0,0,
560.541738152504,0,0,
580.567128777504,9,9,
600.592519402504,7,7,
620.617910027504,9,10,
640.643300652504,10,11,
660.668691277504,5,9,
680.694081902504,10,11,
700.719472527504,1,12,
720.744863152504,1,11,
740.770253777504,5,13,
760.795644402504,5,7,
780.821035027504,6,12,
800.846425652504,15,10,
820.871816277504,15,12,
840.897206902504,13,15,
860.922597527504,13,14,
880.947988152504,29,4,
900.973378777504,42,12,
920.998769402504,65,15,
941.024160027504,85,6,
961.049550652504,75,11,
981.074941277504,52,7,
1001.100331902504,34,9,
1021.125722527504,17,10,
1041.151113152504,39,10,
1061.176503777504,30,8,
1081.201894402504,42,13,
1101.227285027504,39,12,
1121.252675652504,45,8,
1141.278066277504,29,9,
1161.303456902504,45,6,
1181.328847527504,67,7,
1201.354238152504,80,5,
1221.379628777504,72,13,
1241.405019402504,60,7,
1261.430410027504,37,8,
1281.455800652504,14,8,
1301.481191277504,19,6,
1321.506581902504,15,6,
1341.531972527504,17,6,
1361.557363152504,10,8,
1381.582753777504,13,8,
1401.608144402504,12,12,
1421.633535027504,17,8,
1441.658925652504,30,9,
1461.684316277504,39,10,
1481.709706902504,36,7,
1501.735097527504,32,10,
1521.760488152504,12,8,
1541.785878777504,17,8,
1561.811269402504,20,4,
1581.836660027504,15,10,
1601.862050652504,11,11,
1621.887441277504,17,5,
1641.912831902504,10,6,
1661.938222527504,18,7,
1681.963613152504,46,11,
1701.989003777504,74,11,
1722.014394402504,99,6,
1742.039785027504,84,7,
1762.065175652504,89,10,
1782.090566277504,65,7,
1802.115956902504,33,7,
1822.141347527504,39,10,
1842.166738152504,21,15,
1862.192128777504,31,10,
1882.217519402504,31,7,
1902.242910027504,27,5,
1922.268300652504,18,20,
1942.293691277504,29,9,
1962.319081902504,21,4,
1982.344472527504,30,9,
2002.369863152504,38,7,
2022.395253777504,31,7,
2042.420644402504,50,10,
2062.446035027504,56,11,
2082.471425652504,42,4,
2102.496816277504,61,6,
2122.522206902504,50,5,
2142.547597527504,54,8,
2162.572988152504,64,5,
2182.598378777504,76,10,
2202.623769402504,70,4,
2222.649160027504,69,12,
2242.674550652504,80,10,
2262.699941277504,100,6,
2282.725331902504,111,8,
2302.750722527504,137,9,
2322.776113152504,161,14,
2342.801503777504,213,9,
2362.826894402504,212,5,
2382.852285027504,222,5,
2402.877675652504,219,7,
2422.903066277504,189,8,
2442.928456902504,185,11,
2462.953847527504,169,6,
2482.979238152504,175,11,
2503.004628777504,191,6,
2523.030019402504,204,6,
2543.055410027504,229,10,
2563.080800652504,236,9,
2583.106191277504,402,6,
2603.131581902504,669,8,
2623.156972527504,1258,6,
2643.182363152504,2255,10,
2663.207753777504,3587,9,
2683.233144402504,4225,4,
2703.258535027504,4346,5,
2723.283925652504,3551,6,
2743.309316277504,2445,6,
2763.334706902504,1826,8,
2783.360097527504,1641,6,
2803.385488152504,1753,7,
2823.410878777504,2133,9,
2843.436269402504,2101,10,
2863.461660027504,2218,8,
2883.487050652504,2242,12,
2903.512441277504,2923,8,
2923.537831902504,3759,8,
2943.563222527504,4397,12,
2963.588613152504,4514,6,
2983.614003777504,3859,17,
3003.639394402504,2631,12,
3023.664785027504,1533,4,
3043.690175652504,784,9,
3063.715566277504,417,7,
3083.740956902504,325,7,
3103.766347527504,274,12,
3123.791738152504,362,4,
3143.817128777504,448,5,
3163.842519402504,567,8,
3183.867910027504,593,7,
3203.893300652504,569,8,
3223.918691277504,428,11,
3243.944081902504,329,13,
3263.969472527504,226,8,
3283.994863152504,185,12,
3304.020253777504,158,12,
