Instrument,800N11387
Date,2023/05/18
Time,16:53:15
Assay #,0002
Application,REE_IDX
Method,REE_IDX
Assay Duration (set),30s
Assay Duration (total actual),40.44s
Temperature (Detector),-27.0 C
Temperature (Ambient),42.33 C
Phase Count,3
Phases,"Phase 1(10s): 15.0kV, 40.2uA (No Filter)","Phase 2(10s): 50.0kV, 29.8uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 30.0kV, 48.85uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,Mg,0.2512,0.1419
13,Al,9.7146,0.0332
14,Si,18.5203,0.0963
15,P,0.0131,0.0071
16,S,0.0,0.0044
19,K,0.274,0.0046
20,Ca,0.1636,0.0031
22,Ti,1.0546,0.0158
23,V,0.0234,0.0024
24,Cr,0.0759,0.0025
25,Mn,0.0356,0.0025
26,Fe,24.3744,0.0214
28,Ni,0.0266,0.0007
29,Cu,0.0789,0.0014
30,Zn,0.0089,0.0015
33,As,0.0025,0.0003
38,Sr,0.0,0.0002
39,Y,0.0015,0.0003
40,Zr,0.0224,0.0006
41,Nb,0.0004,0.0003
56,Ba,0.0336,0.0051
57,La,0.0103,0.0061
58,Ce,0.0153,0.0083
82,Pb,0.0014,0.0008
90,Th,0.0026,0.0007
92,U,0.0017,0.0005
100,Pr_IDX,0.0025,0.0
101,Nd_IDX,0.01,0.0
102,Sm_IDX,0.002,0.0
103,Eu_IDX,0.0006,0.0
104,Gd_IDX,0.0003,0.0
105,Tb_IDX,0.0,0.0
106,Dy_IDX,0.0002,0.0
107,Ho_IDX,0.0001,0.0
108,Er_IDX,0.0001,0.0
109,Tm_IDX,0.0,0.0
110,Yb_IDX,0.0001,0.0
111,Lu_IDX,0.0,0.0
112,HREE,0.0025,0.0
113,LREE,0.0253,0.0
114,TREE,0.0277,0.0
 
 
SPECTRA:
eV Channel Start,0.8916351795196533,0.11648226529359818,0.4220259487628937
eV per Channel,20.025390625,20.025390625,20.025390625
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.8916351795196533,0,0,0
20.917025804519653,0,0,0
40.94241642951965,0,0,0
60.96780705451965,0,0,0
80.99319767951965,0,0,0
101.01858830451965,0,0,0
121.04397892951965,0,0,0
141.06936955451965,0,0,0
161.09476017951965,0,0,0
181.12015080451965,0,0,0
201.14554142951965,0,0,0
221.17093205451965,0,0,0
241.19632267951965,0,0,0
261.22171330451965,0,0,0
281.24710392951965,0,0,0
301.27249455451965,1,0,0
321.29788517951965,13,23,22
341.32327580451965,142,247,214
361.34866642951965,615,1175,978
381.37405705451965,1363,2412,2087
401.39944767951965,1315,2387,2042
421.42483830451965,537,1149,907
441.45022892951965,124,254,217
461.47561955451965,16,25,21
481.50101017951965,0,0,2
501.52640080451965,2,0,1
521.5517914295197,0,0,1
541.5771820545197,2,0,0
561.6025726795197,2,0,1
581.6279633045197,21,105,46
601.6533539295197,21,97,65
621.6787445545197,31,101,62
641.7041351795197,15,83,65
661.7295258045197,19,107,53
681.7549164295197,12,93,55
701.7803070545197,13,96,56
721.8056976795197,14,112,54
741.8310883045197,16,80,58
761.8564789295197,21,100,58
781.8818695545197,16,107,53
801.9072601795197,23,103,50
821.9326508045197,21,89,58
841.9580414295197,18,104,58
861.9834320545197,28,101,62
882.0088226795197,25,93,60
902.0342133045197,38,105,51
922.0596039295197,50,99,79
942.0849945545197,68,92,56
962.1103851795197,59,116,55
982.1357758045197,43,82,56
1002.1611664295197,34,74,61
1022.1865570545197,25,91,67
1042.2119476795197,38,90,59
1062.2373383045197,48,91,67
1082.2627289295197,52,105,52
1102.2881195545197,40,78,52
1122.3135101795197,41,87,55
1142.3389008045197,28,89,55
1162.3642914295197,38,85,46
1182.3896820545197,39,86,60
1202.4150726795197,39,101,53
1222.4404633045197,41,95,56
1242.4658539295197,40,97,50
1262.4912445545197,33,85,54
1282.5166351795197,36,92,44
1302.5420258045197,23,92,62
1322.5674164295197,17,85,43
1342.5928070545197,36,73,44
1362.6181976795197,42,79,54
1382.6435883045197,56,97,36
1402.6689789295197,150,81,47
1422.6943695545197,401,88,66
1442.7197601795197,920,95,89
1462.7451508045197,1381,114,108
1482.7705414295197,1615,93,92
1502.7959320545197,1379,76,76
1522.8213226795197,828,92,68
1542.8467133045197,460,83,62
1562.8721039295197,244,86,49
1582.8974945545197,138,78,47
1602.9228851795197,109,97,51
1622.9482758045197,157,80,44
1642.9736664295197,496,72,55
1662.9990570545197,1583,79,64
1683.0244476795197,4045,86,83
1703.0498383045197,7610,104,148
1723.0752289295197,10558,112,184
1743.1006195545197,11002,93,203
1763.1260101795197,8379,113,177
1783.1514008045197,4844,87,133
1803.1767914295197,2370,81,74
1823.2021820545197,1192,84,67
1843.2275726795197,673,76,52
1863.2529633045197,433,78,41
1883.2783539295197,239,86,61
1903.3037445545197,149,73,44
1923.3291351795197,107,95,53
1943.3545258045197,84,80,47
1963.3799164295197,64,84,38
1983.4053070545197,58,89,38
2003.4306976795197,84,70,38
2023.4560883045197,69,72,28
2043.4814789295197,64,59,41
2063.5068695545197,47,84,33
2083.5322601795197,64,75,44
2103.5576508045197,53,71,46
2123.5830414295197,64,89,43
2143.6084320545197,53,79,47
2163.6338226795197,65,81,34
2183.6592133045197,61,77,47
2203.6846039295197,66,67,40
2223.7099945545197,85,72,30
2243.7353851795197,97,79,40
2263.7607758045197,154,74,33
2283.7861664295197,210,81,48
2303.8115570545197,217,89,35
2323.8369476795197,228,84,26
2343.8623383045197,206,67,30
2363.8877289295197,200,76,32
