Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Pt,Pt Err
0001,800N5760,2023/05/29,15:16:02,GeoExploration,Oxide3phase,72.39s,5680.0,3824.0,180345.0,2407.0,407491.0,2442.0,74.0,68.0,522.0,67.0,0.0,82.0,3341.0,63.0,1467.0,40.0,14223.0,73.0,0.0,78.0,445.0,55.0,366.0,23.0,197081.0,352.0,214.0,43.0,310.0,16.0,361.0,10.0,31.0,4.0,22.0,4.0,0.0,4.0,2.0,3.0,33.0,3.0,35.0,3.0,11.0,1.0,267.0,5.0,9.0,5.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,22.0,8.0,30.0,14.0,245.0,41.0,44.0,67.0,54.0,44.0,1.0,1.0,16.0,12.0,0.0,14.0,0.0,5.0,0.0,5.0,34.0,10.0,21.0,8.0,13.0,4.0,4.0,3.0,,
0002,800N5760,2023/05/29,15:17:16,GeoExploration,Oxide3phase,72.36s,372.0,3811.0,174567.0,2371.0,406174.0,2431.0,0.0,67.0,566.0,66.0,0.0,82.0,3281.0,63.0,1473.0,40.0,14164.0,73.0,0.0,76.0,311.0,54.0,402.0,23.0,198968.0,355.0,135.0,43.0,262.0,15.0,345.0,10.0,29.0,4.0,20.0,4.0,0.0,3.0,3.0,3.0,32.0,3.0,33.0,3.0,12.0,1.0,268.0,6.0,11.0,5.0,0.0,3.0,,,,,,,0.0,4.0,37.0,8.0,17.0,14.0,278.0,42.0,86.0,69.0,136.0,44.0,1.0,1.0,31.0,12.0,0.0,15.0,5.0,5.0,0.0,5.0,31.0,9.0,15.0,7.0,15.0,4.0,2.0,3.0,0.0,5.0
0003,800N5760,2023/05/29,15:18:32,GeoExploration,Oxide3phase,73.7s,4911.0,3744.0,181232.0,2403.0,408732.0,2443.0,173.0,66.0,666.0,65.0,0.0,82.0,3296.0,63.0,1435.0,40.0,14075.0,72.0,0.0,79.0,321.0,56.0,333.0,24.0,196545.0,351.0,180.0,43.0,297.0,16.0,342.0,9.0,28.0,4.0,20.0,4.0,0.0,4.0,8.0,3.0,36.0,3.0,36.0,3.0,10.0,1.0,250.0,5.0,19.0,5.0,0.0,4.0,0.0,4.0,0.0,4.0,,,4.0,4.0,20.0,8.0,12.0,14.0,278.0,42.0,44.0,67.0,75.0,44.0,0.0,1.0,25.0,12.0,0.0,15.0,0.0,5.0,3.0,5.0,47.0,9.0,16.0,7.0,8.0,4.0,1.0,3.0,,
0004,800N5760,2023/05/29,15:19:46,GeoExploration,Oxide3phase,72.25s,3137.0,3796.0,172927.0,2359.0,399912.0,2407.0,0.0,63.0,402.0,65.0,0.0,81.0,3324.0,63.0,1484.0,40.0,14161.0,73.0,0.0,78.0,282.0,54.0,412.0,23.0,199083.0,355.0,10.0,43.0,292.0,15.0,348.0,9.0,36.0,4.0,22.0,4.0,5.0,4.0,6.0,3.0,34.0,3.0,35.0,3.0,13.0,2.0,260.0,6.0,8.0,5.0,0.0,4.0,0.0,4.0,0.0,4.0,,,2.0,4.0,28.0,9.0,12.0,15.0,219.0,44.0,0.0,70.0,63.0,46.0,2.0,1.0,20.0,12.0,0.0,15.0,0.0,5.0,0.0,6.0,31.0,11.0,14.0,8.0,5.0,4.0,1.0,3.0,0.0,6.0
0005,800N5760,2023/05/29,15:21:00,GeoExploration,Oxide3phase,72.57s,9153.0,3662.0,177768.0,2384.0,408720.0,2441.0,164.0,66.0,501.0,66.0,0.0,81.0,3329.0,63.0,1405.0,40.0,14220.0,73.0,0.0,78.0,346.0,55.0,368.0,23.0,196495.0,351.0,101.0,43.0,295.0,16.0,360.0,10.0,30.0,4.0,22.0,4.0,0.0,3.0,7.0,3.0,36.0,3.0,37.0,3.0,13.0,1.0,256.0,5.0,13.0,5.0,0.0,4.0,,,,,,,2.0,4.0,16.0,8.0,0.0,14.0,239.0,42.0,8.0,69.0,109.0,45.0,3.0,1.0,35.0,11.0,0.0,15.0,1.0,5.0,7.0,6.0,29.0,10.0,16.0,7.0,6.0,4.0,3.0,3.0,,
0006,800N5760,2023/05/29,15:22:15,GeoExploration,Oxide3phase,71.65s,9914.0,3778.0,178862.0,2395.0,406368.0,2435.0,0.0,65.0,505.0,67.0,0.0,82.0,3341.0,63.0,1435.0,40.0,14209.0,73.0,0.0,78.0,383.0,55.0,411.0,23.0,195146.0,349.0,134.0,43.0,313.0,16.0,346.0,10.0,33.0,4.0,17.0,4.0,0.0,3.0,10.0,3.0,35.0,3.0,34.0,3.0,11.0,1.0,255.0,5.0,19.0,5.0,0.0,3.0,,,,,,,13.0,4.0,10.0,8.0,17.0,14.0,262.0,41.0,9.0,66.0,65.0,44.0,1.0,1.0,20.0,12.0,0.0,15.0,2.0,6.0,9.0,5.0,43.0,9.0,20.0,7.0,12.0,4.0,4.0,3.0,0.0,5.0
0007,800N5760,2023/05/29,15:23:28,GeoExploration,Oxide3phase,72.27s,2634.0,3851.0,176779.0,2382.0,403717.0,2423.0,89.0,67.0,387.0,67.0,0.0,81.0,3326.0,63.0,1458.0,40.0,14013.0,72.0,0.0,78.0,295.0,55.0,374.0,23.0,197638.0,353.0,107.0,43.0,293.0,16.0,349.0,10.0,38.0,4.0,21.0,4.0,0.0,3.0,3.0,3.0,31.0,3.0,33.0,3.0,12.0,2.0,261.0,5.0,12.0,5.0,0.0,4.0,0.0,4.0,,,,,12.0,4.0,17.0,8.0,0.0,14.0,272.0,41.0,32.0,66.0,27.0,44.0,2.0,1.0,18.0,11.0,0.0,15.0,5.0,5.0,0.0,5.0,36.0,10.0,16.0,7.0,7.0,4.0,0.0,3.0,,
0008,800N5760,2023/05/29,15:24:43,GeoExploration,Oxide3phase,72.38s,7196.0,3727.0,178121.0,2391.0,407672.0,2438.0,0.0,68.0,312.0,68.0,0.0,82.0,3220.0,63.0,1432.0,40.0,13968.0,72.0,0.0,76.0,301.0,56.0,354.0,23.0,195625.0,350.0,151.0,43.0,297.0,15.0,343.0,9.0,41.0,4.0,27.0,4.0,0.0,3.0,12.0,3.0,36.0,3.0,36.0,3.0,10.0,1.0,262.0,5.0,13.0,5.0,0.0,4.0,0.0,4.0,0.0,4.0,,,5.0,4.0,24.0,8.0,0.0,14.0,256.0,42.0,0.0,67.0,129.0,44.0,2.0,1.0,24.0,11.0,0.0,15.0,0.0,5.0,3.0,5.0,38.0,10.0,19.0,7.0,7.0,4.0,2.0,3.0,0.0,5.0
0009,800N5760,2023/05/29,15:25:56,GeoExploration,Oxide3phase,72.06s,9774.0,3698.0,178691.0,2392.0,408318.0,2440.0,125.0,66.0,467.0,66.0,0.0,81.0,3281.0,64.0,1383.0,40.0,13840.0,72.0,0.0,78.0,351.0,54.0,400.0,23.0,195894.0,350.0,99.0,43.0,295.0,16.0,362.0,10.0,31.0,4.0,22.0,4.0,0.0,3.0,8.0,3.0,29.0,2.0,35.0,3.0,11.0,1.0,254.0,5.0,18.0,5.0,0.0,4.0,0.0,4.0,10.0,4.0,,,14.0,4.0,16.0,8.0,0.0,14.0,299.0,41.0,43.0,65.0,128.0,43.0,0.0,1.0,22.0,12.0,0.0,15.0,0.0,5.0,0.0,5.0,35.0,10.0,14.0,7.0,9.0,4.0,0.0,3.0,0.0,6.0
0010,800N5760,2023/05/29,15:27:12,GeoExploration,Oxide3phase,73.47s,7235.0,3676.0,181137.0,2405.0,407596.0,2441.0,53.0,68.0,551.0,67.0,0.0,81.0,3397.0,63.0,1449.0,39.0,14158.0,72.0,0.0,78.0,437.0,55.0,340.0,23.0,195110.0,350.0,152.0,43.0,305.0,16.0,338.0,9.0,39.0,4.0,22.0,4.0,0.0,3.0,5.0,3.0,33.0,3.0,34.0,3.0,10.0,1.0,256.0,5.0,6.0,5.0,0.0,4.0,0.0,4.0,0.0,4.0,,,1.0,4.0,26.0,8.0,28.0,14.0,238.0,41.0,44.0,66.0,135.0,44.0,2.0,1.0,33.0,12.0,0.0,14.0,2.0,5.0,2.0,5.0,43.0,10.0,17.0,7.0,13.0,4.0,4.0,3.0,,
