Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err
0001,800N11387,2023/06/01,10:53:21,Li Index,Li Index,70.03s,2530.0,565.0,46009.0,405.0,332931.0,748.0,1192.0,51.0,542.0,24.0,13420.0,47.0,7662.0,33.0,3211.0,52.0,65.0,9.0,403.0,11.0,27922.0,54.0,0.0,2.0,69.0,1.0,151.0,7.0,16.0,5.0,1336.0,6.0,207.0,3.0,126.0,4.0,1630.0,6.0,740.0,7.0,321.0,18.0,1031.0,34.0,10.0,3.0,0.0,8.0,9.0,3.0,105.0,6.0,5658.0,0.0
0002,800N11387,2023/06/01,10:54:34,Li Index,Li Index,70.19s,2804.0,552.0,45622.0,401.0,333405.0,748.0,1289.0,51.0,553.0,24.0,13437.0,47.0,7698.0,33.0,3220.0,52.0,63.0,9.0,390.0,11.0,27812.0,53.0,0.0,2.0,70.0,1.0,147.0,8.0,17.0,5.0,1318.0,6.0,199.0,3.0,125.0,4.0,1621.0,6.0,733.0,7.0,264.0,18.0,975.0,35.0,11.0,4.0,0.0,8.0,7.0,2.0,99.0,6.0,5622.0,0.0
0003,800N11387,2023/06/01,10:55:46,Li Index,Li Index,70.57s,2888.0,553.0,45953.0,403.0,333523.0,749.0,1178.0,51.0,478.0,24.0,13365.0,47.0,7631.0,33.0,3127.0,52.0,73.0,9.0,395.0,11.0,27861.0,54.0,0.0,2.0,69.0,1.0,145.0,7.0,15.0,5.0,1375.0,6.0,204.0,3.0,119.0,3.0,1622.0,6.0,721.0,7.0,303.0,18.0,995.0,34.0,13.0,3.0,7.0,8.0,13.0,3.0,108.0,6.0,5655.0,0.0
0004,800N11387,2023/06/01,10:56:59,Li Index,Li Index,71.05s,2889.0,542.0,45774.0,401.0,333312.0,748.0,1193.0,50.0,529.0,23.0,13456.0,47.0,7692.0,33.0,3144.0,51.0,67.0,9.0,390.0,11.0,27864.0,53.0,0.0,2.0,71.0,1.0,135.0,7.0,32.0,6.0,1411.0,7.0,203.0,3.0,129.0,4.0,1624.0,6.0,727.0,7.0,295.0,18.0,999.0,35.0,7.0,4.0,0.0,8.0,14.0,3.0,103.0,6.0,5677.0,0.0
0005,800N11387,2023/06/01,10:58:11,Li Index,Li Index,70.32s,2100.0,533.0,45542.0,402.0,334239.0,750.0,1242.0,51.0,564.0,24.0,13468.0,47.0,7676.0,33.0,3192.0,52.0,61.0,9.0,391.0,11.0,27778.0,53.0,0.0,2.0,69.0,1.0,145.0,7.0,19.0,5.0,1292.0,6.0,192.0,3.0,134.0,4.0,1634.0,6.0,729.0,7.0,289.0,18.0,1000.0,35.0,12.0,3.0,4.0,7.0,3.0,2.0,101.0,6.0,5650.0,0.0
0006,800N11387,2023/06/01,10:59:23,Li Index,Li Index,70.25s,2963.0,532.0,45822.0,403.0,334432.0,751.0,1004.0,52.0,379.0,25.0,13321.0,47.0,7577.0,33.0,3198.0,52.0,73.0,9.0,419.0,11.0,27675.0,53.0,0.0,1.0,68.0,1.0,156.0,8.0,22.0,6.0,1423.0,7.0,195.0,3.0,121.0,4.0,1620.0,6.0,733.0,7.0,299.0,18.0,940.0,34.0,8.0,3.0,0.0,8.0,15.0,3.0,103.0,6.0,5672.0,0.0
0007,800N11387,2023/06/01,11:00:37,Li Index,Li Index,70.97s,2694.0,550.0,45830.0,402.0,334220.0,749.0,1264.0,51.0,537.0,24.0,13463.0,47.0,7661.0,33.0,3237.0,52.0,72.0,9.0,404.0,11.0,27759.0,53.0,0.0,2.0,72.0,1.0,145.0,7.0,17.0,5.0,1356.0,6.0,200.0,3.0,114.0,3.0,1610.0,6.0,724.0,7.0,280.0,18.0,994.0,34.0,7.0,3.0,2.0,8.0,7.0,3.0,105.0,6.0,5606.0,0.0
0008,800N11387,2023/06/01,11:01:50,Li Index,Li Index,70.32s,2309.0,537.0,45945.0,403.0,333639.0,749.0,1328.0,52.0,506.0,24.0,13280.0,47.0,7663.0,33.0,3228.0,52.0,71.0,8.0,422.0,11.0,27745.0,53.0,0.0,2.0,68.0,1.0,143.0,7.0,25.0,6.0,1346.0,6.0,195.0,3.0,121.0,3.0,1603.0,6.0,720.0,7.0,313.0,18.0,1015.0,35.0,4.0,3.0,0.0,8.0,10.0,2.0,108.0,6.0,5581.0,0.0
0009,800N11387,2023/06/01,11:03:03,Li Index,Li Index,70.66s,3501.0,558.0,46315.0,404.0,334714.0,751.0,1195.0,52.0,473.0,24.0,13377.0,47.0,7627.0,33.0,3220.0,52.0,65.0,9.0,383.0,11.0,27735.0,53.0,0.0,2.0,71.0,1.0,146.0,7.0,23.0,6.0,1383.0,6.0,193.0,3.0,130.0,3.0,1596.0,6.0,704.0,7.0,302.0,18.0,1013.0,34.0,10.0,3.0,0.0,8.0,12.0,3.0,99.0,6.0,5579.0,0.0
0010,800N11387,2023/06/01,11:04:17,Li Index,Li Index,71.08s,2399.0,533.0,46308.0,404.0,335705.0,752.0,1341.0,51.0,570.0,24.0,13458.0,47.0,7715.0,33.0,3325.0,52.0,79.0,9.0,413.0,11.0,27811.0,53.0,0.0,2.0,67.0,1.0,142.0,7.0,18.0,5.0,1335.0,6.0,195.0,3.0,119.0,3.0,1604.0,6.0,743.0,7.0,287.0,18.0,950.0,34.0,10.0,3.0,2.0,8.0,12.0,3.0,103.0,6.0,5579.0,0.0
