Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Zr,Zr Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,W,W Err,Re,Re Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Pb,Pb Err
0001,900G11501,2023/06/15,16:39:59,Precious Metals 2,Auto,17.54s,0.0,54.0,0.0,29.0,0.0,21.0,0.0,19.0,0.0,0.0,0.0,24.0,75268.0,255.0,0.0,1000000.0,0.0,21.0,0.0,18.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,924732.0,1303.0,0.0,147.0,0.0,1000000.0,0.0,736.0,0.0,105.0,0.0,51.0,0.0,56.0,0.0,35.0,0.0,39.0,0.0,49.0,0.0,42.0,0.0,55.0
0002,900G11501,2023/06/15,16:40:17,Precious Metals 2,Auto,17.37s,0.0,55.0,0.0,30.0,0.0,22.0,0.0,19.0,0.0,0.0,0.0,27.0,74994.0,255.0,0.0,1000000.0,0.0,27.0,0.0,18.0,0.0,1000000.0,0.0,141.0,0.0,1000000.0,925006.0,1301.0,0.0,148.0,0.0,1000000.0,0.0,743.0,0.0,159.0,0.0,53.0,0.0,58.0,0.0,35.0,0.0,41.0,0.0,37.0,0.0,36.0,0.0,56.0
0003,900G11501,2023/06/15,16:40:36,Precious Metals 2,Auto,17.45s,0.0,54.0,0.0,29.0,0.0,23.0,0.0,20.0,0.0,0.0,0.0,25.0,75103.0,254.0,0.0,1000000.0,0.0,27.0,0.0,23.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,924897.0,1298.0,0.0,147.0,0.0,1000000.0,0.0,741.0,0.0,103.0,0.0,51.0,0.0,59.0,0.0,35.0,0.0,38.0,0.0,37.0,0.0,1000000.0,0.0,58.0
0004,900G11501,2023/06/15,16:40:55,Precious Metals 2,Auto,17.41s,0.0,55.0,0.0,28.0,0.0,21.0,0.0,20.0,0.0,0.0,0.0,25.0,74718.0,253.0,0.0,1000000.0,0.0,22.0,0.0,24.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,925282.0,1298.0,0.0,147.0,0.0,1000000.0,0.0,745.0,0.0,151.0,0.0,53.0,0.0,60.0,0.0,35.0,0.0,42.0,0.0,1000000.0,0.0,1000000.0,0.0,44.0
0005,900G11501,2023/06/15,16:41:13,Precious Metals 2,Auto,17.37s,0.0,54.0,0.0,28.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,25.0,74636.0,253.0,0.0,1000000.0,0.0,22.0,0.0,24.0,0.0,1000000.0,0.0,139.0,0.0,1000000.0,925363.0,1299.0,0.0,144.0,0.0,1000000.0,0.0,743.0,0.0,155.0,0.0,54.0,0.0,57.0,0.0,35.0,0.0,41.0,0.0,37.0,0.0,41.0,0.0,57.0
0006,900G11501,2023/06/15,16:41:32,Precious Metals 2,Auto,17.39s,0.0,53.0,0.0,27.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,24.0,74974.0,254.0,0.0,1000000.0,0.0,21.0,0.0,24.0,0.0,1000000.0,0.0,140.0,0.0,1000000.0,925026.0,1299.0,0.0,148.0,0.0,1000000.0,0.0,747.0,0.0,152.0,0.0,51.0,0.0,56.0,0.0,35.0,0.0,39.0,0.0,48.0,0.0,41.0,0.0,54.0
0007,900G11501,2023/06/15,16:41:51,Precious Metals 2,Auto,17.38s,0.0,55.0,0.0,30.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,26.0,74704.0,254.0,0.0,1000000.0,0.0,26.0,0.0,18.0,0.0,1000000.0,0.0,141.0,0.0,1000000.0,925296.0,1299.0,0.0,148.0,0.0,1000000.0,0.0,746.0,0.0,159.0,0.0,54.0,0.0,57.0,0.0,37.0,0.0,43.0,0.0,36.0,0.0,41.0,0.0,57.0
0008,900G11501,2023/06/15,16:42:09,Precious Metals 2,Auto,17.33s,0.0,56.0,0.0,29.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,25.0,74953.0,254.0,0.0,1000000.0,0.0,26.0,0.0,18.0,0.0,1000000.0,0.0,139.0,0.0,1000000.0,925047.0,1298.0,0.0,148.0,0.0,1000000.0,0.0,744.0,0.0,108.0,0.0,51.0,0.0,57.0,0.0,34.0,0.0,37.0,0.0,47.0,0.0,1000000.0,0.0,56.0
0009,900G11501,2023/06/15,16:42:28,Precious Metals 2,Auto,17.32s,0.0,55.0,0.0,29.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0,24.0,74210.0,253.0,0.0,1000000.0,0.0,21.0,0.0,18.0,0.0,1000000.0,0.0,141.0,0.0,1000000.0,925790.0,1301.0,0.0,151.0,0.0,1000000.0,0.0,745.0,0.0,158.0,0.0,51.0,0.0,58.0,0.0,34.0,0.0,38.0,0.0,37.0,0.0,41.0,0.0,57.0
0010,900G11501,2023/06/15,16:42:47,Precious Metals 2,Auto,17.46s,0.0,55.0,0.0,31.0,0.0,1000000.0,0.0,19.0,0.0,0.0,0.0,25.0,74877.0,254.0,0.0,1000000.0,0.0,21.0,0.0,18.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,925123.0,1301.0,0.0,197.0,0.0,1000000.0,0.0,746.0,0.0,106.0,0.0,52.0,0.0,1000000.0,0.0,35.0,0.0,38.0,0.0,1000000.0,0.0,42.0,0.0,55.0
