Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),Sanity Check,Info Fields (Combined),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err
0001,800C5780,2024/01/08,14:42:17,GeoExploration,Oxide3phase,12.71s,PASS,,0.0,5705.0,55061.0,2777.0,993416.0,7476.0,108.0,106.0,649.0,90.0,0.0,78.0,4199.0,113.0,315.0,45.0,1465.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,800C5780,2024/01/08,14:43:43,GeoExploration,Oxide3phase,73.4s,PASS,,8677.0,3707.0,53666.0,1743.0,994388.0,4730.0,101.0,67.0,647.0,55.0,0.0,50.0,4323.0,73.0,324.0,27.0,1363.0,20.0,33.0,26.0,52.0,22.0,0.0,3.0,34141.0,114.0,0.0,19.0,0.0,6.0,28.0,3.0,18.0,3.0,5.0,2.0,23.0,9.0,2.0,2.0,20.0,2.0,6.0,1.0,5.0,1.0,48.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,97.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,24.0,0.0,9.0,0.0,6.0,13.0,5.0,0.0,6.0,0.0,4.0,3.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0
0003,800C5780,2024/01/08,14:45:42,GeoExploration,Oxide3phase,73.22s,PASS,,7727.0,3299.0,2859.0,965.0,1000000.0,5003.0,27.0,48.0,166.0,40.0,0.0,53.0,0.0,32.0,0.0,20.0,0.0,9.0,0.0,13.0,0.0,14.0,0.0,1.0,190.0,9.0,0.0,3.0,0.0,5.0,7.0,2.0,11.0,2.0,0.0,1.0,25.0,7.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,,,0.0,0.0,10.0,0.0,0.0,0.0,13.0,5.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,8.0,,,,,4.0,6.0,2.0,3.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0
0004,800C5780,2024/01/08,14:46:56,GeoExploration,Oxide3phase,73.43s,PASS,,8288.0,3275.0,1408.0,937.0,1000000.0,4998.0,4.0,50.0,230.0,38.0,0.0,51.0,0.0,31.0,20.0,20.0,0.0,9.0,5.0,12.0,0.0,13.0,0.0,1.0,192.0,9.0,0.0,3.0,0.0,5.0,8.0,2.0,7.0,2.0,0.0,1.0,17.0,6.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,8.0,,,13.0,7.0,0.0,6.0,4.0,3.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0
0005,800C5780,2024/01/08,14:48:12,GeoExploration,Oxide3phase,74.48s,PASS,,5258.0,3316.0,1358.0,951.0,1000000.0,4985.0,49.0,50.0,210.0,40.0,0.0,52.0,0.0,32.0,14.0,20.0,0.0,10.0,4.0,12.0,0.0,14.0,0.0,1.0,200.0,9.0,0.0,3.0,0.0,5.0,7.0,2.0,11.0,2.0,1.0,1.0,20.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,12.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,14.0,5.0,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,7.0,0.0,6.0,,,0.0,6.0,0.0,3.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
0006,800C5780,2024/01/08,14:49:28,GeoExploration,Oxide3phase,75.25s,PASS,,9863.0,3023.0,3732.0,952.0,1000000.0,5019.0,65.0,49.0,252.0,39.0,0.0,52.0,0.0,30.0,5.0,20.0,0.0,9.0,0.0,13.0,0.0,14.0,0.0,1.0,192.0,9.0,0.0,3.0,0.0,5.0,11.0,2.0,11.0,2.0,0.0,1.0,22.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,,,11.0,7.0,10.0,6.0,0.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
0007,800C5780,2024/01/08,14:50:45,GeoExploration,Oxide3phase,76.15s,PASS,,5341.0,3192.0,1612.0,940.0,1000000.0,5001.0,0.0,47.0,230.0,40.0,0.0,52.0,0.0,31.0,0.0,20.0,0.0,9.0,0.0,11.0,0.0,14.0,0.0,1.0,192.0,9.0,0.0,3.0,0.0,5.0,6.0,2.0,12.0,2.0,0.0,1.0,23.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,14.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,5.0,35.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0,7.0,0.0,6.0,15.0,7.0,0.0,6.0,4.0,3.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0
0008,800C5780,2024/01/08,14:52:01,GeoExploration,Oxide3phase,74.98s,PASS,,15592.0,3316.0,2245.0,937.0,1000000.0,5004.0,15.0,49.0,174.0,38.0,0.0,52.0,0.0,32.0,0.0,20.0,0.0,9.0,1.0,11.0,0.0,14.0,0.0,1.0,187.0,9.0,0.0,3.0,0.0,5.0,7.0,2.0,8.0,2.0,0.0,1.0,24.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,,,0.0,0.0,5.0,0.0,0.0,0.0,16.0,5.0,34.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,7.0,,,,,6.0,6.0,3.0,3.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
0009,800C5780,2024/01/08,14:53:17,GeoExploration,Oxide3phase,74.56s,PASS,,4204.0,3221.0,1207.0,943.0,1000000.0,5018.0,9.0,48.0,212.0,40.0,0.0,52.0,0.0,32.0,29.0,20.0,0.0,9.0,5.0,12.0,0.0,13.0,0.0,1.0,210.0,10.0,0.0,3.0,0.0,5.0,10.0,2.0,9.0,2.0,0.0,1.0,19.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,0.0,6.0,5.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,7.0,0.0,6.0,13.0,7.0,8.0,6.0,4.0,3.0,6.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0
0010,800C5780,2024/01/08,14:54:33,GeoExploration,Oxide3phase,74.69s,PASS,,5646.0,3392.0,1621.0,957.0,1000000.0,5016.0,15.0,46.0,169.0,38.0,0.0,52.0,0.0,32.0,0.0,20.0,0.0,9.0,6.0,13.0,0.0,14.0,0.0,1.0,199.0,9.0,0.0,3.0,0.0,5.0,9.0,2.0,8.0,2.0,0.0,1.0,21.0,6.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,15.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,19.0,5.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,7.0,0.0,6.0,,,5.0,6.0,2.0,3.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
