ScanNumber,SampleNum,Name/Note,TrayPosition (not required),XPosition(mm),YPosition(mm),Illumination(optional),Time(sec)(optional)
1,1,E50Silica,C-1-13,112,542,Geo_50,120
2,1,E30Silica,C-1-13,112,542,Geo_30,120
3,1,E15Silica,C-1-13,112,542,Geo_15,120
4,2,E50BCS_Zircon_204A,C-1-14,112,577,Geo_50,120
5,2,E30BCS_Zircon_204A,C-1-14,112,577,Geo_30,120
6,2,E15BCS_Zircon_204A,C-1-14,112,577,Geo_15,120
7,3,E50CCU_1b,C-1-15,112,612,Geo_50,120
8,3,E30CCU_1b,C-1-15,112,612,Geo_30,120
9,3,E15CCU_1b,C-1-15,112,612,Geo_15,120
10,4,E50CCU-1d,C-1-16,112,647,Geo_50,120
11,4,E30CCU-1d,C-1-16,112,647,Geo_30,120
12,4,E15CCU-1d,C-1-16,112,647,Geo_15,120
13,5,E50CGL_125,C-1-17,112,682,Geo_50,120
14,5,E30CGL_125,C-1-17,112,682,Geo_30,120
15,5,E15CGL_125,C-1-17,112,682,Geo_15,120
16,6,E50CGL_126,C-1-18,112,717,Geo_50,120
17,6,E30CGL_126,C-1-18,112,717,Geo_30,120
18,6,E15CGL_126,C-1-18,112,717,Geo_15,120
19,7,E50DC29114,C-2-01,152,542,Geo_50,120
20,7,E30DC29114,C-2-01,152,542,Geo_30,120
21,7,E15DC29114,C-2-01,152,542,Geo_15,120
22,8,E50EB504,C-2-02,152,577,Geo_50,120
23,8,E30EB504,C-2-02,152,577,Geo_30,120
24,8,E15EB504,C-2-02,152,577,Geo_15,120
25,9,E50ICRM3594-86,C-2-03,152,612,Geo_50,120
26,9,E30ICRM3594-86,C-2-03,152,612,Geo_30,120
27,9,E15ICRM3594-86,C-2-03,152,612,Geo_15,120
28,10,E50SRM2556,C-2-04,152,647,Geo_50,120
29,10,E30SRM2556,C-2-04,152,647,Geo_30,120
30,10,E15SRM2556,C-2-04,152,647,Geo_15,120
31,11,E50SRM2557,C-2-05,152,682,Geo_50,120
32,11,E30SRM2557,C-2-05,152,682,Geo_30,120
33,11,E15SRM2557,C-2-05,152,682,Geo_15,120
34,12,E50SX18-03,C-2-06,152,717,Geo_50,120
35,12,E30SX18-03,C-2-06,152,717,Geo_30,120
36,12,E15SX18-03,C-2-06,152,717,Geo_15,120
37,13,E50SRM277,C-2-07,187,542,Geo_50,120
38,13,E30SRM277,C-2-07,187,542,Geo_30,120
39,13,E15SRM277,C-2-07,187,542,Geo_15,120
40,14,E50OREAS0022d,C-2-08,187,577,Geo_50,120
41,14,E30OREAS0022d,C-2-08,187,577,Geo_30,120
42,14,E15OREAS0022d,C-2-08,187,577,Geo_15,120
