Position,X,Y
A-1-01,42,70
A-1-02,42,105
A-1-03,42,140
A-1-04,42,175
A-1-05,42,210
A-1-06,42,245
A-1-07,77,70
A-1-08,77,105
A-1-09,77,140
A-1-10,77,175
A-1-11,77,210
A-1-12,77,245
A-1-13,112,70
A-1-14,112,105
A-1-15,112,140
A-1-16,112,175
A-1-17,112,210
A-1-18,112,245
A-2-01,152,70
A-2-02,152,105
A-2-03,152,140
A-2-04,152,175
A-2-05,152,210
A-2-06,152,245
A-2-07,187,70
A-2-08,187,105
A-2-09,187,140
A-2-10,187,175
A-2-11,187,210
A-2-12,187,245
A-2-13,222,70
A-2-14,222,105
A-2-15,222,140
A-2-16,222,175
A-2-17,222,210
A-2-18,222,245
A-3-01,262,70
A-3-02,262,105
A-3-03,262,140
A-3-04,262,175
A-3-05,262,210
A-3-06,262,245
A-3-07,297,70
A-3-08,297,105
A-3-09,297,140
A-3-10,297,175
A-3-11,297,210
A-3-12,297,245
A-3-13,332,70
A-3-14,332,105
A-3-15,332,140
A-3-16,332,175
A-3-17,332,210
A-3-18,332,245
B-1-01,42,306
B-1-02,42,341
B-1-03,42,376
B-1-04,42,411
B-1-05,42,446
B-1-06,42,481
B-1-07,77,306
B-1-08,77,341
B-1-09,77,376
B-1-10,77,411
B-1-11,77,446
B-1-12,77,481
B-1-13,112,306
B-1-14,112,341
B-1-15,112,376
B-1-16,112,411
B-1-17,112,446
B-1-18,112,481
B-2-01,152,306
B-2-02,152,341
B-2-03,152,376
B-2-04,152,411
B-2-05,152,446
B-2-06,152,481
B-2-07,187,306
B-2-08,187,341
B-2-09,187,376
B-2-10,187,411
B-2-11,187,446
B-2-12,187,481
B-2-13,222,306
B-2-14,222,341
B-2-15,222,376
B-2-16,222,411
B-2-17,222,446
B-2-18,222,481
B-3-01,262,306
B-3-02,262,341
B-3-03,262,376
B-3-04,262,411
B-3-05,262,446
B-3-06,262,481
B-3-07,297,306
B-3-08,297,341
B-3-09,297,376
B-3-10,297,411
B-3-11,297,446
B-3-12,297,481
B-3-13,332,306
B-3-14,332,341
B-3-15,332,376
B-3-16,332,411
B-3-17,332,446
B-3-18,332,481
C-1-01,42,542
C-1-02,42,577
C-1-03,42,612
C-1-04,42,647
C-1-05,42,682
C-1-06,42,717
C-1-07,77,542
C-1-08,77,577
C-1-09,77,612
C-1-10,77,647
C-1-11,77,682
C-1-12,77,717
C-1-13,112,542
C-1-14,112,577
C-1-15,112,612
C-1-16,112,647
C-1-17,112,682
C-1-18,112,717
C-2-01,152,542
C-2-02,152,577
C-2-03,152,612
C-2-04,152,647
C-2-05,152,682
C-2-06,152,717
C-2-07,187,542
C-2-08,187,577
C-2-09,187,612
C-2-10,187,647
C-2-11,187,682
C-2-12,187,717
C-2-13,222,542
C-2-14,222,577
C-2-15,222,612
C-2-16,222,647
C-2-17,222,682
C-2-18,222,717
C-3-01,262,542
C-3-02,262,577
C-3-03,262,612
C-3-04,262,647
C-3-05,262,682
C-3-06,262,717
C-3-07,297,542
C-3-08,297,577
C-3-09,297,612
