Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
Date,2023/02/24,,,12,MgO,0.557,0.2238
Time,15:34:29,,,13,Al2O3,13.5226,0.1826
Assay #,1,,,14,SiO2,38.7517,0.1917
Application,Geo,,,15,P,0.0055,0.006
Method,Geo,,,16,S,0.0496,0.0033
Assay Duration (set),30s,,,17,Cl,0,0.0026
Assay Duration (total actual),40.36s,,,19,K2O,0.2797,0.0057
Temperature (Detector),-27.5 C,,,20,Ca,0.1723,0.0039
Temperature (Ambient),32.83 C,,,22,Ti,0.6653,0.1385
Phase Count,3,,,23,V,0.0202,0.0059
Phases,,,,24,Cr,0.0692,0.0037
"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)",,,,25,Mn,0.0714,0.0039
"Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)",,,,26,Fe,23.9717,0.025
"Phase 3(10s): 15.0kV, 32.5uA (No Filter)",,,,27,Co,0,0.0042
,,,,28,Ni,0.0579,0.0019
,,,,29,Cu,0.0795,0.0013
,,,,30,Zn,0.0043,0.0005
,,,,31,Ga,0.0009,0.0004
,,,,33,As,0,0.0015
,,,,34,Se,0.0001,0.0001
,,,,37,Rb,0.002,0.0002
,,,,38,Sr,0.0033,0.0003
,,,,39,Y,0.0011,0.0002
,,,,40,Zr,0.0127,0.0003
,,,,41,Nb,0.0005,0.0001
,,,,42,Mo,0.0119,0.0004
,,,,45,Rh,0,0.0004
,,,,48,Cd,0,0.0007
,,,,50,Sn,0,0.0026
,,,,51,Sb,0,0.0008
,,,,52,Te,0.0042,0.0014
,,,,56,Ba,0.0273,0.0036
,,,,57,La,0,0.0101
,,,,58,Ce,0.0063,0.0058
,,,,72,Hf,0,0.0027
,,,,73,Ta,0.0003,0.0034
,,,,74,W,0.001,0.001
,,,,80,Hg,0,0.0006
,,,,81,Tl,0,0.0004
,,,,82,Pb,0,0.0009
,,,,83,Bi,0.0051,0.0003
,,,,90,Th,0,0.0003
,,,,92,U,0.0003,0.0003
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 ,,,,,,,
 ,,,,,,,
SPECTRA:,,,,,,,
eV Channel Start,-0.134937555,0.009864243,0.504370809,,,,
eV per Channel,19.98322487,19.98322487,19.98322487,,,,
 ,,,,,,,
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3),,,,
-0.134937555,0,0,0,,,,
19.84828731,0,0,0,,,,
39.83151218,0,0,0,,,,
59.81473705,0,0,0,,,,
79.79796192,0,0,0,,,,
99.78118679,0,0,0,,,,
119.7644117,0,0,0,,,,
139.7476365,0,0,0,,,,
159.7308614,0,0,0,,,,
179.7140863,0,0,0,,,,
199.6973111,0,0,0,,,,
219.680536,0,0,0,,,,
239.6637609,0,0,0,,,,
259.6469857,0,0,0,,,,
279.6302106,1,0,0,,,,
299.6134355,1,3,4,,,,
319.5966603,28,34,29,,,,
339.5798852,223,304,187,,,,
359.5631101,828,1168,750,,,,
379.546335,1540,2300,1306,,,,
399.5295598,1594,2285,1278,,,,
419.5127847,840,1171,676,,,,
439.4960096,213,303,208,,,,
459.4792344,43,61,36,,,,
479.4624593,7,2,8,,,,
499.4456842,0,0,0,,,,
519.428909,0,0,0,,,,
539.4121339,2,0,0,,,,
559.3953588,0,0,0,,,,
579.3785836,53,101,20,,,,
599.3618085,51,94,20,,,,
619.3450334,58,107,24,,,,
639.3282582,60,140,17,,,,
659.3114831,57,106,21,,,,
679.294708,52,95,14,,,,
699.2779329,57,93,18,,,,
719.2611577,62,98,17,,,,
739.2443826,55,88,19,,,,
759.2276075,56,98,21,,,,
779.2108323,62,105,30,,,,
799.1940572,61,106,28,,,,
819.1772821,56,104,27,,,,
839.1605069,50,105,31,,,,
859.1437318,44,100,29,,,,
879.1269567,39,99,29,,,,
899.1101815,46,98,29,,,,
919.0934064,46,93,66,,,,
939.0766313,57,104,80,,,,
959.0598561,48,86,79,,,,
979.043081,55,97,65,,,,
999.0263059,55,90,47,,,,
1019.009531,41,107,45,,,,
1038.992756,55,82,50,,,,
1058.97598,50,75,42,,,,
1078.959205,46,92,50,,,,
1098.94243,53,109,55,,,,
1118.925655,43,105,43,,,,
1138.90888,57,106,29,,,,
1158.892105,39,117,44,,,,
1178.87533,52,102,34,,,,
1198.858555,52,86,52,,,,
1218.841779,57,82,57,,,,
1238.825004,38,76,65,,,,
1258.808229,40,101,37,,,,
1278.791454,45,83,57,,,,
1298.774679,50,84,29,,,,
1318.757904,34,84,41,,,,
1338.741129,46,84,32,,,,
1358.724354,41,82,40,,,,
1378.707578,51,92,58,,,,
1398.690803,50,78,172,,,,
1418.674028,45,89,378,,,,
1438.657253,55,67,821,,,,
1458.640478,75,88,1244,,,,
1478.623703,85,88,1614,,,,
1498.606928,80,95,1387,,,,
1518.590152,78,79,941,,,,
1538.573377,31,86,553,,,,
1558.556602,44,64,292,,,,
1578.539827,40,72,176,,,,
1598.523052,27,75,140,,,,
1618.506277,30,98,204,,,,
1638.489502,39,82,459,,,,
1658.472727,41,63,1492,,,,
1678.455951,84,72,3564,,,,
1698.439176,125,98,6875,,,,
1718.422401,129,110,10156,,,,
1738.405626,140,118,11320,,,,
1758.388851,154,92,9396,,,,
1778.372076,102,90,6091,,,,
1798.355301,68,78,3274,,,,
1818.338526,44,81,1693,,,,
1838.32175,55,87,924,,,,
1858.304975,45,76,564,,,,
1878.2882,53,73,292,,,,
1898.271425,43,74,214,,,,
1918.25465,36,63,128,,,,
1938.237875,40,85,109,,,,
1958.2211,34,78,76,,,,
1978.204324,39,75,81,,,,
1998.187549,30,104,91,,,,
2018.170774,37,76,80,,,,
2038.153999,36,89,84,,,,
2058.137224,33,76,67,,,,
2078.120449,37,89,75,,,,
2098.103674,43,77,63,,,,
2118.086899,46,80,64,,,,
2138.070123,27,67,73,,,,
2158.053348,40,79,78,,,,
2178.036573,33,77,76,,,,
2198.019798,35,74,80,,,,
2218.003023,37,87,119,,,,
2237.986248,31,76,130,,,,
2257.969473,37,89,148,,,,
2277.952697,29,63,211,,,,
2297.935922,25,85,212,,,,
2317.919147,28,79,235,,,,
2337.902372,32,63,254,,,,
2357.885597,25,78,244,,,,
2377.868822,27,73,203,,,,
2397.852047,27,70,192,,,,
2417.835272,32,65,166,,,,
2437.818496,30,88,169,,,,
2457.801721,26,76,137,,,,
2477.784946,32,74,152,,,,
2497.768171,29,72,149,,,,
2517.751396,26,58,177,,,,
2537.734621,30,82,189,,,,
2557.717846,37,70,237,,,,
2577.701071,29,78,354,,,,
2597.684295,37,80,562,,,,
2617.66752,28,67,905,,,,
2637.650745,26,69,1429,,,,
2657.63397,29,69,2270,,,,
2677.617195,23,62,2896,,,,
2697.60042,28,85,3005,,,,
2717.583645,33,66,2861,,,,
2737.566869,29,68,2173,,,,
2757.550094,35,71,1670,,,,
2777.533319,28,83,1507,,,,
2797.516544,35,79,1561,,,,
2817.499769,33,68,1850,,,,
2837.482994,23,67,1956,,,,
2857.466219,24,71,1831,,,,
2877.449444,38,69,1621,,,,
2897.432668,46,67,1569,,,,
2917.415893,57,74,1638,,,,
2937.399118,60,79,1771,,,,
2957.382343,75,80,1852,,,,
2977.365568,66,81,1613,,,,
2997.348793,47,60,1398,,,,
3017.332018,45,64,956,,,,
3037.315242,34,56,645,,,,
3057.298467,25,67,460,,,,
3077.281692,27,69,366,,,,
3097.264917,23,82,335,,,,
3117.248142,19,70,330,,,,
3137.231367,21,82,357,,,,
3157.214592,23,68,409,,,,
3177.197817,48,75,408,,,,
3197.181041,50,85,412,,,,
3217.164266,71,82,490,,,,
3237.147491,107,106,604,,,,
3257.130716,141,134,785,,,,
3277.113941,184,132,999,,,,
3297.097166,196,126,1181,,,,
3317.080391,171,124,1164,,,,
3337.063616,111,103,1022,,,,
3357.04684,102,93,795,,,,
3377.030065,71,84,568,,,,
3397.01329,48,81,415,,,,
3416.996515,42,87,291,,,,
3436.97974,62,87,272,,,,
3456.962965,88,98,326,,,,
3476.94619,79,75,292,,,,
3496.929414,82,83,338,,,,
3516.912639,101,104,348,,,,
3536.895864,65,79,333,,,,
3556.879089,66,77,323,,,,
3576.862314,55,78,383,,,,
3596.845539,58,64,450,,,,
3616.828764,50,66,480,,,,
3636.811989,70,63,651,,,,
3656.795213,102,85,817,,,,
3676.778438,98,92,961,,,,
3696.761663,112,96,994,,,,
3716.744888,95,71,901,,,,
3736.728113,84,72,694,,,,
3756.711338,67,57,521,,,,
3776.694563,47,66,360,,,,
3796.677788,32,61,250,,,,
3816.661012,30,56,230,,,,
3836.644237,22,62,178,,,,
3856.627462,23,53,201,,,,
