Instrument,800N8573
Date,2023/02/24
Time,15:34:29
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),40.36s
Temperature (Detector),-27.5 C
Temperature (Ambient),32.83 C
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.557,0.2238
13,Al2O3,13.5226,0.1826
14,SiO2,38.7517,0.1917
15,P,0.0055,0.006
16,S,0.0496,0.0033
17,Cl,0.0,0.0026
19,K2O,0.2797,0.0057
20,Ca,0.1723,0.0039
22,Ti,0.6653,0.1385
23,V,0.0202,0.0059
24,Cr,0.0692,0.0037
25,Mn,0.0714,0.0039
26,Fe,23.9717,0.025
27,Co,0.0,0.0042
28,Ni,0.0579,0.0019
29,Cu,0.0795,0.0013
30,Zn,0.0043,0.0005
31,Ga,0.0009,0.0004
33,As,0.0,0.0015
34,Se,0.0001,0.0001
37,Rb,0.002,0.0002
38,Sr,0.0033,0.0003
39,Y,0.0011,0.0002
40,Zr,0.0127,0.0003
41,Nb,0.0005,0.0001
42,Mo,0.0119,0.0004
45,Rh,0.0,0.0004
48,Cd,0.0,0.0007
50,Sn,0.0,0.0026
51,Sb,0.0,0.0008
52,Te,0.0042,0.0014
56,Ba,0.0273,0.0036
57,La,0.0,0.0101
58,Ce,0.0063,0.0058
72,Hf,0.0,0.0027
73,Ta,0.0003,0.0034
74,W,0.001,0.001
80,Hg,0.0,0.0006
81,Tl,0.0,0.0004
82,Pb,0.0,0.0009
83,Bi,0.0051,0.0003
90,Th,0.0,0.0003
92,U,0.0003,0.0003
 
 
SPECTRA:
eV Channel Start,-0.13493755459785461,0.009864242747426033,0.5043708086013794
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.13493755459785461,0,0,0
19.84828731417656,0,0,0
39.83151218295097,0,0,0
59.81473705172539,0,0,0
79.7979619204998,0,0,0
99.78118678927422,0,0,0
119.76441165804863,0,0,0
139.74763652682304,0,0,0
159.73086139559746,0,0,0
179.71408626437187,0,0,0
199.6973111331463,0,0,0
219.6805360019207,0,0,0
239.6637608706951,0,0,0
259.6469857394695,0,0,0
279.63021060824394,1,0,0
299.61343547701836,1,3,4
319.59666034579277,28,34,29
339.5798852145672,223,304,187
359.5631100833416,828,1168,750
379.546334952116,1540,2300,1306
399.5295598208904,1594,2285,1278
419.51278468966484,840,1171,676
439.49600955843925,213,303,208
459.47923442721367,43,61,36
479.4624592959881,7,2,8
499.4456841647625,0,0,0
519.4289090335369,0,0,0
539.4121339023113,2,0,0
559.3953587710857,0,0,0
579.3785836398602,53,101,20
599.3618085086346,51,94,20
619.345033377409,58,107,24
639.3282582461834,60,140,17
659.3114831149578,57,106,21
679.2947079837322,52,95,14
699.2779328525066,57,93,18
719.261157721281,62,98,17
739.2443825900555,55,88,19
759.2276074588299,56,98,21
779.2108323276043,62,105,30
799.1940571963787,61,106,28
819.1772820651531,56,104,27
839.1605069339275,50,105,31
859.143731802702,44,100,29
879.1269566714764,39,99,29
899.1101815402508,46,98,29
919.0934064090252,46,93,66
939.0766312777996,57,104,80
959.059856146574,48,86,79
979.0430810153484,55,97,65
999.0263058841228,55,90,47
1019.0095307528973,41,107,45
1038.9927556216717,55,82,50
1058.975980490446,50,75,42
1078.9592053592205,46,92,50
1098.942430227995,53,109,55
1118.9256550967693,43,105,43
1138.9088799655437,57,106,29
1158.8921048343182,39,117,44
1178.8753297030926,52,102,34
1198.858554571867,52,86,52
1218.8417794406414,57,82,57
1238.8250043094158,38,76,65
1258.8082291781902,40,101,37
1278.7914540469646,45,83,57
1298.774678915739,50,84,29
1318.7579037845135,34,84,41
1338.741128653288,46,84,32
1358.7243535220623,41,82,40
1378.7075783908367,51,92,58
1398.6908032596111,50,78,172
1418.6740281283855,45,89,378
1438.65725299716,55,67,821
1458.6404778659344,75,88,1244
1478.6237027347088,85,88,1614
1498.6069276034832,80,95,1387
1518.5901524722576,78,79,941
